table_name,schema_name,column_name,data_type,null?,default,kind,expression,comment,database_name,autoincrement
POSTINGS,US,EMPLOYMENT_TYPE,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Employment type ID,EMSI,
POSTINGS,US,EMPLOYMENT_TYPE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Employment type name,EMSI,
POSTINGS,US,MIN_YEARS_EXPERIENCE,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,Minimum years of experience requested in the posting,EMSI,
POSTINGS,US,MAX_YEARS_EXPERIENCE,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,Maximum years of experience requested in the posting,EMSI,
POSTINGS,US,EXPIRED,"{""type"":""DATE"",""nullable"":true}",true,,COLUMN,,Date when the posting expired,EMSI,
POSTINGS,US,IS_INTERNSHIP,"{""type"":""BOOLEAN"",""nullable"":true}",true,,COLUMN,,Boolean indicating the posting is for an internship position,EMSI,
POSTINGS,US,IS_REMOTE,"{""type"":""BOOLEAN"",""nullable"":true}",true,,COLUMN,,Boolean indicating the posting is for remote work,EMSI,
POSTINGS,US,LOCATION,"{""type"":""OBJECT"",""nullable"":true}",true,,COLUMN,,Approximate lat/lon of the job posting,EMSI,
POSTINGS,US,MSA,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,MSA code of the posting,EMSI,
POSTINGS,US,MSA_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,MSA name of the posting,EMSI,
POSTINGS,US,NAICS2,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,2 Digit NAICS code of the posting,EMSI,
POSTINGS,US,NAICS2_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,2 Digit NAICS name of the posting,EMSI,
POSTINGS,US,NAICS3,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,3 Digit NAICS code of the posting,EMSI,
POSTINGS,US,NAICS3_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,3 Digit NAICS name of the posting,EMSI,
POSTINGS,US,NAICS4,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,4 Digit NAICS code of the posting,EMSI,
POSTINGS,US,NAICS4_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,4 Digit NAICS name of the posting,EMSI,
POSTINGS,US,NAICS5,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,5 Digit NAICS code of the posting,EMSI,
POSTINGS,US,NAICS5_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,5 Digit NAICS name of the posting,EMSI,
POSTINGS,US,NAICS6,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,6 Digit NAICS code of the posting,EMSI,
POSTINGS,US,NAICS6_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,6 Digit NAICS name of the posting,EMSI,
POSTINGS,US,ONET,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,ONET code of the posting,EMSI,
POSTINGS,US,ONET_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,ONET name of the posting,EMSI,
POSTINGS,US,DURATION,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,"Number of days the posting was active, NULL if the posting is still acitve",EMSI,
POSTINGS,US,POSTED,"{""type"":""DATE"",""nullable"":true}",true,,COLUMN,,Date when the posting was created,EMSI,
POSTINGS,US,SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,IDs of skills requested in the posting (version: see the EMSI.US.POSTINGS_META table for details),EMSI,
POSTINGS,US,SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,Names of skills requested in the posting (version: see the EMSI.US.POSTINGS_META table for details),EMSI,
POSTINGS,US,SOC_EMSI_2019_2,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,2 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_2_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,2 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_3,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,3 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_3_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,3 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_4,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,4 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_4_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,4 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_5,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,5 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,SOC_EMSI_2019_5_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,5 digit SOC code of the posting (version: Emsi SOC 2019),EMSI,
POSTINGS,US,STATE,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,State code of the posting,EMSI,
POSTINGS,US,STATE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,State name of the posting,EMSI,
POSTINGS,US,TITLE,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Emsi Job title ID of the posting (version: see the EMSI.US.POSTINGS_META table for details),EMSI,
POSTINGS,US,TITLE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Emsi Job title name of the posting (version: see the EMSI.US.POSTINGS_META table for details),EMSI,
POSTINGS,US,TITLE_RAW,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Raw job title name of the posting,EMSI,
POSTINGS,US,HARD_SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,HARD_SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOFT_SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOFT_SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CERTIFICATIONS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CERTIFICATIONS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,BODY,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Job posting body,EMSI,
POSTINGS,US,SALARY,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,Average advertised salary found in the posting,EMSI,
POSTINGS,US,SPECIALIZED_SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SPECIALIZED_SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,COMMON_SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,COMMON_SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,REMOTE_TYPE,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,REMOTE_TYPE_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,ONET_2019,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Onet code of the posting (version: ONET 2019),EMSI,
POSTINGS,US,ONET_2019_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Onet name of the posting (version: ONET 2019),EMSI,
POSTINGS,US,SOC_2019_2,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"2 digit SOC code of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_2_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"2 digit SOC name of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_3,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"3 digit SOC code of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_3_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"3 digit SOC name of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_4,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"4 digit SOC code of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_4_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"4 digit SOC name of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_5,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"5 digit SOC code of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,SOC_2019_5_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,"5 digit SOC name of the posting (version: Emsi SOC 2019, should be used with ONET 2019)",EMSI,
POSTINGS,US,CAREER_AREA,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Career area id of the posting,EMSI,
POSTINGS,US,CAREER_AREA_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Career area name of the posting,EMSI,
POSTINGS,US,OCCUPATION,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Occupation id of the posting,EMSI,
POSTINGS,US,OCCUPATION_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Occupation name of the posting,EMSI,
POSTINGS,US,SPECIALIZED_OCCUPATION,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Specialized occupation id of the posting,EMSI,
POSTINGS,US,SPECIALIZED_OCCUPATION_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Specialized occupation name of the posting,EMSI,
POSTINGS,US,OCCUPATION_GROUP,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Occupation group id of the posting,EMSI,
POSTINGS,US,OCCUPATION_GROUP_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,Occupation group name of the posting,EMSI,
POSTINGS,US,SOURCES,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,URL,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SALARY_TO,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SALARY_FROM,"{""type"":""FIXED"",""precision"":38,""scale"":0,""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOFTWARE_SKILLS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOFTWARE_SKILLS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP6,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP6_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP4,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP4_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP2,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,CIP2_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,MIN_EDULEVELS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,MIN_EDULEVELS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,MAX_EDULEVELS,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,MAX_EDULEVELS_NAME,"{""type"":""ARRAY"",""nullable"":true}",true,,COLUMN,,,EMSI,
POSTINGS,US,ORIGINAL_PAY_PERIOD,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_2,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_2_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_3,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_3_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_4,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_4_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_5,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
POSTINGS,US,SOC_2021_5_NAME,"{""type"":""TEXT"",""length"":16777216,""byteLength"":16777216,""nullable"":true,""fixed"":false}",true,,COLUMN,,,EMSI,
