,tot,counts,mean
Third-Party Warehousing,4711948.5,87.0,54160.3275862069
Inventory Management System,153549705.0,3818.0,40217.314038763754
Transfer Station,1816326.0,44.0,41280.13636363636
Advocacy,1000668658.5,15379.0,65067.212335002274
Ironing,14562652.5,414.0,35175.489130434784
International Marketing,3556593.0,50.0,71131.86
Salesforce Object Search Language (SOSL),7732895.0,66.0,117165.07575757576
Dialectical Behavior Therapy,25088736.5,267.0,93965.30524344569
Roll Slitting,6326422.0,132.0,47927.43939393939
Display Advertising,12711729.5,173.0,73478.20520231214
Mental Process,1781097.0,22.0,80958.95454545454
Forestry,43214306.5,666.0,64886.346096096095
Consumer Sales,10975624.0,161.0,68171.57763975156
Writing Systems,121951992.0,2137.0,57066.91249415068
Technical Communication,71020214.0,1178.0,60288.8064516129
Sustainability Initiatives,7518107.0,149.0,50457.093959731545
Business Intelligence Tools,54177396.0,565.0,95889.19646017699
Acute Care,286884223.0,2998.0,95691.8689126084
ASC 740 (Accounting For Income Taxes),19653557.5,171.0,114933.08479532164
Facebook Marketing,780426.0,12.0,65035.5
Slip Sheet,18682370.5,523.0,35721.54971319312
ESG Research And Analysis,1861750.0,13.0,143211.53846153847
Critical Illness Insurance,25741817.0,344.0,74830.86337209302
Domain-Specific Language,542500.0,4.0,135625.0
Network Analysis,21062082.5,243.0,86675.2366255144
Apple IOS,496994913.5,5027.0,98865.11110005967
Progressive Care Medicine,30596283.0,417.0,73372.38129496403
Electrical Circuit Analysis,4773216.0,77.0,61989.818181818184
Overcoming Obstacles,130303880.5,3151.0,41353.183275150746
Qlik Sense (Data Analytics Software),15928816.0,141.0,112970.32624113475
Nuclear Medicine,18692249.0,163.0,114676.37423312884
Digital Image Processing,153798.0,3.0,51266.0
Non-Discrimination Testing,1589680.0,20.0,79484.0
Portfolio Management,183736785.5,1818.0,101065.33855885589
Natural Resource Management,17939510.0,293.0,61226.99658703071
Multi-Cloud,31352086.5,217.0,144479.66129032258
Mail Order,14292734.5,368.0,38838.952445652176
Cloud Development,40272233.5,324.0,124297.01697530864
Metaverse,8462672.5,46.0,183971.14130434784
Perioperative,37821411.5,411.0,92022.89902676399
Job Scheduling (Inventory Management),20870750.0,287.0,72720.38327526132
Bootstrap (Front-End Framework),144747903.0,1355.0,106825.02066420665
Task Management,36941768.5,511.0,72293.0890410959
Employee Retention,229163529.0,2730.0,83942.68461538461
Credit Analysis,44884315.5,526.0,85331.39828897339
ArcSight Enterprise Security Manager,6284137.0,59.0,106510.79661016949
Call Center Experience,974604207.0,22835.0,42680.280578059996
Days Sales Outstanding,2240000.0,50.0,44800.0
LEED Accredited Professional (AP),18044024.5,267.0,67580.61610486891
Error Detection And Correction,5318312.5,78.0,68183.4935897436
Virtual Reality,20745693.0,227.0,91390.71806167401
Package Delivery,59494338.5,1518.0,39192.58135704875
Multithreading,34890035.5,259.0,134710.56177606178
Communications Protocols,69804871.0,736.0,94843.57472826086
Psychiatric-Mental Health Nurse Practitioner,49926978.5,341.0,146413.42668621702
Automated Storage And Retrieval Systems,8185637.0,105.0,77958.44761904761
Digital Twin,5713957.5,45.0,126976.83333333333
Quantification,12825378.0,136.0,94304.25
Bank Statements,73337546.5,1272.0,57655.30385220126
Health Care Industry,44587236.5,466.0,95680.76502145923
Restlet,344600.0,3.0,114866.66666666667
Employment Equity,2076557.5,36.0,57682.15277777778
Medication Administration Records,5806449.5,108.0,53763.4212962963
Electrical Safety,29439009.5,594.0,49560.62205387205
Invoicing,1921067884.0,39204.0,49001.83358840935
Plan Revision,2056339.0,24.0,85680.79166666667
Mechanics,438631636.5,8716.0,50324.87798301973
Technical Report,6408020.5,104.0,61615.581730769234
Secondary Source Information,3968919.5,68.0,58366.46323529412
Family Nurse Practitioner,25181479.5,242.0,104055.70041322314
Front End Loaders,16505650.0,335.0,49270.59701492537
Training Analysis,4968142.5,60.0,82802.375
Filtration,6324020.0,125.0,50592.16
Taping,19438441.5,415.0,46839.61807228916
Ember.js,31498996.5,275.0,114541.80545454545
Technical Standard,43641978.5,417.0,104657.02278177458
Cloud Technologies,174339385.5,1340.0,130104.01902985075
Performance Improvement,227019448.0,2577.0,88094.46953822274
Cloud Governance,6185445.0,46.0,134466.19565217392
GIAC Information Security Fundamentals,1350236.0,11.0,122748.72727272728
DotNetNuke,1839546.0,21.0,87597.42857142857
Lifting Ability,4419469641.0,118745.0,37218.15353067498
Stakeholder Communications,89646065.5,923.0,97124.66468039004
Request For Proposal,372012552.5,3868.0,96176.97841261634
Suitescript,18776300.0,153.0,122720.91503267974
Enrollment Management,15448386.5,232.0,66587.87284482758
Software Configuration Management,42929968.0,473.0,90761.03171247357
Progress Monitoring,19090872.5,254.0,75160.9153543307
Operational Risk Management,7037183.5,62.0,113502.95967741935
Integrated Circuits,6152706.5,107.0,57501.92990654206
IBM Forms Server,536150.0,5.0,107230.0
RallyDev,5641618.0,46.0,122643.86956521739
Haskell (Programming Language),2782040.0,19.0,146423.15789473685
Lathes,193251352.5,3818.0,50615.85974332111
Forest Ecology,696917.5,13.0,53609.03846153846
HTML5,304449248.0,2906.0,104765.74260151411
Microform,2642755.5,62.0,42625.08870967742
Ethical Codes,7954651.5,159.0,50029.25471698113
Speeds And Feeds,10822815.0,212.0,51051.014150943396
Biomedical Engineering,29283098.0,355.0,82487.6
Distribution Board,36653505.5,701.0,52287.45435092725
Environmental Impact Assessments,1896624.0,23.0,82461.91304347826
Cisco IOS,12176658.0,120.0,101472.15
Talent Analytics,9880075.5,108.0,91482.18055555556
User Experience,518657829.5,4889.0,106086.69042749028
Tax Credit Specialist,1272389.0,27.0,47125.51851851852
Public Policies,111027840.0,1771.0,62692.17391304348
Labor Law,132773124.0,2205.0,60214.56870748299
MicroStation (CAD Design Software),44580831.5,558.0,79893.96326164875
CAD Programs,4262329.5,60.0,71038.825
C (Programming Language),253904805.5,2320.0,109441.72650862069
Plant Identification,9245643.5,230.0,40198.45
Function Generator,4328376.5,58.0,74627.18103448275
Basic Accounting Principles,39216559.5,857.0,45760.279463243874
Microsoft Dynamics 365,91776604.0,830.0,110574.22168674698
Certified Occupancy Specialist (COS),4712501.0,103.0,45752.436893203885
Tinnitus,1780645.5,20.0,89032.275
Autoclaves,21203253.5,547.0,38762.803473491775
Generalized Linear Model,5673311.5,60.0,94555.19166666667
IBM Sametime,47840.0,1.0,47840.0
On-Time Performance,31808017.5,632.0,50329.141613924054
Certified Fraud Examiner,20736390.5,221.0,93829.82126696833
Yardi (Property Management Software),105848557.0,1846.0,57339.41332611051
Code Migration,3005440.0,27.0,111312.5925925926
Basic Research,17729178.0,274.0,64705.029197080294
Solvent,12028577.5,325.0,37011.00769230769
Email Production,1885960.0,32.0,58936.25
Assortment Strategy,1447980.0,21.0,68951.42857142857
Logistics Engineering,1351820.0,16.0,84488.75
Environmental Governance,0.0,0.0,
Over-The-Road Driving,306373506.0,4247.0,72138.80527431128
Bone Marrow Transplant,3747034.5,42.0,89215.10714285714
Hibernate (Java),118224572.0,986.0,119903.21703853956
Urdu Language,9607708.0,224.0,42891.55357142857
Functional Management,15422850.0,148.0,104208.44594594595
Electromechanical Commodities,0.0,0.0,
Use Case Analysis,8396575.5,103.0,81520.1504854369
Alzheimer's Disease,52393455.0,1438.0,36434.947844228096
Corticon,0.0,0.0,
Crowd Control,20370456.0,603.0,33781.850746268654
Community Development,62046820.0,876.0,70829.70319634704
Test Probe,22713736.5,222.0,102314.12837837837
Triples Endorsement,11335581.0,217.0,52237.700460829496
SAP Business Planning And Consolidation,12555203.0,147.0,85409.54421768707
Cannabis,72607449.5,1157.0,62754.9261019879
Job Safety Analysis,20801309.0,343.0,60645.21574344023
Cultural Sensitivity,57360755.0,1032.0,55582.126937984496
Asthma,10314207.5,178.0,57944.98595505618
Global Management,3299769.5,42.0,78565.94047619047
Virtualization,186245498.0,1683.0,110662.80332739156
Humidistat,74652.0,2.0,37326.0
Pulmonary Function Testing,9582548.5,150.0,63883.65666666667
Cisco Certified Internetwork Expert (CCIE) Voice,1296505.0,10.0,129650.5
High-Yield Debt,8609291.5,65.0,132450.63846153847
New-Construction Building Commissioning,1861629.5,32.0,58175.921875
Clinical Research Coordination,13255943.5,206.0,64349.24029126213
Software As A Service (SaaS),636537710.0,5490.0,115944.93806921676
Java API For XML Processing,1800860.0,15.0,120057.33333333333
Total Cost Of Ownership,30552738.5,297.0,102871.1734006734
Family Therapy,64767932.5,972.0,66633.67541152264
General Mathematics,20663624.5,561.0,36833.55525846702
Online Communication,23308344.0,343.0,67954.3556851312
Honeywell Operating System,190320.0,3.0,63440.0
Managed Accounts,6131345.5,78.0,78606.9935897436
Sentiment Analysis,1473001.0,14.0,105214.35714285714
Simple Network Management Protocols,21090002.0,237.0,88987.35021097047
Technical Data Management Systems,69323289.0,833.0,83221.23529411765
Apache Samza,5408000.0,34.0,159058.82352941178
Organ Transplantation,6810212.5,71.0,95918.48591549296
Voice Command Devices,5190163.5,131.0,39619.568702290075
Business Valuation,185599827.5,1534.0,120990.7610821382
Bill Of Lading,192952567.0,4524.0,42650.87687886826
Migraine,3930647.0,26.0,151178.73076923078
Translational Research,1892219.0,24.0,78842.45833333333
Sabre (Computer System),1981930.0,40.0,49548.25
Randomized Controlled Trial,490175.5,7.0,70025.07142857143
Anger Management,4557131.0,93.0,49001.408602150535
Transaction Log,9727222.5,203.0,47917.35221674877
Secondary Education,58080937.0,1093.0,53139.009149130834
OpenAPI,12684534.5,102.0,124358.18137254902
Air Conditioning Repair,27742882.0,522.0,53147.28352490421
SQL Server Integration Services (SSIS),157125179.5,1421.0,110573.66608022519
Logical Databases,1676978.0,16.0,104811.125
Marketing Budgets,35624456.0,488.0,73000.9344262295
Engineering Research,4745353.0,44.0,107848.93181818182
Hotel Management,6171648.5,159.0,38815.39937106918
Information Privacy,157806601.0,1577.0,100067.59733671528
Chilled Water,10859859.0,162.0,67036.16666666667
White Space Development,7965250.0,77.0,103444.8051948052
Misdemeanor,9525015.5,119.0,80042.14705882352
Project Engineering,165640303.0,1753.0,94489.61950941244
Computer Security Awareness Training,13181382.5,212.0,62176.33254716981
Database Consolidation,112008.0,3.0,37336.0
JDA Demand Planning (Software),930166.5,9.0,103351.83333333333
HVAC Repair And Maintenance,27850301.5,510.0,54608.43431372549
WS-Security,3998340.0,31.0,128978.70967741935
Legal Discovery,149131674.0,2303.0,64755.394702561876
Crisis Prevention,25633587.5,527.0,48640.583491461104
ProSystem Fx Engagement (Tax Software),5149260.0,68.0,75724.41176470589
American Welding Society Codes,5666566.0,86.0,65890.30232558139
Orthographic Projection,6739320.0,126.0,53486.666666666664
Market Analysis,80872072.0,897.0,90158.38573021181
Time Management,3715104239.5,71413.0,52022.80032347052
Requirements Elicitation,249940652.0,2165.0,115446.0286374134
Gymnastics,22298291.0,608.0,36674.82072368421
Peripherally Inserted Central Catheter (PICC),5971093.5,83.0,71940.88554216867
Publicly Funded Health Care,7489333.5,110.0,68084.85
Calibration,179937392.0,3003.0,59919.21145521146
Certified Public Accountant,378555771.5,3842.0,98530.91397709526
Consultative Approaches,66335788.0,855.0,77585.71695906433
Flipped Classroom Model,1309940.0,26.0,50382.307692307695
Commercial Management,4298195.5,45.0,95515.45555555556
Account Management,671159344.0,9532.0,70411.17750734369
TIBCO Rendezvous,7094237.0,58.0,122314.43103448275
Session Manager SubSystems,2774940.0,24.0,115622.5
Entrepreneurship,92508259.5,1431.0,64645.88364779874
Marketing Analytics,54809339.5,568.0,96495.31602112677
Religious Studies,1838236.0,42.0,43767.52380952381
Excel Formulas,27176703.0,580.0,46856.38448275862
Biomedical Waste,8655481.0,178.0,48626.29775280899
IdentityIQ,12019950.0,94.0,127871.8085106383
Accounts Receivable,1064380529.5,21020.0,50636.56182207422
Marketing Automation,118821782.0,1251.0,94981.44044764189
Certified Fitness Trainer,15874149.5,252.0,62992.656746031746
Requirements Engineering,9456576.5,111.0,85194.38288288288
Food Regulations,3298273.0,60.0,54971.21666666667
Data Transmissions,25019089.0,307.0,81495.40390879479
Identity Services Engine,27663412.5,266.0,103997.79135338347
Linux System Administration,22475651.0,191.0,117673.56544502618
Customer Acquisition Management,192578607.0,3138.0,61369.855640535374
Screwdrivers,65009274.5,1636.0,39736.720354523226
Interaction Design,58441328.5,536.0,109032.32929104478
Health Literacy,2563777.0,39.0,65737.8717948718
Word Processing,569176327.5,11914.0,47773.73908846735
Medical History Documentation,147570841.5,2744.0,53779.46118804665
App Data,958800.0,12.0,79900.0
Distance Learning,20618997.5,389.0,53005.13496143959
Expert Systems,1319040.0,12.0,109920.0
FOIL (Programming Language),2042440.0,35.0,58355.42857142857
Auditor's Report,69193312.5,1017.0,68036.68879056047
Dashboard,487043610.0,4962.0,98154.6977025393
Health Economics,8839290.5,66.0,133928.64393939395
Microsoft Outlook,2395271861.5,45765.0,52338.50893696056
Materials Processing,4436615.0,80.0,55457.6875
Organizational Communications,75820438.5,1200.0,63183.69875
Companionship,299226042.0,9836.0,30421.517080113867
Fire Service,6037526.0,111.0,54392.126126126124
Software Analysis,16919026.0,161.0,105087.11801242236
Diagnostic Tests,72306123.0,994.0,72742.57847082496
Database Security,21476232.5,182.0,118001.27747252748
Truthful,5152598.5,86.0,59913.936046511626
Web Testing,10388664.0,99.0,104936.0
Pipelining,12589310.5,113.0,111409.82743362832
Final Cut Pro,8247677.5,157.0,52532.97770700637
MOQ (Software),8032639.0,73.0,110036.1506849315
Cooling Towers,14771440.0,229.0,64504.10480349345
Service Improvement Planning,33584013.0,333.0,100852.8918918919
Deficits,31914920.5,488.0,65399.42725409836
Application Deployment,57684984.5,499.0,115601.17134268537
PL/SQL,100431271.0,898.0,111838.83184855233
Nagios,19708711.0,185.0,106533.57297297298
Corporate Communications,45201211.5,637.0,70959.51569858713
Operating Margins,10467771.5,55.0,190323.1181818182
Serial Peripheral Interface,20476601.0,194.0,105549.48969072165
iCIMS (Recruitment Software),8922694.5,137.0,65129.15693430657
Social Media Campaigns,43999022.5,751.0,58587.24700399467
Bench Grinders,4203317.5,86.0,48875.78488372093
Cisco Meraki,37871642.5,448.0,84534.91629464286
American Institute Of Architects,27538897.5,406.0,67829.79679802955
Network Control,8487905.5,168.0,50523.24702380953
Engineering Change Order,28707275.0,377.0,76146.61803713528
Ionizing Radiation,7005929.5,91.0,76988.23626373627
Hydrography,88127.0,1.0,88127.0
ClickTale,563880.0,4.0,140970.0
Biopharmaceuticals,44127066.0,546.0,80818.8021978022
Pega Robotics Software,654600.0,6.0,109100.0
Product Renewals,483200.0,6.0,80533.33333333333
CCURE (Security And Event Management System),1512732.0,22.0,68760.54545454546
Tissue Engineering,501500.0,6.0,83583.33333333333
Doctor Of Dental Medicine (DMD),65288732.5,349.0,187073.73209169053
Google Ads,82851580.5,1305.0,63487.801149425286
Java Virtual Machine (JVM),30265862.0,256.0,118226.0234375
Biotechnology,101820551.0,1111.0,91647.6606660666
Blaze Advisor,639600.0,4.0,159900.0
Information Technology,1159935550.5,12820.0,90478.5920826833
Industrial Dishwashers,19644104.5,631.0,31131.702852614897
Matrix Factorization,273400.0,2.0,136700.0
Optical Character Recognition (OCR),3757519.5,48.0,78281.65625
System Administration,268645800.5,2892.0,92892.73876210235
Smart Device,29705061.0,735.0,40415.04897959184
Recruitment Planning,45816899.0,772.0,59348.31476683938
Motion Graphics,19542791.5,304.0,64285.49835526316
Logical Reasoning,14444642.5,241.0,59936.275933609955
SHRM-CP (Society for Human Resource Management Certified Professional),36803465.5,504.0,73022.74900793651
Technology Strategies,63369165.0,445.0,142402.61797752808
Cycle Time Variation,21946609.0,255.0,86065.13333333333
Clinical Consulting,26885117.0,257.0,104611.35019455253
Psychosocial Assessments,41615948.5,501.0,83065.76546906188
Data Centers,76445761.0,837.0,91333.04778972521
Information Security Management Systems,5111430.5,59.0,86634.41525423729
Microsoft PowerPoint,2301296598.5,34830.0,66072.25376112547
Food And Beverage Management,9451637.5,173.0,54633.742774566475
Operating Expense,68841896.0,878.0,78407.6264236902
VLAN Management Policy Server,1632475.0,12.0,136039.58333333334
Forklift Safety,21802970.0,565.0,38589.32743362832
Food Packaging,29834816.5,620.0,48120.67177419355
Travel Arrangements,261187666.5,5284.0,49429.914174867525
Image Resolution,5126523.0,106.0,48363.42452830189
Culinary Arts,32940770.0,745.0,44215.79865771812
Fact Sheets,19813887.0,315.0,62901.22857142857
Business Office Procedures,1168294.0,24.0,48678.916666666664
Planning,5080902620.0,71001.0,71561.00083097421
Working Capital,45503857.0,482.0,94406.34232365145
Remote Desktop Services,30297492.0,508.0,59640.73228346457
APICS Certified Supply Chain Professional,7798774.0,85.0,91750.28235294118
Investment Concepts,7333631.0,62.0,118284.37096774194
International Taxation,27736486.0,255.0,108770.53333333334
Financial Risk Management,8269857.5,67.0,123430.70895522388
Student Services,95178752.0,1889.0,50385.787188988885
Professional Writing,15738081.0,271.0,58074.09963099631
Mathematical Programming,1709866.5,14.0,122133.32142857143
Data Profiling,32267567.0,294.0,109753.62925170068
Equipment Maintenance,214746241.0,4444.0,48322.736498649865
Reagent,10881275.5,219.0,49686.18949771689
OTC (Over-The-Counter) Derivatives,13851591.5,138.0,100373.85144927536
Press Releases,140710600.0,2354.0,59775.106202209005
Fiber Optics,25462371.5,445.0,57218.81235955056
Certified Professional Coder,15197604.5,274.0,55465.709854014596
Blood Banking,19085693.5,274.0,69655.81569343066
Diagnostic Medical Sonography,6119902.0,60.0,101998.36666666667
Information Synthesis,29216554.5,357.0,81839.08823529411
Transportation Management,43951829.0,832.0,52826.71754807692
Operational Historian,2412000.0,19.0,126947.36842105263
Information Technology Infrastructure Library,178033098.0,1666.0,106862.60384153662
Tariff,1660520.0,27.0,61500.74074074074
Arbitration,31898737.5,386.0,82639.21632124353
Endoscopy,63883102.5,570.0,112075.61842105263
Code Coverage,48273697.5,402.0,120083.82462686567
Isolation Procedures,5023614.5,119.0,42215.247899159665
Global Delivery Model,15363638.0,154.0,99763.88311688312
DC Distribution Systems,1129844.0,18.0,62769.11111111111
Technical Documentation,192126665.5,2119.0,90668.55379896177
Order Management,98346413.5,1347.0,73011.4428359317
Building Management Systems,8718170.5,107.0,81478.22897196261
Media Relations,61865169.0,962.0,64308.907484407486
Perioperative Nursing,15223580.0,181.0,84108.1767955801
Menu Planning,33329996.5,620.0,53758.05887096774
Implied Volatility,0.0,0.0,
Engineering Analysis,15083923.5,143.0,105481.98251748252
Hoisting,108799412.5,2491.0,43677.002207948615
PHP Frameworks,7155258.5,73.0,98017.2397260274
Water Quality,3860158.0,68.0,56767.029411764706
Instagram,107674313.0,2192.0,49121.49315693431
Individualized Instruction,17578028.0,381.0,46136.556430446195
Insurance Regulatory Law,3160035.0,33.0,95758.63636363637
Numeric Data Entry,14425202.5,408.0,35355.888480392154
Cost Engineering,30028375.0,295.0,101791.10169491525
Multiple Sclerosis,3147722.5,47.0,66972.81914893616
Systems Thinking,62046880.0,533.0,116410.65666041276
Business Support Systems,57765787.5,697.0,82877.74390243902
Academic Record-Keeping,8112213.5,186.0,43614.05107526882
Calculus,55974186.0,783.0,71486.8275862069
Internal Auditing,330527704.5,3962.0,83424.45848056537
Fair Debt Collection Practices Act,13853684.0,350.0,39581.95428571429
Public History,686532.5,14.0,49038.03571428572
Accident Reporting,51377975.5,1155.0,44483.09567099567
Oracle Hyperion Financial Management,27857624.0,272.0,102417.73529411765
Patient Positioning,73406407.0,1034.0,70992.65667311412
Deferred Tax,3938398.0,36.0,109399.94444444444
Esthetician License,72702586.0,793.0,91680.43631778058
Trading Strategy,32925695.5,293.0,112374.38737201365
Preparedness,13541938.0,210.0,64485.41904761905
Transfer Pricing,21550599.5,186.0,115863.43817204301
Project Risk Management,156098056.5,1352.0,115457.1423816568
Linux,762870925.0,6808.0,112055.07123971797
Titration,12059551.0,220.0,54816.14090909091
Advertising Campaigns,39347577.5,668.0,58903.559131736525
Route Sales,49659034.5,973.0,51037.034429599174
International Communications,363300.0,7.0,51900.0
Presentation Skills,1150058797.5,13691.0,84001.08081951647
Insurance License,269704245.0,3740.0,72113.43449197861
Shrink Wrapping,143099273.5,4238.0,33765.75589900897
Vendor Contracts,53231963.5,673.0,79096.52823179791
Hypertension,5851864.5,72.0,81275.89583333333
Ammeter,5930395.5,100.0,59303.955
Amortization,12354755.0,160.0,77217.21875
Environmental Management Systems,12272535.0,181.0,67804.06077348067
Limited Liability,5919835.0,69.0,85794.71014492754
Cardiac Surgery,42075121.0,470.0,89521.53404255319
Pardot (CRM Software),41914512.0,459.0,91317.01960784313
Customer Interaction Management,136660208.0,2798.0,48842.104360257326
Scientific Computing,3948700.0,36.0,109686.11111111111
Value Chain,6843021.0,60.0,114050.35
Job Architecture,2203916.5,23.0,95822.45652173914
Business Interaction Networks,2390350.0,23.0,103928.26086956522
Collibra (Software),9388543.0,77.0,121929.12987012987
Knowledge Base,4586001.0,60.0,76433.35
Medical Science Liaison,6354329.0,41.0,154983.63414634147
Integrated Business Planning,8609925.0,85.0,101293.23529411765
Data Visualization,229144127.5,2287.0,100194.19654569305
Uniform Standards Of Professional Appraisal Practices,1032188.0,17.0,60716.94117647059
Disease Management,32453851.0,376.0,86313.4335106383
Healthcare Customer Service,14502926.5,420.0,34530.77738095238
Synthetic Biology,584182.0,7.0,83454.57142857143
Certified Payroll Professional,11340551.5,196.0,57859.95663265306
Next-Generation Sequencing,3431361.0,47.0,73007.68085106384
A/B Testing,63420398.5,648.0,97870.98533950618
Loan Documentation,86893375.5,1220.0,71224.07827868852
Property Insurance,8947185.0,129.0,69358.02325581395
Health Information Exchange (HIE),1030120.0,11.0,93647.27272727272
Policy Evaluation,7306074.5,96.0,76104.94270833333
Spring Framework,314650536.0,2599.0,121066.00076952674
JavaServer Pages,51194753.5,455.0,112515.94175824175
Glass Cutters,837904.0,21.0,39900.19047619047
Medical Assistance,427367097.0,9304.0,45933.69486242477
Field Research,13985423.5,251.0,55718.818725099605
Furniture Assembly,25647312.0,617.0,41567.76661264181
Mathematical Analysis,4165039.0,66.0,63106.65151515151
Weatherization,5986513.5,92.0,65070.79891304348
Juris Doctor,44589272.0,460.0,96933.2
Kentico,10013927.5,90.0,111265.86111111111
IBM Tivoli Management Framework,5686661.5,61.0,93223.95901639345
Clinical Social Work,14758186.0,213.0,69287.25821596244
Operating Room (OR),230708703.5,2325.0,99229.54989247312
Balsamiq Studios,11282663.0,107.0,105445.44859813084
Employee Engagement,323359918.5,4116.0,78561.69059766764
Design Modification,12668592.0,142.0,89215.43661971831
Life Coaching,39205351.5,602.0,65125.16860465116
Open Source Technology,71337487.5,600.0,118895.8125
Promotional Merchandise,57104551.0,1070.0,53368.73925233645
Keys And Locks,56787656.5,1383.0,41061.212219812005
Computerized Maintenance Management Systems,63137465.5,935.0,67526.70106951872
Medicinal Chemistry,2269857.5,34.0,66760.51470588235
Tooling,481799542.0,7177.0,67131.04946356417
Crystal Reports (Reporting Software),35816493.0,456.0,78544.94078947368
Digital Image,1174281.0,18.0,65237.833333333336
Business Process Outsourcing,20192823.5,225.0,89745.88222222222
Order Entry,298952727.5,7459.0,40079.46474058185
Product Leadership,17501436.5,152.0,115141.02960526316
Self-Confidence,19860806.0,300.0,66202.68666666666
Bluecoat Proxies,9961090.0,108.0,92232.31481481482
Expediting Orders,41804475.0,984.0,42484.22256097561
Motor Oils,5195992.0,95.0,54694.652631578945
Equal Credit Opportunity Act,8055599.0,88.0,91540.89772727272
London Interbank Offered Rate (LIBOR),4862740.5,63.0,77186.35714285714
Intermodal Container,2884749.5,42.0,68684.51190476191
Jewish Studies,862645.5,20.0,43132.275
Nutraceuticals,10373589.0,91.0,113995.48351648351
Direct Investments,1514580.0,17.0,89092.94117647059
Microsoft Visio,339189699.0,3400.0,99761.67617647059
Automatic Call Distributor,7319459.5,113.0,64773.9778761062
Electrical Theory,6957460.0,109.0,63829.908256880735
Sheet Metal,90022673.5,1701.0,52923.382422104645
Denormalization,2343240.0,18.0,130180.0
Team Leadership,933530889.5,14528.0,64257.35748210352
PowerSchool (Software),7481925.5,164.0,45621.49695121951
Utilization Management,118625912.5,1373.0,86399.06227239622
Order Management Systems,116500999.0,1644.0,70864.35462287105
Endocrinology,26252215.5,268.0,97956.02798507463
Lifelong Learning,26970874.5,509.0,52987.96561886051
Nfpa 72,1081560.0,17.0,63621.17647058824
Certified Forklift Operator,211736402.5,5828.0,36330.88580988332
SUSE Linux,12832181.5,101.0,127051.30198019803
Cloud Engineering,69215926.0,515.0,134399.8563106796
Demonstration Skills,224644448.5,3515.0,63910.227169274534
Web Development,211403764.5,2299.0,91954.6605045672
Petroleum Engineering,1685956.5,19.0,88734.55263157895
Drill Bits,1126562.5,30.0,37552.083333333336
Data Curation,2885164.0,36.0,80143.44444444444
Cartooning,3672521.0,103.0,35655.54368932039
Geometric Design,372432.5,5.0,74486.5
Insurance Follow-Up,8765822.5,223.0,39308.62107623318
Certified Industrial Hygienist (CIH),9194753.5,94.0,97816.52659574468
Microsoft Business Intelligence,12712106.5,107.0,118804.7336448598
Acquisition Due Diligence,7126321.5,61.0,116824.94262295082
Standing Wave Ratios,118560.0,2.0,59280.0
Big-Box Stores,19243524.5,570.0,33760.56929824562
Coder Certification,18265956.5,327.0,55859.194189602444
Service Discovery,13013591.0,115.0,113161.66086956521
Social Media Monitoring,9944347.5,196.0,50736.4668367347
Query Performance,10359133.5,83.0,124808.8373493976
Cash Control,59740737.0,1531.0,39020.72958850425
Military Standards And Specifications,8431092.0,103.0,81855.26213592233
Communications,20518583812.0,370406.0,55394.84730808896
IOS Applications,23559004.0,189.0,124650.81481481482
Cacti,2766177.5,31.0,89231.53225806452
Request For Quotation (RFQ),59908518.5,890.0,67312.94213483146
Photodynamic Therapy,46800.0,1.0,46800.0
JavaServer Faces,14330024.0,123.0,116504.26016260163
Surgical Technology,9381358.0,129.0,72723.7054263566
Apparel Sales,2329521.0,55.0,42354.92727272727
Intrusion Detection Systems,16700939.5,148.0,112844.18581081081
Stenography,2280713.0,57.0,40012.508771929824
Coupa (Spend Management Software),13342509.5,141.0,94627.72695035461
Fire Suppression Systems,33967618.5,328.0,103559.8125
Embedded Software,56540287.5,508.0,111299.77854330708
Purchasing,1357893837.0,23169.0,58608.219474297555
Automobile Dealership,28053899.0,388.0,72303.86340206186
Dynamic Simulation,1978466.5,20.0,98923.325
AutoCAD,321172522.5,4569.0,70293.83289560079
Constructive Feedback,157369452.0,2620.0,60064.67633587786
Two-Way Radios,38951530.5,1020.0,38187.775
Pair Programming,39796839.5,316.0,125939.36550632911
Patch Management,33206728.0,338.0,98244.7573964497
General Surgery,37864972.0,351.0,107877.4131054131
Advanced Emergency Medical Technician (AEMT),651220.0,13.0,50093.846153846156
Therapeutic Gas Administration Apparatus,2120762.5,23.0,92207.06521739131
Educational Leadership,20315988.5,302.0,67271.48509933775
Forensic Accounting,7617723.0,94.0,81039.60638297872
Overcoming Objections,134409519.0,2252.0,59684.51110124334
Human Resources Information System (HRIS),244213849.5,3787.0,64487.41734882493
Functional Programming,50064032.5,383.0,130715.48955613577
Certified Coding Specialist,39649004.5,650.0,60998.46846153846
Command Prompt,1761660.0,23.0,76593.91304347826
Pharmacology,29708356.0,379.0,78386.1635883905
Twilio,7116326.5,61.0,116661.09016393442
Xactimate (Claims Estimating Software),32004580.5,480.0,66676.209375
Minor Surgery,17446574.0,167.0,104470.50299401197
Breast Examinations,0.0,0.0,
Mass Marketing,1745500.0,34.0,51338.23529411765
Workday (Software),140118453.0,1540.0,90986.00844155844
Spreadsheets,938350492.0,19269.0,48697.415122736
Hospital Admissions,29478283.0,552.0,53402.686594202896
Telepresence,4730822.5,68.0,69570.91911764706
AWS Certified Solutions Architect,10462488.5,74.0,141384.97972972973
Electrical Wiring,323542338.0,6254.0,51733.6645346978
