,,Skill subcat: Scripting Languages
"DuPage, IL",2023-12-01,0.03322119453473211
"DuPage, IL",2024-01-01,0.0335631648111207
"DuPage, IL",2024-02-01,0.03498302195887061
"DuPage, IL",2024-03-01,0.03592099762647051
"DuPage, IL",2024-04-01,0.036533680499872
"DuPage, IL",2024-05-01,0.0366667764643232
"DuPage, IL",2024-06-01,0.036600197720988
"DuPage, IL",2024-07-01,0.0376261748164849
"DuPage, IL",2024-08-01,0.03851687744804708
"DuPage, IL",2024-09-01,0.03993088743008019
"Lake, IL",2022-08-01,0.04056516007240732
"Lake, IL",2022-09-01,0.0397716008315211
"Lake, IL",2022-10-01,0.0394522229749219
"Lake, IL",2022-11-01,0.0390998394246379
"Lake, IL",2022-12-01,0.03813932180807549
"Lake, IL",2023-01-01,0.0374328485716438
"Lake, IL",2023-02-01,0.03688730511014611
"Lake, IL",2023-03-01,0.0358738088917086
"Lake, IL",2023-04-01,0.0348041126402917
"Lake, IL",2023-05-01,0.03443001534748281
"Lake, IL",2023-06-01,0.03394119133779749
"Lake, IL",2023-07-01,0.03317518052596688
"Lake, IL",2023-08-01,0.03275866638851659
"Lake, IL",2023-09-01,0.03230900859801449
"Lake, IL",2023-10-01,0.0325041752194668
"Lake, IL",2023-11-01,0.032907774613467
"Lake, IL",2023-12-01,0.03322119453473211
"Lake, IL",2024-01-01,0.0335631648111207
"Lake, IL",2024-02-01,0.03498302195887061
"Lake, IL",2024-03-01,0.03592099762647051
"Lake, IL",2024-04-01,0.036533680499872
"Lake, IL",2024-05-01,0.0366667764643232
"Lake, IL",2024-06-01,0.036600197720988
"Lake, IL",2024-07-01,0.0376261748164849
"Lake, IL",2024-08-01,0.03851687744804708
"Lake, IL",2024-09-01,0.03993088743008019
"Will, IL",2022-08-01,0.04056516007240732
"Will, IL",2022-09-01,0.0397716008315211
"Will, IL",2022-10-01,0.0394522229749219
"Will, IL",2022-11-01,0.0390998394246379
"Will, IL",2022-12-01,0.03813932180807549
"Will, IL",2023-01-01,0.0374328485716438
"Will, IL",2023-02-01,0.03688730511014611
"Will, IL",2023-03-01,0.0358738088917086
"Will, IL",2023-04-01,0.0348041126402917
"Will, IL",2023-05-01,0.03443001534748281
"Will, IL",2023-06-01,0.03394119133779749
"Will, IL",2023-07-01,0.03317518052596688
"Will, IL",2023-08-01,0.03275866638851659
"Will, IL",2023-09-01,0.03230900859801449
"Will, IL",2023-10-01,0.0325041752194668
"Will, IL",2023-11-01,0.032907774613467
"Will, IL",2023-12-01,0.03322119453473211
"Will, IL",2024-01-01,0.0335631648111207
"Will, IL",2024-02-01,0.03498302195887061
"Will, IL",2024-03-01,0.03592099762647051
"Will, IL",2024-04-01,0.036533680499872
"Will, IL",2024-05-01,0.0366667764643232
"Will, IL",2024-06-01,0.036600197720988
"Will, IL",2024-07-01,0.0376261748164849
"Will, IL",2024-08-01,0.03851687744804708
"Will, IL",2024-09-01,0.03993088743008019
"Kane, IL",2022-08-01,0.04056516007240732
"Kane, IL",2022-09-01,0.0397716008315211
"Kane, IL",2022-10-01,0.0394522229749219
"Kane, IL",2022-11-01,0.0390998394246379
"Kane, IL",2022-12-01,0.03813932180807549
"Kane, IL",2023-01-01,0.0374328485716438
"Kane, IL",2023-02-01,0.03688730511014611
"Kane, IL",2023-03-01,0.0358738088917086
"Kane, IL",2023-04-01,0.0348041126402917
"Kane, IL",2023-05-01,0.03443001534748281
"Kane, IL",2023-06-01,0.03394119133779749
"Kane, IL",2023-07-01,0.03317518052596688
"Kane, IL",2023-08-01,0.03275866638851659
"Kane, IL",2023-09-01,0.03230900859801449
"Kane, IL",2023-10-01,0.0325041752194668
"Kane, IL",2023-11-01,0.032907774613467
"Kane, IL",2023-12-01,0.03322119453473211
"Kane, IL",2024-01-01,0.0335631648111207
"Kane, IL",2024-02-01,0.03498302195887061
"Kane, IL",2024-03-01,0.03592099762647051
"Kane, IL",2024-04-01,0.036533680499872
"Kane, IL",2024-05-01,0.0366667764643232
"Kane, IL",2024-06-01,0.036600197720988
"Kane, IL",2024-07-01,0.0376261748164849
"Kane, IL",2024-08-01,0.03851687744804708
"Kane, IL",2024-09-01,0.03993088743008019
"Lake, IN",2022-08-01,0.04056516007240732
"Lake, IN",2022-09-01,0.0397716008315211
"Lake, IN",2022-10-01,0.0394522229749219
"Lake, IN",2022-11-01,0.0390998394246379
"Lake, IN",2022-12-01,0.03813932180807549
"Lake, IN",2023-01-01,0.0374328485716438
"Lake, IN",2023-02-01,0.03688730511014611
"Lake, IN",2023-03-01,0.0358738088917086
"Lake, IN",2023-04-01,0.0348041126402917
"Lake, IN",2023-05-01,0.03443001534748281
"Lake, IN",2023-06-01,0.03394119133779749
"Lake, IN",2023-07-01,0.03317518052596688
"Lake, IN",2023-08-01,0.03275866638851659
"Lake, IN",2023-09-01,0.03230900859801449
"Lake, IN",2023-10-01,0.0325041752194668
"Lake, IN",2023-11-01,0.032907774613467
"Lake, IN",2023-12-01,0.03322119453473211
"Lake, IN",2024-01-01,0.0335631648111207
"Lake, IN",2024-02-01,0.03498302195887061
"Lake, IN",2024-03-01,0.03592099762647051
"Lake, IN",2024-04-01,0.036533680499872
"Lake, IN",2024-05-01,0.0366667764643232
"Lake, IN",2024-06-01,0.036600197720988
"Lake, IN",2024-07-01,0.0376261748164849
"Lake, IN",2024-08-01,0.03851687744804708
"Lake, IN",2024-09-01,0.03993088743008019
"McHenry, IL",2022-08-01,0.04056516007240732
"McHenry, IL",2022-09-01,0.0397716008315211
"McHenry, IL",2022-10-01,0.0394522229749219
"McHenry, IL",2022-11-01,0.0390998394246379
"McHenry, IL",2022-12-01,0.03813932180807549
"McHenry, IL",2023-01-01,0.0374328485716438
"McHenry, IL",2023-02-01,0.03688730511014611
"McHenry, IL",2023-03-01,0.0358738088917086
"McHenry, IL",2023-04-01,0.0348041126402917
"McHenry, IL",2023-05-01,0.03443001534748281
"McHenry, IL",2023-06-01,0.03394119133779749
"McHenry, IL",2023-07-01,0.03317518052596688
"McHenry, IL",2023-08-01,0.03275866638851659
"McHenry, IL",2023-09-01,0.03230900859801449
"McHenry, IL",2023-10-01,0.0325041752194668
"McHenry, IL",2023-11-01,0.032907774613467
"McHenry, IL",2023-12-01,0.03322119453473211
"McHenry, IL",2024-01-01,0.0335631648111207
"McHenry, IL",2024-02-01,0.03498302195887061
"McHenry, IL",2024-03-01,0.03592099762647051
"McHenry, IL",2024-04-01,0.036533680499872
"McHenry, IL",2024-05-01,0.0366667764643232
"McHenry, IL",2024-06-01,0.036600197720988
"McHenry, IL",2024-07-01,0.0376261748164849
"McHenry, IL",2024-08-01,0.03851687744804708
"McHenry, IL",2024-09-01,0.03993088743008019
"Kenosha, WI",2022-08-01,0.04056516007240732
"Kenosha, WI",2022-09-01,0.0397716008315211
"Kenosha, WI",2022-10-01,0.0394522229749219
"Kenosha, WI",2022-11-01,0.0390998394246379
"Kenosha, WI",2022-12-01,0.03813932180807549
"Kenosha, WI",2023-01-01,0.0374328485716438
"Kenosha, WI",2023-02-01,0.03688730511014611
"Kenosha, WI",2023-03-01,0.0358738088917086
"Kenosha, WI",2023-04-01,0.0348041126402917
"Kenosha, WI",2023-05-01,0.03443001534748281
"Kenosha, WI",2023-06-01,0.03394119133779749
"Kenosha, WI",2023-07-01,0.03317518052596688
"Kenosha, WI",2023-08-01,0.03275866638851659
"Kenosha, WI",2023-09-01,0.03230900859801449
"Kenosha, WI",2023-10-01,0.0325041752194668
"Kenosha, WI",2023-11-01,0.032907774613467
"Kenosha, WI",2023-12-01,0.03322119453473211
"Kenosha, WI",2024-01-01,0.0335631648111207
"Kenosha, WI",2024-02-01,0.03498302195887061
"Kenosha, WI",2024-03-01,0.03592099762647051
"Kenosha, WI",2024-04-01,0.036533680499872
"Kenosha, WI",2024-05-01,0.0366667764643232
"Kenosha, WI",2024-06-01,0.036600197720988
"Kenosha, WI",2024-07-01,0.0376261748164849
"Kenosha, WI",2024-08-01,0.03851687744804708
"Kenosha, WI",2024-09-01,0.03993088743008019
"Porter, IN",2022-08-01,0.04056516007240732
"Porter, IN",2022-09-01,0.0397716008315211
"Porter, IN",2022-10-01,0.0394522229749219
"Porter, IN",2022-11-01,0.0390998394246379
"Porter, IN",2022-12-01,0.03813932180807549
"Porter, IN",2023-01-01,0.0374328485716438
"Porter, IN",2023-02-01,0.03688730511014611
"Porter, IN",2023-03-01,0.0358738088917086
"Porter, IN",2023-04-01,0.0348041126402917
"Porter, IN",2023-05-01,0.03443001534748281
"Porter, IN",2023-06-01,0.03394119133779749
"Porter, IN",2023-07-01,0.03317518052596688
"Porter, IN",2023-08-01,0.03275866638851659
"Porter, IN",2023-09-01,0.03230900859801449
"Porter, IN",2023-10-01,0.0325041752194668
"Porter, IN",2023-11-01,0.032907774613467
"Porter, IN",2023-12-01,0.03322119453473211
"Porter, IN",2024-01-01,0.0335631648111207
"Porter, IN",2024-02-01,0.03498302195887061
"Porter, IN",2024-03-01,0.03592099762647051
"Porter, IN",2024-04-01,0.036533680499872
"Porter, IN",2024-05-01,0.0366667764643232
"Porter, IN",2024-06-01,0.036600197720988
"Porter, IN",2024-07-01,0.0376261748164849
"Porter, IN",2024-08-01,0.03851687744804708
"Porter, IN",2024-09-01,0.03993088743008019
"DeKalb, IL",2022-08-01,0.04056516007240732
"DeKalb, IL",2022-09-01,0.0397716008315211
"DeKalb, IL",2022-10-01,0.0394522229749219
"DeKalb, IL",2022-11-01,0.0390998394246379
"DeKalb, IL",2022-12-01,0.03813932180807549
"DeKalb, IL",2023-01-01,0.0374328485716438
"DeKalb, IL",2023-02-01,0.03688730511014611
"DeKalb, IL",2023-03-01,0.0358738088917086
"DeKalb, IL",2023-04-01,0.0348041126402917
"DeKalb, IL",2023-05-01,0.03443001534748281
"DeKalb, IL",2023-06-01,0.03394119133779749
"DeKalb, IL",2023-07-01,0.03317518052596688
"DeKalb, IL",2023-08-01,0.03275866638851659
"DeKalb, IL",2023-09-01,0.03230900859801449
"DeKalb, IL",2023-10-01,0.0325041752194668
"DeKalb, IL",2023-11-01,0.032907774613467
"DeKalb, IL",2023-12-01,0.03322119453473211
"DeKalb, IL",2024-01-01,0.0335631648111207
"DeKalb, IL",2024-02-01,0.03498302195887061
"DeKalb, IL",2024-03-01,0.03592099762647051
"DeKalb, IL",2024-04-01,0.036533680499872
"DeKalb, IL",2024-05-01,0.0366667764643232
"DeKalb, IL",2024-06-01,0.036600197720988
"DeKalb, IL",2024-07-01,0.0376261748164849
"DeKalb, IL",2024-08-01,0.03851687744804708
"DeKalb, IL",2024-09-01,0.03993088743008019
"Kendall, IL",2022-08-01,0.04056516007240732
"Kendall, IL",2022-09-01,0.0397716008315211
"Kendall, IL",2022-10-01,0.0394522229749219
"Kendall, IL",2022-11-01,0.0390998394246379
"Kendall, IL",2022-12-01,0.03813932180807549
"Kendall, IL",2023-01-01,0.0374328485716438
"Kendall, IL",2023-02-01,0.03688730511014611
"Kendall, IL",2023-03-01,0.0358738088917086
"Kendall, IL",2023-04-01,0.0348041126402917
"Kendall, IL",2023-05-01,0.03443001534748281
"Kendall, IL",2023-06-01,0.03394119133779749
"Kendall, IL",2023-07-01,0.03317518052596688
"Kendall, IL",2023-08-01,0.03275866638851659
"Kendall, IL",2023-09-01,0.03230900859801449
"Kendall, IL",2023-10-01,0.0325041752194668
"Kendall, IL",2023-11-01,0.032907774613467
"Kendall, IL",2023-12-01,0.03322119453473211
"Kendall, IL",2024-01-01,0.0335631648111207
"Kendall, IL",2024-02-01,0.03498302195887061
"Kendall, IL",2024-03-01,0.03592099762647051
"Kendall, IL",2024-04-01,0.036533680499872
"Kendall, IL",2024-05-01,0.0366667764643232
"Kendall, IL",2024-06-01,0.036600197720988
"Kendall, IL",2024-07-01,0.0376261748164849
"Kendall, IL",2024-08-01,0.03851687744804708
"Kendall, IL",2024-09-01,0.03993088743008019
"Grundy, IL",2022-08-01,0.04056516007240732
"Grundy, IL",2022-09-01,0.0397716008315211
"Grundy, IL",2022-10-01,0.0394522229749219
"Grundy, IL",2022-11-01,0.0390998394246379
"Grundy, IL",2022-12-01,0.03813932180807549
"Grundy, IL",2023-01-01,0.0374328485716438
"Grundy, IL",2023-02-01,0.03688730511014611
"Grundy, IL",2023-03-01,0.0358738088917086
"Grundy, IL",2023-04-01,0.0348041126402917
"Grundy, IL",2023-05-01,0.03443001534748281
"Grundy, IL",2023-06-01,0.03394119133779749
"Grundy, IL",2023-07-01,0.03317518052596688
"Grundy, IL",2023-08-01,0.03275866638851659
"Grundy, IL",2023-09-01,0.03230900859801449
"Grundy, IL",2023-10-01,0.0325041752194668
"Grundy, IL",2023-11-01,0.032907774613467
"Grundy, IL",2023-12-01,0.03322119453473211
"Grundy, IL",2024-01-01,0.0335631648111207
"Grundy, IL",2024-02-01,0.03498302195887061
"Grundy, IL",2024-03-01,0.03592099762647051
"Grundy, IL",2024-04-01,0.036533680499872
"Grundy, IL",2024-05-01,0.0366667764643232
"Grundy, IL",2024-06-01,0.036600197720988
"Grundy, IL",2024-07-01,0.0376261748164849
"Grundy, IL",2024-08-01,0.03851687744804708
"Grundy, IL",2024-09-01,0.03993088743008019
"Jasper, IN",2022-08-01,0.04056516007240732
"Jasper, IN",2022-09-01,0.0397716008315211
"Jasper, IN",2022-10-01,0.0394522229749219
"Jasper, IN",2022-11-01,0.0390998394246379
"Jasper, IN",2022-12-01,0.03813932180807549
"Jasper, IN",2023-01-01,0.0374328485716438
"Jasper, IN",2023-02-01,0.03688730511014611
"Jasper, IN",2023-03-01,0.0358738088917086
"Jasper, IN",2023-04-01,0.0348041126402917
"Jasper, IN",2023-05-01,0.03443001534748281
"Jasper, IN",2023-06-01,0.03394119133779749
"Jasper, IN",2023-07-01,0.03317518052596688
"Jasper, IN",2023-08-01,0.03275866638851659
"Jasper, IN",2023-09-01,0.03230900859801449
"Jasper, IN",2023-10-01,0.0325041752194668
"Jasper, IN",2023-11-01,0.032907774613467
"Jasper, IN",2023-12-01,0.03322119453473211
"Jasper, IN",2024-01-01,0.0335631648111207
"Jasper, IN",2024-02-01,0.03498302195887061
"Jasper, IN",2024-03-01,0.03592099762647051
"Jasper, IN",2024-04-01,0.036533680499872
"Jasper, IN",2024-05-01,0.0366667764643232
"Jasper, IN",2024-06-01,0.036600197720988
"Jasper, IN",2024-07-01,0.0376261748164849
"Jasper, IN",2024-08-01,0.03851687744804708
"Jasper, IN",2024-09-01,0.03993088743008019
"Newton, IN",2022-08-01,0.04056516007240732
"Newton, IN",2022-09-01,0.0397716008315211
"Newton, IN",2022-10-01,0.0394522229749219
"Newton, IN",2022-11-01,0.0390998394246379
"Newton, IN",2022-12-01,0.03813932180807549
"Newton, IN",2023-01-01,0.0374328485716438
"Newton, IN",2023-02-01,0.03688730511014611
"Newton, IN",2023-03-01,0.0358738088917086
"Newton, IN",2023-04-01,0.0348041126402917
"Newton, IN",2023-05-01,0.03443001534748281
"Newton, IN",2023-06-01,0.03394119133779749
"Newton, IN",2023-07-01,0.03317518052596688
"Newton, IN",2023-08-01,0.03275866638851659
"Newton, IN",2023-09-01,0.03230900859801449
"Newton, IN",2023-10-01,0.0325041752194668
"Newton, IN",2023-11-01,0.032907774613467
"Newton, IN",2023-12-01,0.03322119453473211
"Newton, IN",2024-01-01,0.0335631648111207
"Newton, IN",2024-02-01,0.03498302195887061
"Newton, IN",2024-03-01,0.03592099762647051
"Newton, IN",2024-04-01,0.036533680499872
"Newton, IN",2024-05-01,0.0366667764643232
"Newton, IN",2024-06-01,0.036600197720988
"Newton, IN",2024-07-01,0.0376261748164849
"Newton, IN",2024-08-01,0.03851687744804708
"Newton, IN",2024-09-01,0.03993088743008019
