,0,1,2,3,4
Counseling Services,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Computer Occupations,Business Operations Specialists,Operations Specialties Managers
Creative Design,Computer Occupations,Art and Design Workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Other Management Occupations
Criminal Investigation and Forensics,Computer Occupations,Other Protective Service Workers,Business Operations Specialists,Law Enforcement Workers,Unclassified Occupation
Critical Thinking and Problem Solving,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Cryptocurrency,Computer Occupations,Business Operations Specialists,Financial Specialists,Other Management Occupations,Unclassified Occupation
Customer Relationship Management (CRM),"Sales Representatives, Wholesale and Manufacturing",Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Information and Record Clerks
Customer Service,Information and Record Clerks,Retail Sales Workers,"Sales Representatives, Wholesale and Manufacturing",Other Management Occupations,Computer Occupations
Cybersecurity,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations,Operations Specialties Managers
Dance,Other Teachers and Instructors,Other Personal Care and Service Workers,"Entertainers and Performers, Sports and Related Workers",Postsecondary Teachers,Art and Design Workers
Data Analysis,Computer Occupations,Business Operations Specialists,Mathematical Science Occupations,Financial Specialists,Other Management Occupations
Data Collection,Computer Occupations,Mathematical Science Occupations,Other Management Occupations,Business Operations Specialists,Unclassified Occupation
Data Management,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation
Data Science,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Data Storage,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation
Data Visualization,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Database Architecture and Administration,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Databases,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Dermatology,Healthcare Diagnosing or Treating Practitioners,Other Healthcare Support Occupations,Health Technologists and Technicians,Personal Appearance Workers,Other Management Occupations
Dictation,Secretaries and Administrative Assistants,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Office and Administrative Support Workers,Other Healthcare Support Occupations
Digital Design,Computer Occupations,Art and Design Workers,Unclassified Occupation,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Digital Marketing,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Computer Occupations,"Sales Representatives, Wholesale and Manufacturing",Unclassified Occupation
Disaster Management,Other Management Occupations,Information and Record Clerks,Other Protective Service Workers,Health Technologists and Technicians,Supervisors of Sales Workers
Distributed Computing,Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Other Management Occupations,Engineers
Document Management,Other Management Occupations,Computer Occupations,Information and Record Clerks,Business Operations Specialists,Unclassified Occupation
Drafting and Engineering Design,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians",Computer Occupations,"Other Installation, Maintenance, and Repair Occupations",Art and Design Workers
E-Commerce,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Other Management Occupations
"Ear, Nose, and Throat",Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Other Healthcare Support Occupations
Earth and Space Science,Engineers,Physical Scientists,Computer Occupations,Other Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Ecology,Life Scientists,Other Management Occupations,Unclassified Occupation,Other Construction and Related Workers,"Life, Physical, and Social Science Technicians"
Economics,Financial Specialists,Business Operations Specialists,Unclassified Occupation,Mathematical Science Occupations,Operations Specialties Managers
Education Administration,Other Management Occupations,Postsecondary Teachers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Counselors, Social Workers, and Other Community and Social Service Specialists",Unclassified Occupation
Education Software and Technology,Business Operations Specialists,Other Educational Instruction and Library Occupations,Computer Occupations,Other Management Occupations,Postsecondary Teachers
Electrical Construction,"Other Installation, Maintenance, and Repair Occupations",Construction Trades Workers,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians",Other Management Occupations
Electrical Power,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Computer Occupations,Construction Trades Workers
Electrical and Computer Engineering,Computer Occupations,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Unclassified Occupation
Electromechanical Engineering,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Engineers,Computer Occupations,Assemblers and Fabricators
Electronic Hardware,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians","Other Installation, Maintenance, and Repair Occupations",Computer Occupations,Construction Trades Workers
Electronic Trading,Computer Occupations,Unclassified Occupation,"Sales Representatives, Services",Financial Specialists,Engineers
Electronics Engineering,Engineers,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Computer Occupations,Unclassified Occupation
Electronics Manufacturing,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians",Assemblers and Fabricators,Other Production Occupations,Computer Occupations
"Elements, Compounds, and Materials",Engineers,Other Production Occupations,Metal Workers and Plastic Workers,"Drafters, Engineering Technicians, and Mapping Technicians",Construction Trades Workers
Emergency Services,Other Protective Service Workers,Other Management Occupations,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Computer Occupations
Emergency and Intensive Care,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations,Other Healthcare Support Occupations
Employee Relations,Business Operations Specialists,Operations Specialties Managers,Other Management Occupations,Unclassified Occupation,Top Executives
Employee Training,Other Management Occupations,Business Operations Specialists,Operations Specialties Managers,Supervisors of Sales Workers,Computer Occupations
Endocrinology,Healthcare Diagnosing or Treating Practitioners,Other Personal Care and Service Workers,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Health Technologists and Technicians
Energy Efficiency,Engineers,Other Management Occupations,"Other Installation, Maintenance, and Repair Occupations",Other Construction and Related Workers,Information and Record Clerks
Energy Management,Engineers,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations,Computer Occupations,Business Operations Specialists
Engineering Practices,Computer Occupations,Engineers,Other Management Occupations,Business Operations Specialists,Unclassified Occupation
Engineering Software,Engineers,"Drafters, Engineering Technicians, and Mapping Technicians",Computer Occupations,Art and Design Workers,Unclassified Occupation
"Engineering, Other",Engineers,Other Management Occupations,Computer Occupations,Business Operations Specialists,"Drafters, Engineering Technicians, and Mapping Technicians"
"Engineering, Scientific, and Technical Instruments",Other Production Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Metal Workers and Plastic Workers,"Other Installation, Maintenance, and Repair Occupations",Engineers
Enterprise Application Management,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing"
Enterprise Information Management,Computer Occupations,Business Operations Specialists,Other Management Occupations,Mathematical Science Occupations,Unclassified Occupation
Environment and Resource Management,Computer Occupations,Other Management Occupations,Business Operations Specialists,Engineers,Unclassified Occupation
Environmental Engineering and Restoration,Engineers,Other Management Occupations,Business Operations Specialists,Unclassified Occupation,Physical Scientists
Environmental Geology,Engineers,Physical Scientists,Unclassified Occupation,"Life, Physical, and Social Science Technicians",Other Management Occupations
Environmental Regulations,Engineers,Other Management Occupations,Physical Scientists,Operations Specialties Managers,Business Operations Specialists
Equipment Repair and Maintenance,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Supervisors of Installation, Maintenance, and Repair Workers",Other Management Occupations
Events and Conferences,Business Operations Specialists,Other Management Occupations,Secretaries and Administrative Assistants,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Unclassified Occupation
Extensible Languages and XML,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Mathematical Science Occupations,Operations Specialties Managers
"Extraction, Transformation, and Loading (ETL)",Computer Occupations,Mathematical Science Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation
Eye Care,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Management Occupations,Retail Sales Workers,Other Protective Service Workers
Facility Management and Maintenance,"Other Installation, Maintenance, and Repair Occupations",Operations Specialties Managers,Other Management Occupations,Business Operations Specialists,Top Executives
Financial Accounting,Financial Specialists,Secretaries and Administrative Assistants,Operations Specialties Managers,Financial Clerks,Other Management Occupations
Financial Advisement,"Sales Representatives, Services",Financial Specialists,Other Management Occupations,Operations Specialties Managers,Unclassified Occupation
Financial Analysis,Financial Specialists,Operations Specialties Managers,Computer Occupations,Business Operations Specialists,Other Management Occupations
Financial Management,Financial Specialists,Other Management Occupations,Operations Specialties Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Top Executives
Financial Modeling,Financial Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Operations Specialties Managers,Unclassified Occupation
Financial Regulation,Financial Specialists,Business Operations Specialists,"Sales Representatives, Services",Unclassified Occupation,Computer Occupations
Financial Reporting,Financial Specialists,Operations Specialties Managers,Financial Clerks,Other Management Occupations,Unclassified Occupation
Financial Trading,Financial Specialists,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Operations Specialties Managers
"Fire Prevention, Safety, and Control",Other Management Occupations,"Other Installation, Maintenance, and Repair Occupations",Other Protective Service Workers,Engineers,Firefighting and Prevention Workers
Firmware,Computer Occupations,Engineers,Unclassified Occupation,Other Management Occupations,Business Operations Specialists
First Aid,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Personal Care and Service Workers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
Food Science and Processing,Operations Specialties Managers,Other Production Occupations,Cooks and Food Preparation Workers,Food Processing Workers,Other Management Occupations
Food and Beverage,Food and Beverage Serving Workers,Cooks and Food Preparation Workers,Other Management Occupations,Supervisors of Food Preparation and Serving Workers,Other Food Preparation and Serving Related Workers
Forestry,"Forest, Conservation, and Logging Workers",Unclassified Occupation,Health Technologists and Technicians,Life Scientists,Other Management Occupations
Fundraising and Crowdsourcing,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,Business Operations Specialists,Unclassified Occupation,Operations Specialties Managers
Funeral and Mortuary Services,Other Management Occupations,Unclassified Occupation,Religious Workers,Secretaries and Administrative Assistants,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Gastroenterology,Healthcare Diagnosing or Treating Practitioners,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Health Technologists and Technicians,Other Management Occupations,Other Healthcare Support Occupations
General Accounting,Financial Specialists,Operations Specialties Managers,Financial Clerks,Other Management Occupations,Unclassified Occupation
General Construction and Construction Labor,Other Management Occupations,Construction Trades Workers,"Other Installation, Maintenance, and Repair Occupations",Business Operations Specialists,Engineers
General Finance,Financial Specialists,Operations Specialties Managers,Computer Occupations,Business Operations Specialists,Unclassified Occupation
General Lending,Financial Specialists,"Sales Representatives, Services",Information and Record Clerks,Unclassified Occupation,Operations Specialties Managers
General Medical Tests and Procedures,Health Technologists and Technicians,Healthcare Diagnosing or Treating Practitioners,Other Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations
General Medicine,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Counselors, Social Workers, and Other Community and Social Service Specialists",Other Management Occupations,Other Healthcare Support Occupations
General Networking,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Other Management Occupations,Engineers
General Repairs and Maintenance,"Other Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Drafters, Engineering Technicians, and Mapping Technicians",Computer Occupations,"Supervisors of Installation, Maintenance, and Repair Workers"
General Sales Practices,"Sales Representatives, Wholesale and Manufacturing",Retail Sales Workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Supervisors of Sales Workers
General Science and Research,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,Mathematical Science Occupations
General Shipping and Receiving,Material Moving Workers,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Other Production Occupations,Unclassified Occupation,Information and Record Clerks
Genetic Disorders,Other Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,"Sales Representatives, Wholesale and Manufacturing",Life Scientists
Genetics,Mathematical Science Occupations,Life Scientists,Health Technologists and Technicians,Other Management Occupations,Computer Occupations
Geological Engineering,Engineers,Other Management Occupations,Business Operations Specialists,Unclassified Occupation,Computer Occupations
Geospatial Information and Technology,Computer Occupations,Engineers,Unclassified Occupation,Motor Vehicle Operators,Business Operations Specialists
Geriatrics,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Other Management Occupations,Other Healthcare Support Occupations
Government Assistance,Other Management Occupations,Business Operations Specialists,Computer Occupations,Healthcare Diagnosing or Treating Practitioners,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Graphic and Visual Design,Art and Design Workers,Computer Occupations,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Graphic and Visual Design Software,Art and Design Workers,Computer Occupations,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Green Architecture,Engineers,Computer Occupations,Other Management Occupations,Business Operations Specialists,"Architects, Surveyors, and Cartographers"
