,0,1,2,3,4
Civil and Architectural Engineering,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Real Estate,Construction of Buildings
Clean Energy,Unclassified Industry,"Professional, Scientific, and Technical Services",Telecommunications,Administrative and Support Services,Transportation Equipment Manufacturing
Cleaning and Janitorial Services,Unclassified Industry,Administrative and Support Services,Accommodation,Nursing and Residential Care Facilities,Ambulatory Health Care Services
Client Support,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities
Climate Change,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Food Services and Drinking Places
Clinical Informatics,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities
Clinical Trials,Educational Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Hospitals
Cloud Computing,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Cloud Solutions,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Publishing Industries (except Internet)
Coaching and Athletic Training,Unclassified Industry,Educational Services,"Amusement, Gambling, and Recreation Industries",Ambulatory Health Care Services,Social Assistance
Collaborative Software,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Commercial Lending,Credit Intermediation and Related Activities,Unclassified Industry,Management of Companies and Enterprises,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Communication,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Community and Social Work,Unclassified Industry,Social Assistance,Ambulatory Health Care Services,Educational Services,Hospitals
"Company, Product, and Service Knowledge",Unclassified Industry,"Professional, Scientific, and Technical Services",Clothing and Clothing Accessories Stores,Credit Intermediation and Related Activities,General Merchandise Stores
Compensation and Benefits,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Ambulatory Health Care Services
Computer Hardware,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Educational Services
Computer Science,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Computer-Aided Manufacturing,Unclassified Industry,Administrative and Support Services,Fabricated Metal Product Manufacturing,"Professional, Scientific, and Technical Services",Machinery Manufacturing
Concrete and Masonry,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings
Configuration Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Conservation,Unclassified Industry,"Professional, Scientific, and Technical Services","Museums, Historical Sites, and Similar Institutions",Administrative and Support Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
Construction Estimating,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Construction of Buildings,Specialty Trade Contractors
Construction Inspection,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Real Estate,Construction of Buildings
Construction Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Construction of Buildings,Specialty Trade Contractors
Construction Painting,Unclassified Industry,Administrative and Support Services,Real Estate,Chemical Manufacturing,Specialty Trade Contractors
Content Development and Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Content Management Systems,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Publishing Industries (except Internet)
Contract Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Real Estate
Cost Accounting,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Food Services and Drinking Places
Counseling Services,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services
Creative Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
Criminal Investigation and Forensics,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Building Material and Garden Equipment and Supplies Dealers,National Security and International Affairs
Critical Thinking and Problem Solving,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Cryptocurrency,Unclassified Industry,Publishing Industries (except Internet),Credit Intermediation and Related Activities,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Customer Relationship Management (CRM),Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities
Customer Service,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities
Cybersecurity,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing
Dance,Unclassified Industry,Educational Services,"Amusement, Gambling, and Recreation Industries",Accommodation,"Performing Arts, Spectator Sports, and Related Industries"
Data Analysis,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Data Collection,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services
Data Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Data Science,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Data Storage,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Data Visualization,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Database Architecture and Administration,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Educational Services
Databases,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Dermatology,Unclassified Industry,Ambulatory Health Care Services,Hospitals,"Professional, Scientific, and Technical Services",Administrative and Support Services
Dictation,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Health and Personal Care Stores,Hospitals
Digital Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Educational Services
Digital Marketing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Publishing Industries (except Internet)
Disaster Management,Unclassified Industry,Accommodation,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities
Distributed Computing,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Document Management,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services
Drafting and Engineering Design,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Machinery Manufacturing
E-Commerce,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods"
"Ear, Nose, and Throat",Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Educational Services
Earth and Space Science,"Professional, Scientific, and Technical Services",Unclassified Industry,Educational Services,Administrative and Support Services,National Security and International Affairs
Ecology,Unclassified Industry,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Educational Services
Economics,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Education Administration,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Social Assistance
Education Software and Technology,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places
Electrical Construction,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Specialty Trade Contractors
Electrical Power,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Utilities,Specialty Trade Contractors
Electrical and Computer Engineering,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing
Electromechanical Engineering,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Machinery Manufacturing,Computer and Electronic Product Manufacturing
Electronic Hardware,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Machinery Manufacturing
Electronic Trading,Unclassified Industry,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities
Electronics Engineering,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Machinery Manufacturing
Electronics Manufacturing,Unclassified Industry,Computer and Electronic Product Manufacturing,Administrative and Support Services,"Professional, Scientific, and Technical Services","Electrical Equipment, Appliance, and Component Manufacturing"
"Elements, Compounds, and Materials",Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Chemical Manufacturing
Emergency Services,Educational Services,Administrative and Support Services,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services"
Emergency and Intensive Care,Unclassified Industry,Administrative and Support Services,Hospitals,Ambulatory Health Care Services,Educational Services
Employee Relations,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Educational Services
Employee Training,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services
Endocrinology,Unclassified Industry,Social Assistance,Hospitals,Ambulatory Health Care Services,Educational Services
Energy Efficiency,Unclassified Industry,Accommodation,"Professional, Scientific, and Technical Services",Utilities,Administrative and Support Services
Energy Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Utilities,Administrative and Support Services,Real Estate
Engineering Practices,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Insurance Carriers and Related Activities
Engineering Software,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Machinery Manufacturing
"Engineering, Other",Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,Specialty Trade Contractors
"Engineering, Scientific, and Technical Instruments",Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Computer and Electronic Product Manufacturing
Enterprise Application Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet)
Enterprise Information Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,"Merchant Wholesalers, Durable Goods"
Environment and Resource Management,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Chemical Manufacturing
Environmental Engineering and Restoration,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Waste Management and Remediation Services,Chemical Manufacturing
Environmental Geology,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Waste Management and Remediation Services,Chemical Manufacturing
Environmental Regulations,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Chemical Manufacturing,Waste Management and Remediation Services
Equipment Repair and Maintenance,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,"Merchant Wholesalers, Nondurable Goods"
Events and Conferences,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Accommodation
Extensible Languages and XML,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
"Extraction, Transformation, and Loading (ETL)","Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Eye Care,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Health and Personal Care Stores,"Professional, Scientific, and Technical Services"
Facility Management and Maintenance,Unclassified Industry,Administrative and Support Services,Real Estate,"Professional, Scientific, and Technical Services",Educational Services
Financial Accounting,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Real Estate
Financial Advisement,Credit Intermediation and Related Activities,Unclassified Industry,Insurance Carriers and Related Activities,Educational Services,"Professional, Scientific, and Technical Services"
Financial Analysis,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Financial Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Financial Modeling,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Financial Regulation,Credit Intermediation and Related Activities,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
Financial Reporting,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Credit Intermediation and Related Activities
Financial Trading,Unclassified Industry,Credit Intermediation and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","Professional, Scientific, and Technical Services",Administrative and Support Services
"Fire Prevention, Safety, and Control",Educational Services,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services
Firmware,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,Educational Services
First Aid,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities
Food Science and Processing,Food Manufacturing,Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Food Services and Drinking Places
Food and Beverage,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation
Forestry,Administrative and Support Services,Unclassified Industry,Crop Production,Specialty Trade Contractors,"Professional, Scientific, and Technical Services"
Fundraising and Crowdsourcing,Unclassified Industry,Educational Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Social Assistance,"Professional, Scientific, and Technical Services"
Funeral and Mortuary Services,Personal and Laundry Services,Unclassified Industry,Administrative and Support Services,Hospitals,Nursing and Residential Care Facilities
Gastroenterology,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Educational Services
General Accounting,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
General Construction and Construction Labor,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Construction of Buildings,Specialty Trade Contractors
General Finance,Unclassified Industry,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities
General Lending,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities
General Medical Tests and Procedures,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities
General Medicine,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,"Professional, Scientific, and Technical Services"
General Networking,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Telecommunications,Insurance Carriers and Related Activities
General Repairs and Maintenance,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,"Merchant Wholesalers, Nondurable Goods"
General Sales Practices,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
General Science and Research,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Insurance Carriers and Related Activities
General Shipping and Receiving,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods"
Genetic Disorders,Unclassified Industry,Hospitals,Educational Services,Ambulatory Health Care Services,Insurance Carriers and Related Activities
Genetics,Educational Services,Chemical Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services
Geological Engineering,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Specialty Trade Contractors,Nonmetallic Mineral Product Manufacturing
Geospatial Information and Technology,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Utilities
Geriatrics,Unclassified Industry,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Hospitals,Administrative and Support Services
Government Assistance,Unclassified Industry,Administrative and Support Services,Social Assistance,Insurance Carriers and Related Activities,"Professional, Scientific, and Technical Services"
Graphic and Visual Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Graphic and Visual Design Software,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate
Green Architecture,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Utilities
Ground Freight Transportation,Truck Transportation,Unclassified Industry,Support Activities for Transportation,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods"
Ground Passenger Transportation,Unclassified Industry,Transit and Ground Passenger Transportation,National Security and International Affairs,Motor Vehicle and Parts Dealers,Specialty Trade Contractors
Groundskeeping and Yard Care,Unclassified Industry,Administrative and Support Services,Real Estate,Educational Services,"Professional, Scientific, and Technical Services"
HVAC,Unclassified Industry,Administrative and Support Services,Real Estate,Specialty Trade Contractors,"Professional, Scientific, and Technical Services"
Hand Tools,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Repair and Maintenance,"Merchant Wholesalers, Durable Goods"
Hardware Description Languages (HDL),Computer and Electronic Product Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,National Security and International Affairs
Hazardous Materials Management,Unclassified Industry,Truck Transportation,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities
Health Care Administration,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Insurance Carriers and Related Activities,"Professional, Scientific, and Technical Services"
