,Skill: (American Society For Quality) ASQ Certified,Skill: .NET Assemblies,Skill: .NET Development,Skill: .NET Framework,Skill: .NET Framework 1,Skill: .NET Framework 3,Skill: .NET Framework 4,Skill: 12 Volt Electricity,Skill: 1Password,Skill: 2020 Design Software,Skill: 2D Computer Graphics,Skill: 2D Computer-Aided Drafting And Design,Skill: 35 Mm Films,Skill: 389 Directory Server (Fedora Project),Skill: 3CX Phone Systems,Skill: 3D Animation,Skill: 3D Art,Skill: 3D Computer Graphics,Skill: 3D Graphic Design,Skill: 3D Modeling Software,Skill: 3D Reconstruction,Skill: 3D Rendering,Skill: 3D Scanning
2023-01-01,0.000299317395972133,1.1873230186990127e-05,2.174034093238196e-05,0.004480283218733114,2.3050717149919532e-07,1.6603478551184438e-05,-4.957654029811917e-06,2.8770995808118132e-05,1.6993251006416313e-05,1.5793193471885752e-05,2.217593730943384e-05,3.9199099664313134e-05,-1.0410133006767474e-05,1.7663416743872068e-08,8.59941042037181e-08,5.233157052520019e-07,3.852315457680435e-05,2.294280210887608e-05,1.1014458999944962e-05,0.00025965739598616475,3.517321332027197e-06,4.582577937642327e-05,3.79941760566101e-05
2023-02-01,0.0002896596948349712,1.178274161645532e-05,2.2707703067228816e-05,0.004588261435217696,2.532602260097539e-07,1.7878991862806732e-05,-4.931106066372964e-06,2.1737669048215062e-05,1.8185616302561044e-05,1.3675126300803882e-05,2.3956638897703987e-05,3.875078267596524e-05,-1.2021837701123638e-05,2.1380536661985192e-08,-9.195680249524992e-08,-4.741047001078052e-06,3.909202435142942e-05,2.0380466751150572e-05,1.2002810365421926e-05,0.00027431140685514404,3.2801426508046445e-06,4.353007111938556e-05,3.843702875574225e-05
2023-03-01,0.0002793606441310136,1.1680513349875604e-05,2.3697003520652032e-05,0.004696870837526312,2.7629584727451324e-07,1.9205415778154795e-05,-3.871150462736502e-06,1.4482972894374656e-05,1.9396616600758393e-05,1.1552673462205911e-05,2.599122836803737e-05,3.833810039806868e-05,-1.366253913919313e-05,2.5370546229147595e-08,-2.817204706249222e-07,-1.0209135675900822e-05,3.974481530964783e-05,1.7726492404654512e-05,1.3013473540825734e-05,0.0002889211554831777,3.0014651154697346e-06,4.1258123327095176e-05,3.885431992311957e-05
2023-04-01,0.0002684202436494564,1.1566533599115823e-05,2.4708244664910234e-05,0.004806111426413385,2.996140343864275e-07,2.0582750297128308e-05,-2.777997957935125e-06,7.007223253258527e-06,2.062620494081769e-05,9.426297613317831e-06,2.7396430590811166e-05,3.796105228745842e-05,-1.5332145961108212e-05,2.9633452059734547e-08,-4.832969117990128e-07,-1.5880950382882354e-05,4.0481555468477246e-05,1.498087906931104e-05,1.404644856063524e-05,0.0003030308662752639,2.6812887195152153e-06,3.897868607524241e-05,3.924604955691771e-05
2023-05-01,0.00025683849345927676,1.1440767854617337e-05,2.574142634366176e-05,0.004915983202203405,3.2321478782956966e-07,2.2010995419600745e-05,-3.3008089550453952e-06,-6.895091134336007e-07,2.1877175375267403e-05,7.29603743686532e-06,2.836690274700274e-05,3.7619638148718154e-05,-1.7030626763987584e-05,3.416925458991773e-08,-6.966861277433371e-07,-2.175649114358224e-05,4.130222663735742e-05,1.2143626745131598e-05,1.5101735439385547e-05,0.0003120629024613306,2.3196134621333655e-06,3.661989969378122e-05,3.961221765715516e-05
2023-06-01,0.0002446153935889074,1.1303209505889747e-05,2.6796548225097872e-05,0.005026486164989496,3.4709810776388014e-07,2.3490151145497716e-05,-5.992035995070886e-06,-8.607283525157827e-06,2.3151015112663768e-05,5.161787747143964e-06,2.9522087087987385e-05,3.731385791154155e-05,-1.8757997959501586e-05,3.897795335368139e-08,-9.218881177959092e-07,-2.7835757962216585e-05,4.2206817521471176e-05,9.214735432119232e-06,1.6179334180733903e-05,0.0003247577399574294,1.9164393436856428e-06,3.426773225923401e-05,3.9952824223928325e-05
2023-07-01,0.00023175094403700896,1.1153866464903712e-05,2.7873610265177113e-05,0.005137620314791184,3.712639941854762e-07,2.5020217474798214e-05,-9.619244852991141e-06,-1.6746126661917125e-05,2.4447141975726902e-05,3.0235014581024536e-06,3.130615485921037e-05,3.704371155063387e-05,-2.0514273584826635e-05,4.4059548154310676e-08,-1.1589028816210645e-06,-3.4118750838953716e-05,4.3195328542030755e-05,6.194205130273955e-06,1.7279244785058344e-05,0.000341445593882562,1.4717663643044562e-06,3.1870390513260006e-05,4.0267869257271265e-05
2023-08-01,0.00021824514480099004,1.0992742615472914e-05,2.8972612497612775e-05,0.005249385651611284,3.9571244708202526e-07,2.6601194407498988e-05,-1.2732731783689698e-05,-2.510602976973797e-05,2.5764526119901754e-05,8.811889622836058e-07,3.357338042894e-05,3.6809199056894584e-05,-2.229945328288693e-05,4.941403896895559e-08,-1.407730419195179e-06,-4.060546977355867e-05,4.426776218525977e-05,3.0820358395956975e-06,1.8401467252198578e-05,0.0003561474586951278,9.85594523986328e-07,2.9418330612344388e-05,4.055735275719157e-05
2023-09-01,0.0002040979958805582,1.0819836646522557e-05,3.009355493450102e-05,0.005361782175450004,4.2044346645140614e-07,2.8233081943599854e-05,-1.4400979378148087e-05,-3.368698521359552e-05,2.7102911538066517e-05,-1.2651339730544882e-06,3.535837921366551e-05,3.6610320427049515e-05,-2.4113532932723543e-05,5.504142580816186e-08,-1.6683707305441497e-06,-4.72959147659234e-05,4.5424119107323306e-05,-1.2177243991554597e-07,1.9546001582044106e-05,0.00037377181656033385,4.5792382272012677e-07,2.6977622626400933e-05,4.082127472369034e-05
2023-10-01,0.00018930949727588494,1.0635147090440092e-05,3.123643757388473e-05,0.0054748098863073615,4.4545705229409833e-07,2.991588008310084e-05,-1.493125454152556e-05,-4.248899362642626e-05,2.846266592436336e-05,-3.415464448802416e-06,3.663929911684528e-05,3.644707565992068e-05,-2.5956511364526827e-05,6.094170867758267e-08,-1.940823815676919e-06,-5.4190085816020707e-05,4.666439898515763e-05,-3.4172197082597757e-06,2.0712847774557706e-05,0.00039005422054152496,-1.1124573949598257e-07,2.450329642166348e-05,4.105963515676757e-05
2023-11-01,0.0001738796489870215,1.0438673962744485e-05,3.240126041384852e-05,0.005588468784183377,4.7075320461034873e-07,3.164958882600194e-05,-1.584653652875342e-05,-5.1512056859571444e-05,2.984410673231167e-05,-5.569805491620493e-06,3.813327580115144e-05,3.631946475508427e-05,-2.7828389394716184e-05,6.711488757813821e-08,-2.2250896745933276e-06,-6.128798292384727e-05,4.798860158497627e-05,-6.8043059654369984e-06,2.1902005829732067e-05,0.00039867757689891986,-7.219141626614685e-07,2.1989170193940493e-05,4.127243405642322e-05
2023-12-01,0.00015780845101396153,1.023041770745592e-05,3.358802345427229e-05,0.005702758869078074,4.963319234001707e-07,3.343420817230316e-05,-1.814643442990875e-05,-6.0756175098789715e-05,3.124722114621184e-05,-7.728158915287164e-06,4.0088636197827926e-05,3.622748771238781e-05,-2.9729167609501676e-05,7.356096250961383e-08,-2.521168307292482e-06,-6.85896060894037e-05,4.939672690430732e-05,-1.0283031211447207e-05,2.311347574756719e-05,0.0004113535602328259,-1.3740814467760846e-06,1.9460790156956304e-05,4.145967142265727e-05
2024-01-01,0.00014109590335669974,1.0010378438659435e-05,3.479672669537647e-05,0.005817680140991457,5.221932086635491e-07,3.5269738122004474e-05,-2.1560672903850486e-05,-7.022134795561653e-05,3.2671847749597964e-05,-9.890524582864617e-06,4.240687218392161e-05,3.617114453177642e-05,-3.165884595653317e-05,8.027993347185233e-08,-2.8290597137741682e-06,-7.609495531269048e-05,5.0888774991256985e-05,-1.3853395446290403e-05,2.434725752806375e-05,0.0004283174555747843,-2.0677475918398256e-06,1.688923258137577e-05,4.162134725546973e-05
2024-02-01,0.00012374200601523582,9.77855605470498e-06,3.602737013721882e-05,0.005933232599923529,5.483370604004798e-07,3.7156178675105894e-05,-2.4865126277126542e-05,-7.990757531853445e-05,3.411790819444903e-05,-1.205690198002504e-05,4.449252537440221e-05,3.615043521323038e-05,-3.361742425216016e-05,8.727180046482084e-08,-3.1487638940384137e-06,-8.380403059370777e-05,5.246474586073955e-05,-1.751539866996659e-05,2.5603351171222064e-05,0.00044177225829489827,-2.802912597852711e-06,1.4287735464824906e-05,4.1757461554860575e-05
2024-03-01,0.00010574675898957018,9.534950494247202e-06,3.727995377978243e-05,0.006049416245874293,5.747634786109632e-07,3.909352983160742e-05,-2.6532531765810896e-05,-8.981485725612879e-05,3.558544008183916e-05,-1.4227290960290181e-05,4.6133539735244976e-05,3.616535975674259e-05,-3.5604902454660846e-05,9.453656348852289e-08,-3.4802808480852466e-06,-9.17168319324556e-05,5.412463950716766e-05,-2.126904088247576e-05,2.6881756677042224e-05,0.0004610097090167319,-3.5795764648147446e-06,1.1670301857298592e-05,4.186801432082983e-05
2024-04-01,8.711016227970291e-05,9.279561770792203e-06,3.855447762305668e-05,0.006166231078843749,6.014724632949998e-07,4.108179159150906e-05,-2.614572585880619e-05,-9.994319380601373e-05,3.7074501297551265e-05,-1.640169160405613e-05,4.7958683941242404e-05,3.621591816231049e-05,-3.7621280603631996e-05,1.0207422254296272e-07,-3.823610575914672e-06,-9.983335932893394e-05,5.586845592575294e-05,-2.511432208381792e-05,2.818247404552424e-05,0.00048235594389352103,-4.397739192725926e-06,9.01599895342649e-06,4.195300555337748e-05
2024-05-01,6.7832215885634e-05,9.012389906039544e-06,3.9850941667041706e-05,0.006283677098831894,6.284640144525895e-07,4.31209639548108e-05,-2.4809316894236644e-05,-0.00011029258495927425,3.8585103854105536e-05,-1.8580103977348746e-05,5.030067074129285e-05,3.6302110429933155e-05,-3.9666558723215124e-05,1.0988477762814142e-07,-4.178753077526689e-06,-0.00010815361278314281,5.769619511622965e-05,-2.905124227399306e-05,2.9505503276668105e-05,0.0004968927196911348,-5.257400781586253e-06,6.334371773370658e-06,4.2012435252503524e-05
2024-06-01,4.7912919807363466e-05,8.733434901792397e-06,4.116934591173885e-05,0.006401754305838731,6.557381320837322e-07,4.521104692151265e-05,-2.4186085793266912e-05,-0.00012086303070575678,4.011722583822231e-05,-2.0762528082834123e-05,5.28606661468585e-05,3.642393655961026e-05,-4.174073680954721e-05,1.1796822874405893e-07,-4.545708352921296e-06,-0.00011667759229508222,5.960785707951871e-05,-3.307980145300119e-05,3.085084437047383e-05,0.0005137723726321976,-6.1585612313957265e-06,3.629069868300302e-06,4.204630341820797e-05
2024-07-01,2.7352274044891236e-05,8.442696752132935e-06,4.250969035714838e-05,0.006520462699864259,6.832948161884281e-07,4.735204049161461e-05,-2.5462129232398625e-05,-0.00013165453104568213,4.167084991194675e-05,-2.2948963904491805e-05,5.5180065659924e-05,3.65813965513417e-05,-4.384381485453825e-05,1.2632457589071519e-07,-4.924476402098493e-06,-0.00012540529786475216,6.160344181595128e-05,-3.7199999620842306e-05,3.221849732694139e-05,0.0005303693769104624,-7.101220542154347e-06,8.890750283471939e-07,4.205461005049081e-05
2024-08-01,6.150278598217372e-06,8.140175454959658e-06,4.3871975003270165e-05,0.006639802280908477,7.111340667666771e-07,4.954394466511667e-05,-2.836757209109248e-05,-0.00014266708598140168,4.32459776676912e-05,-2.513941143597852e-05,5.7102664782371034e-05,3.6774490405127406e-05,-4.597579285679519e-05,1.3495381906811014e-07,-5.3150572250582796e-06,-0.00013433672949215265,6.368294932543404e-05,-4.141183677751641e-05,3.360846214607081e-05,0.0005450360683107394,-8.085378713862114e-06,-1.8767464629545116e-06,4.203735514935205e-05
2024-09-01,-1.569306653265818e-05,7.825871011463908e-06,4.5256199850104146e-05,0.006759773048971388,7.392558838184792e-07,5.1786759442018836e-05,-3.131704521763844e-05,-0.00015390069551328412,4.484261838905075e-05,-2.7333870679169547e-05,5.914602892171411e-05,3.700321812096737e-05,-4.8136670818199614e-05,1.4385595827624378e-07,-5.717450821800657e-06,-0.00014347188717728362,6.58463796078699e-05,-4.571531292302351e-05,3.5020738827862077e-05,0.0005669416189975447,-9.11103574651903e-06,-4.669257134069942e-06,4.199453871479169e-05
