,July 2022 actual,July 2024 predicted,Percent change
Solaris Containers,0.0,6.161130189942053e-05,inf
Intermittent Explosive Disorder,0.0,2.5116687879449974e-06,inf
Oracle Flashback,0.0,1.901320184640684e-07,inf
Interactive Computing,0.0,1.3423471750670776e-06,inf
Source Routing,0.0,1.886927113255832e-21,inf
ArcIMS,0.0,1.169585472345757e-06,inf
Space Radiation,0.0,2.8680938174131687e-06,inf
Microsoft Transaction Servers,0.0,2.011003144079152e-06,inf
ProtoShare,0.0,1.5394030260063788e-06,inf
Certified General Accountant,0.0,6.181566160432743e-06,inf
Integrated Circuit Layout,0.0,1.2885734329392244e-05,inf
Aquatic Botany,0.0,2.371769310252579e-07,inf
Instructure Canvas (Educational Software),0.0,1.6351277831487556e-05,inf
Prothrombin Time,0.0,5.1849875990951226e-06,inf
Cognitive Ergonomics,0.0,3.832577775134898e-07,inf
InstallAnywhere,0.0,8.46733999626112e-07,inf
Speech Technology,0.0,2.62517274067105e-06,inf
Approved Medication Assistive Personnel (AMAP) Certification,0.0,2.7234606717156347e-05,inf
Coastal Science,0.0,3.174597785965699e-06,inf
Code Conversion,0.0,6.984930579408652e-06,inf
Injection Well,0.0,8.172808529069506e-06,inf
Informix Wingz,0.0,6.57142289250271e-08,inf
Certified First Assistant,0.0,1.0857822271316256e-06,inf
Infant Massage,0.0,4.254613047612291e-06,inf
Induction Sealing,0.0,6.112074618956687e-07,inf
Sports Law,0.0,3.119536316393343e-06,inf
Mixed Language,0.0,1.6214002203061291e-06,inf
Cofferdam,0.0,1.096741841585668e-05,inf
Apache Impala,0.0,3.7998495405608575e-06,inf
Molecular Beacon,0.0,1.598583219903335e-22,inf
Httpserver,0.0,2.648069740938089e-07,inf
Post Commit,0.0,1.901320184640684e-07,inf
Tableless Web Design,0.0,2.283320924577319e-06,inf
Gunfire Locator,0.0,1.2929947949844625e-06,inf
Group Health Insurance Sales,0.0,1.422070373473833e-05,inf
Praat,0.0,2.5685439899861657e-05,inf
Groundwater Assessment,0.0,1.2824069579533974e-05,inf
Poverty Reduction,0.0,1.207770250833821e-06,inf
Certificate In Quantitative Finance,0.0,3.4549166651152447e-06,inf
American Association Of Pharmaceutical Scientists,0.0,0.0001533531479316,inf
Ceramic Membrane,0.0,2.6141222407442217e-06,inf
Government Regulation Analysis,0.0,2.8799650269534397e-06,inf
Google Glass,0.0,3.5350222726615598e-06,inf
Myeloproliferative Disorders,0.0,4.941036493267128e-22,inf
Myers-Briggs Type Indicator (MBTI) Certification,0.0,3.99183738308124e-06,inf
Textile Science,0.0,1.8822506614836372e-06,inf
HP Web Jetadmin,0.0,1.6291476452503455e-05,inf
Port ACLs,0.0,1.2664222223454734e-21,inf
Polymerase Chain Reaction Optimization,0.0,2.5116687879449974e-06,inf
Geophysical Imaging,0.0,7.191409105989204e-07,inf
Polymer Physics,0.0,2.1548955532798178e-05,inf
Polygonal Modeling,0.0,2.071115440199024e-06,inf
Thread Safety,0.0,2.5248200736637408e-06,inf
Polyclonal Antibodies,0.0,1.6187356548486376e-05,inf
Gentoo Linux,0.0,1.7668463471437506e-05,inf
Pointwise,0.0,2.5116687879449974e-06,inf
Amazon Elastic Block Stores,0.0,1.4708741490059091e-05,inf
Gene Ontology,0.0,1.0673884377077012e-07,inf
Thrombocytopenia,0.0,1.2062035640216427e-06,inf
Thyristors,0.0,2.106129093230617e-06,inf
Restlet,0.0,1.5884769712122553e-05,inf
Systems Of Equations,0.0,2.8897568321534493e-06,inf
Stud Finder,0.0,6.225773983342382e-06,inf
HelpNDoc,0.0,2.5116687879449974e-06,inf
Hosted App,0.0,2.1947440011408177e-06,inf
Bioremediation,0.0,5.576601081289672e-05,inf
Substrings,0.0,2.5116687879449974e-06,inf
Movement Tracking Systems,0.0,3.7998495405608575e-06,inf
Horticultural Therapist Registered,0.0,4.941036493267128e-22,inf
Superfinishing,0.0,1.0933301812394784e-05,inf
Supernetwork,0.0,1.521084704379416e-05,inf
Common Image Generator Interface,0.0,4.458617296900565e-05,inf
Honeypots (Computing),0.0,1.0477251052528504e-05,inf
Privilege Separation,0.0,1.66803931302425e-06,inf
Anoscopy,0.0,4.713467472484582e-07,inf
Private Automatic Branch Exchange,0.0,2.8445396056739727e-06,inf
Certified Clinical Hypnotherapist,0.0,7.955032860301296e-07,inf
Print Module,0.0,1.397658003669658e-06,inf
Ancient Philosophy,0.0,2.583070396536449e-06,inf
Sustainable Horticulture,0.0,1.5113197254471118e-06,inf
Sustainable Tourism,0.0,1.2474021801544215e-06,inf
Heat Pipe,0.0,4.657058346200473e-06,inf
Multidimensional Scaling,0.0,3.679319466520098e-05,inf
Symbolic Stream Generator,0.0,1.6265162355804667e-05,inf
Price Earnings Ratios,0.0,4.254613047612291e-06,inf
Certified Addictions Registered Nurse,0.0,5.023337575893571e-06,inf
Hazardous Material Storage,0.0,1.595778622521693e-05,inf
Blowing Agent,0.0,2.4908763197688966e-06,inf
HTML5shiv,0.0,5.2088113390110976e-06,inf
System Scaffold,0.0,3.4406659577729415e-07,inf
Certification In Clinical Cytogenetics,0.0,3.538515613171305e-06,inf
Andover Controls (Building Automation System),0.0,2.030172164984128e-06,inf
Solaris Clusters,0.0,1.696713143126153e-06,inf
Biocides,0.0,3.999536671864839e-06,inf
Gcov,0.0,1.059385669403293e-06,inf
Internal Fixation,0.0,2.5116687879449974e-06,inf
SAP Connector,0.0,7.087637633674559e-06,inf
Liquid Penetrant Testing,0.0,4.941036493267128e-22,inf
Automounter (Sun Microsystems Software),0.0,2.973915852483393e-08,inf
SAP NetWeaver Portals,0.0,4.923934825643887e-06,inf
Channel State Information,0.0,1.0673884377077012e-07,inf
Mass Finishing,0.0,3.122362985850981e-06,inf
Massachusetts Comprehensive Assessment Systems,0.0,5.613050501841603e-06,inf
Life Contingencies,0.0,1.397658003669658e-06,inf
Lexical Analysis,0.0,2.562399900976289e-06,inf
Reduction Potential,0.0,1.6640924647759276e-06,inf
Recaptcha,0.0,2.4682778349395044e-07,inf
SCons,0.0,2.443719820997905e-06,inf
Legal File Organization,0.0,5.641479827517303e-07,inf
Automatic Gain Control,0.0,2.463258252395397e-06,inf
Automated System Recovery,0.0,2.2435970982277547e-07,inf
SUDAAN (Software),0.0,1.0726210709243451e-06,inf
Layer 2 Tunneling Protocol Version 3 (L2TPv3),0.0,7.355422458781437e-23,inf
Sabre Saw,0.0,3.746505639728759e-05,inf
McAfee Enterprise Security Manager,0.0,1.656728681727184e-05,inf
Chemical Transformation,0.0,3.164242540733801e-05,inf
Land Grading,0.0,3.923569162795433e-07,inf
Land Banking,0.0,1.3076067812705809e-05,inf
LSAMS (Loan Servicing Software),0.0,4.941036493267128e-22,inf
Child Adolescent And Family Services,0.0,1.0401676011527642e-05,inf
Base64,0.0,6.888646408535305e-07,inf
Kung Fu,0.0,1.7151274158325913e-05,inf
Bassoon,0.0,4.762629422091969e-05,inf
Raptivity,0.0,6.94346517273098e-06,inf
Certified Personnel Consultant,0.0,1.0850799427077497e-06,inf
Marshallese Language,0.0,2.5116687879449974e-06,inf
Certified Professional Property Specialist,0.0,5.651998779547983e-07,inf
Avaya Certified Expert,0.0,1.9114701649342663e-06,inf
Lucidpress,0.0,1.0925751785234063e-06,inf
Certified Senior Broadcast Television Engineer,0.0,2.764905402792299e-06,inf
Magnetoencephalography,0.0,9.624485179778733e-08,inf
Maltego,0.0,3.17391706337e-05,inf
BS 7799 Standard,0.0,4.988407505487354e-07,inf
Retort,0.0,2.5116687879449974e-06,inf
Managed Long-Term Care,0.0,7.102105940971857e-07,inf
Rfc822,0.0,2.3078191628462175e-07,inf
Residual Gas Analyzer,0.0,3.331389782762862e-06,inf
BASIC Stamp,0.0,4.348946226923999e-08,inf
Residential Combination Inspector,0.0,2.443719820997905e-06,inf
MIRC,0.0,3.0372063435897787e-05,inf
Reportlab,0.0,3.519766684888803e-06,inf
M (Programming Language),0.0,7.956120145669342e-05,inf
Risk-Free Interest Rate,0.0,2.5119134039278853e-06,inf
Avaya Certified Specialist,0.0,1.9114701649342663e-06,inf
Marine Conservation,0.0,2.38997690652332e-05,inf
Low-Density Polyethylene,0.0,2.932872113311171e-06,inf
Maritime Law Enforcement,0.0,5.336942188538535e-07,inf
Bandwidth Management,0.0,6.936544782244941e-06,inf
Lotus Sametime,0.0,1.0140881170903498e-06,inf
Rolfing,0.0,7.61994899494467e-08,inf
Certified Professional Secretary,0.0,7.074541686266231e-06,inf
Aweber,0.0,2.0760077527523373e-07,inf
Avionics Full-Duplex Switched Ethernet,0.0,1.8841237655675847e-06,inf
LoadComplete,0.0,4.957187455682196e-06,inf
Market Orientation,0.0,1.0673884377077012e-07,inf
Liver Function Tests,0.0,1.3541886395206718e-05,inf
Avian Ecology,0.0,4.359568349627674e-06,inf
Scenekit,0.0,9.815389802573174e-07,inf
Schematic Editor,0.0,2.651155733294349e-06,inf
Chip Multithreading (Server Architecture),0.0,1.3801867761149972e-06,inf
Sludge Disposal,0.0,1.7473253065823458e-06,inf
Siemens Invision,0.0,6.963081439225188e-06,inf
JFS (File System),0.0,2.431353964237522e-05,inf
SilverStripe,0.0,1.0720820237573613e-05,inf
Simpletest,0.0,2.5116687879449974e-06,inf
MicroStrategy Web,0.0,2.595172473601152e-06,inf
Single Nucleotide Polymorphism Database (DbSNP),0.0,4.941036493267128e-22,inf
Iterative Method,0.0,8.007105561920855e-06,inf
Ischemia-Reperfusion Injury,0.0,1.977442241385183e-07,inf
Biginsights,0.0,1.589066955465619e-05,inf
Ionic 4 (Mobile App Framework),0.0,2.5564837687338977e-06,inf
Ion Semiconductor Sequencing,0.0,7.045071549746646e-07,inf
Slide Projector,0.0,1.079237614104706e-05,inf
Microscopic Observation Drug Susceptibility Assay,0.0,1.3986655470863108e-05,inf
Microsoft Expression Encoder,0.0,2.349464094482557e-05,inf
JSData,0.0,4.537450499588493e-07,inf
Pump Station Design,0.0,2.1413239687112822e-06,inf
Climate Prediction,0.0,7.523570829789507e-06,inf
Pulpotomy,0.0,5.805501757905929e-07,inf
ClinTrial,0.0,7.67872984275036e-08,inf
Social Validity,0.0,1.0673884377077012e-07,inf
Microsoft Expression Studio,0.0,1.397658003669658e-06,inf
Intravenous Pyelogram,0.0,7.04507154974666e-07,inf
Soft Handover,0.0,2.8655752864083123e-06,inf
Microsoft Operations Manager,0.0,2.6205118567122297e-06,inf
Internet Connection Sharing,0.0,4.941036493267128e-22,inf
Internet Broadcasting,0.0,2.5116687879449974e-06,inf
International Financial Management,0.0,7.342256561940635e-07,inf
International Certificate Of Competence,0.0,5.340947661675692e-06,inf
Siebel Workflow,0.0,1.0673884377077012e-07,inf
MicroStrategy Desktop,0.0,1.002313202923206e-06,inf
Aurelia,0.0,1.3545885658368742e-08,inf
Radvision,0.0,3.5012724898597565e-06,inf
Scientific WorkPlace (Text Editor),0.0,1.845909874382916e-08,inf
Kernel Density Estimation,0.0,1.4903185115163168e-05,inf
Script Component,0.0,2.2435970982277547e-07,inf
Medical Biology,0.0,2.020760336110498e-23,inf
Chromate Conversion Coating,0.0,1.6094723000166306e-05,inf
Juvenile Rehabilitation,0.0,1.0673884377077012e-07,inf
Jury Management,0.0,2.5116687879449974e-06,inf
Seismic Retrofit,0.0,6.832763572888e-08,inf
Selenium2library,0.0,1.539922655067673e-07,inf
Chronic Prostatitis/Chronic Pelvic Pain Syndrome,0.0,5.651998779547983e-07,inf
Joint Personnel Adjudication System,0.0,2.523599461596669e-06,inf
Medical Tourism,0.0,8.806123677058939e-07,inf
Series 53 Municipal Securities Principal License,0.0,1.6640924647759276e-06,inf
Jdom,0.0,2.408128869589237e-05,inf
JSFiddle,0.0,1.0673884377077012e-07,inf
JavaScript Engine,0.0,1.3974623413159591e-05,inf
Certified Nutrition Support Dietitian,0.0,3.006042006255487e-06,inf
Radmin,0.0,4.904407651660846e-06,inf
Attachmate Extra,0.0,4.595048183358661e-07,inf
Mercury Cadmium Telluride,0.0,2.2091828688695124e-06,inf
Java Package,0.0,2.1601070262772007e-07,inf
Radio Communication Procedures,0.0,4.941036493267128e-22,inf
Class Diagram,0.0,1.6393289178940978e-06,inf
Shibboleth,0.0,3.777038217476349e-05,inf
Certified Medical Audit Specialist,0.0,1.0673884377077012e-07,inf
Certified Manufacturing Engineer,0.0,1.4463693666274091e-05,inf
Shigella,0.0,4.432874445798529e-08,inf
Rack And Pinion,0.0,1.4052287928784167e-06,inf
Cellular Phone Exploitation,0.0,1.8180909604787757e-05,inf
HP Computers,0.0,2.527700292953245e-05,inf
Certified School Social Work Specialist,0.0,7.763726002487088e-06,inf
FAST ESP,0.0,1.0676755267376297e-05,inf
Verisign,0.0,5.515610930749583e-06,inf
Peoplesoft People Tools,0.0,5.181896338679288e-06,inf
Wine Processing,0.0,9.997462618665256e-07,inf
OsCommerce,0.0,1.91543024214236e-05,inf
Windows Messaging,0.0,3.705945257155676e-06,inf
Vertebrate Zoology,0.0,1.829683432450106e-05,inf
Pega Certified Business Architect,0.0,3.4260628374788164e-05,inf
Pedestrian Planning,0.0,2.0849198640853176e-06,inf
Ethernet Configuration Testing Protocols,0.0,302199.2663683853,inf
Operational Acceptance Testing,0.0,9.097114264680476e-06,inf
OGRE,0.0,5.023337575893571e-06,inf
Patient Health Questionnaires,0.0,3.054700780012388e-05,inf
Cruisecontrol.net,0.0,8.068973540198375e-06,inf
Environmental Marketing,0.0,0.0048650780715784,inf
Object-Role Modeling,0.0,5.608339116617068e-06,inf
Adobe AIR,0.0,2.466155255920208e-06,inf
Pasteurization,0.0,4.941036493267128e-22,inf
Partitioned Data Set Extended,0.0,1.3396879546958849e-05,inf
Donor Registration,0.0,4.912180916313736e-06,inf
Environmental Anthropology,0.0,4.1655820329880004e-07,inf
Partial Thromboplastin Time,0.0,1.3541886395206718e-05,inf
Addressing Schemes,0.0,1.024295773741572e-06,inf
Dot Blotting,0.0,3.7845088797584e-07,inf
Wireless Framework Telecomunication,0.0,8.413720755292328e-06,inf
Non-Volatile Random-Access Memory,0.0,1.723587743649505e-07,inf
Daylight Modeling,0.0,3.725627312885925e-06,inf
Facade Pattern,0.0,1.5096389128883432e-06,inf
Advanced Video Coding High Definition (AVCHD),0.0,1.1261687574393437e-05,inf
Direct Participation Programs,0.0,2.9841040099817167e-06,inf
XCF,0.0,3.8390426120043226e-05,inf
Disability Adaptation,0.0,2.5116687879449974e-06,inf
Wsadmin,0.0,1.1679043061262897e-06,inf
Wrapper Libraries,0.0,1.5752415188709487e-06,inf
Callback Functions,0.0,1.0673884377077012e-07,inf
Filament Winding,0.0,2.4662038716486987e-08,inf
Disk Cleanup,0.0,1.0140881170903498e-06,inf
Federal Geographic Data Committee (FGDC) Standards,0.0,3.1498163227897975e-07,inf
Oppositional Defiant Disorder,0.0,1.472798861548475e-06,inf
Federal Estate And Gift Tax,0.0,5.654174533101882e-05,inf
Nodal Analysis,0.0,2.066593922560592e-06,inf
Utility Cooperative,0.0,2.2460175446298413e-07,inf
Person-Centered Therapy,0.0,4.539702172463729e-07,inf
Display Control,0.0,6.486925196535053e-05,inf
Advanced Installer,0.0,1.1709682170008452e-06,inf
Fair Employment And Housing Act (FEHA),0.0,2.816025241399112e-05,inf
Advanced Composite Materials,0.0,2.515834410463508e-05,inf
Fact Constellation,0.0,2.020760336110498e-23,inf
Non-Judicial Punishment,0.0,7.930050776851655e-06,inf
ANSI/ANS Standards,0.0,2.9995852546593163e-05,inf
Valvuloplasty,0.0,3.4978986108094726e-05,inf
Double Taxation,0.0,1.8566328658896666e-05,inf
Windows Installer XML (WIX),0.0,1.0632877110669849e-21,inf
Bulletproof Glass,0.0,2.1414522787810657e-06,inf
Outdoor Emergency Care,0.0,3.008927460112126e-06,inf
Electronic Jamming,0.0,9.308507042558804e-06,inf
Watson Conversation,0.0,1.694773168442149e-07,inf
Electronic Intelligence,0.0,6.230490110203873e-06,inf
Durandal,0.0,3.4878657659829644e-05,inf
On Demand Routing,0.0,8.413720755292328e-06,inf
Open Site Explorer (Moz Search Engine),0.0,4.941036493267128e-22,inf
Electrical And Magnetic Fields,0.0,2.020760336110498e-23,inf
PNF Stretching,0.0,6.59939634122785e-07,inf
Dynamic DNS (Domain Name System),0.0,1.4873322990656386e-05,inf
Educational Statistics,0.0,2.9957401000602352e-06,inf
Education Policy Analysis,0.0,3.905530232202562e-06,inf
Well Completion (Oil And Gas),0.0,1.024295773741572e-06,inf
Dynamic Object-Oriented Requirements System (DOORS),0.0,2.035459659566092e-06,inf
Accredited Business Accountant,0.0,3.000757231293152e-06,inf
DVD Studio Pro,0.0,7.122928871542428e-07,inf
Data Control Language,0.0,1.514991332194176e-06,inf
Eclipse Modeling Framework,0.0,1.752703874888925e-05,inf
Webpack 2,0.0,1.0673884377077012e-07,inf
EHealth,0.0,1.6411444085538886e-05,inf
Easily Applicable Graphical Layout Editor (EAGLE),0.0,1.6476839235525207e-05,inf
WebMethods Flow,0.0,3.714621855154595e-05,inf
WebVR,0.0,4.041520672216754e-23,inf
PEST Analysis,0.0,3.897674874548692e-06,inf
Data Link Control,0.0,1.7994320202615288e-05,inf
Acronis True Image,0.0,1.539922655067673e-07,inf
Oil Well,0.0,1.1730974904141073e-06,inf
Data Policy Development,0.0,8.795184159288274e-06,inf
Carbon Capture And Storage,0.0,2.5116687879449974e-06,inf
Currency Swap,0.0,3.0616653471186456e-06,inf
Volume Rendering,0.0,1.1611003515811865e-06,inf
Windows Imaging Format,0.0,4.432874445798529e-08,inf
ParaMedicine,0.0,5.061412555807706e-07,inf
Vowpal Wabbit,0.0,3.4277818204020735e-05,inf
Emergency Ultrasound,0.0,8.012735888631294e-07,inf
Capital Employed,0.0,1.6898657603821649e-07,inf
OpenOffice Impress,0.0,6.273751657784116e-08,inf
Vtiger CRM,0.0,9.209032603702334e-06,inf
Activeadmin,0.0,2.7673362374001327e-06,inf
Water Evaluation And Planning System (WEAP),0.0,1.451870734832843e-06,inf
Windows Automated Installation Kit,0.0,6.371691302453449e-06,inf
Customer Value Model,0.0,8.806123677058939e-07,inf
Octree,0.0,2.1347768754154107e-07,inf
Drilling Engineering,0.0,4.2495085830446895e-06,inf
Cutting Plotters,0.0,2.846748170282145e-06,inf
Business Card Design,0.0,3.855898513245605e-06,inf
Elliptic Curve Cryptography,0.0,1.0673884377077012e-07,inf
Drug Regulatory Affairs,0.0,3.717533674676124e-06,inf
Watchkit,0.0,6.530884936473632e-06,inf
Electronic Referrals,0.0,1.8673979059965248e-06,inf
Urological Disorders,0.0,4.839800214618991e-06,inf
Financial Analytics Publisher,0.0,4.734905655454415e-06,inf
Case Information Statements,0.0,2.994141553011476e-06,inf
Oracle Waveset,0.0,1.0673884377077012e-07,inf
Consumer Electronics Service Technician,0.0,3.337406645798305e-06,inf
Akan (Language),0.0,3.936343631034906e-06,inf
Fracture Toughness,0.0,1.0933301812394784e-05,inf
TransModeler,0.0,1.1627369226394868e-06,inf
Zoonotic Diseases,0.0,2.833580852287717e-05,inf
Transcutaneous Electrical Nerve Stimulation,0.0,5.468610900025293e-07,inf
Destructive Physical Analysis,0.0,6.248076307264585e-06,inf
Oracle Spatial,0.0,6.854188250653122e-22,inf
Zimbra,0.0,5.585111747822399e-06,inf
Fourier Transform,0.0,0.0002911330400967,inf
Formatting Objects Processor,0.0,4.6829771638273766e-07,inf
Tuba,0.0,1.4031217592363766e-05,inf
Transpiler,0.0,1.4090143099493256e-06,inf
Form Layout,0.0,3.588574235432141e-06,inf
Dialogue Marketing,0.0,1.514991332194176e-06,inf
Network Bridging,0.0,2.170487232970095e-06,inf
FireWire,0.0,4.941036493267128e-22,inf
Forensic Photography,0.0,1.282088211047534e-06,inf
Foodservice Management Professional,0.0,1.5343631135482572e-08,inf
Network Information Systems,0.0,4.904116399793957e-08,inf
FogBugz,0.0,8.01617990941271e-08,inf
Air Navigation,0.0,2.464473597284688e-05,inf
Desmos (Mathematics Software),0.0,1.1576400308212271e-06,inf
Franking,0.0,1.0673884377077012e-07,inf
Dell EMC UniSphere,0.0,1.1493398782634129e-05,inf
Native API,0.0,1.5842338234839098e-05,inf
Gasoline Direct Injection,0.0,1.1121665538731506e-06,inf
Altiscale,0.0,2.4829527688000937e-06,inf
Time Sheet Collection,0.0,2.0871829013682444e-06,inf
Configurable Network Computing,0.0,7.144942517701067e-06,inf
GNU Libtool,0.0,3.495563353265235e-05,inf
GNSS Augmentation,0.0,9.359251109276076e-05,inf
Dell OptiPlex,0.0,2.8174516226865256e-05,inf
GIAC Web Application Security,0.0,8.100948656460982e-06,inf
Tire Recycling,0.0,3.540284530534812e-06,inf
Cell Adhesion,0.0,3.146031491585926e-06,inf
G.723 Standard,0.0,1.2667756610442903e-05,inf
Fuzor (Design Software),0.0,1.950852722030673e-07,inf
Topology Optimization,0.0,2.426790785992953e-06,inf
Alleles,0.0,3.595824897575831e-07,inf
Function Model,0.0,1.1030215325903632e-05,inf
Friction Loss,0.0,4.432874445798529e-08,inf
Town Ordinance,0.0,1.9519487660144563e-06,inf
CFScript,0.0,2.4869547480686865e-07,inf
Free Surface,0.0,2.249408309001288e-06,inf
jSPM (JavaScript Package Manager),0.0,4.462636259843518e-05,inf
Plasma Etching,0.0,1.6444718814632667e-06,inf
Focal Plane Array,0.0,8.0849154900275e-06,inf
Content Management Framework,0.0,2.020760336110498e-23,inf
PCI-X,0.0,2.994141553011476e-06,inf
Phonological Awareness,0.0,1.2995910229890416e-05,inf
ADHD Tutoring,0.0,4.941036493267128e-22,inf
Digital Curation,0.0,9.701625153442052e-06,inf
Digital Subscriber Line Access Multiplexer,0.0,1.2467501369784022e-05,inf
Decontamination Units,0.0,3.835148791912778e-05,inf
Unified Expression Languages,0.0,1.087785535030107e-06,inf
Digital Image Correlation,0.0,2.4598058530119877e-06,inf
XUL (XML User Interface Language),0.0,1.302276076657456e-05,inf
Unisys DMSII,0.0,1.0462587174976456e-08,inf
Uncertainty Modeling,0.0,1.806617873242984e-06,inf
Control Of Major Accident Hazards Regulations,0.0,1.0097727080888546e-10,inf
USB Flash Drives,0.0,3.791438599514236e-07,inf
Fluidics,0.0,1.215817068211792e-06,inf
UClinux,0.0,2.405613828691225e-05,inf
Flux Balance Analysis,0.0,1.0697392807741117e-05,inf
Neuro-Linguistic Programming,0.0,2.197895944114705e-07,inf
Digital Audio Player,0.0,1.4572286664536842e-06,inf
Fluid Simulation,0.0,1.6607906872177253e-05,inf
Tunnel Boring Machine,0.0,9.607433860311826e-06,inf
OptiTrack,0.0,1.867280389812903e-07,inf
Differential Geometry,0.0,6.3225214699572166e-06,inf
Defense Language Aptitude Battery,0.0,3.092249220089476e-06,inf
Direct Digital Manufacturing,0.0,1.8076383482997155e-05,inf
Fluvial Geomorphology,0.0,1.327051181271754e-05,inf
NextGen Certified Professional,0.0,5.613979875544261e-06,inf
XML Firewall,0.0,9.37594911111436e-06,inf
Digital Transformation Management,0.0,3.507865994071969e-05,inf
Phase-Shift Keying,0.0,3.840908068810047e-06,inf
Pharmaceutical Statistics,0.0,6.262728380622032e-06,inf
Fish Conservation,0.0,1.5091776955169725e-05,inf
PC Migration,1.6213382483114543e-06,3.096451187316428e+32,1.9098119658505762e+40
DVB - Digital Video Broadcasting,4.928961499420591e-05,450355244565.55273,9.13691950360117e+17
House Cleaning,0.000733064972639,1620917266838.6934,2.2111508902184554e+17
Hierarchical Linear Models,1.813898932522562e-05,2963011255.74908,1.6335040517546624e+16
Use Case Diagrams,0.0026327954437133,161318155098.7793,6127257454960239.0
Fractional Reserve Banking,1.9393608350528544e-05,366185301.0099717,1888175188398978.0
Raw Data,2.172703232365563e-05,203701070.67933583,937546682146422.5
Flammability Limit,1.328867388296042e-05,17652375.00628924,132837747105156.56
Physical Computing,0.000106284149983,48303272.4334448,45447296178277.336
Cisco Cybersecurity Specialist (SCYBER),9.06949466261281e-06,694436.3583319805,7656836286431.559
Physical Design,0.0019414441751724,5884023.836699251,303074582828.8009
Antibody Technology,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Ftrace,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Teradata Warehouse Miner,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Laser Design,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Numerical Weather Prediction,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Secondary Authority,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Systemtap,4.850315442265202e-06,88.04210077473265,1815182888.0494344
CSSP Auditor,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Social Behaviour,4.850315442265202e-06,88.04210077473265,1815182888.0494344
Spock (Testing Framework),0.0025784431078705,3889.906143943618,150862493.48015
HAProxy,2.444260901492545e-05,22.16555163161774,90683965.75616676
Theatrical Makeup,4.2191792203476085e-06,1.709569753913274,40518912.45788811
Wireless Transport Layer Security,3.082166013476905e-05,7.034733715168469,22823893.530552182
Microwave Digestion,1.2546190253029268e-06,0.2316197739777948,18461263.11553783
National Affordable Housing Professional,4.348436183095553e-05,2.450276274183411,5634744.7373076435
IdentityServer4,6.269293751520304e-07,0.0284534626596579,4538443.540531648
UltraEdit,1.2553793003017931e-06,0.0502409001849057,4001949.43420907
TextPad,1.2553793003017931e-06,0.0502409001849057,4001949.43420907
Electrophoretic Methods,1.1237536742323092e-06,0.040708487368464,3622445.429831315
Blood Films,5.4432479602546e-05,1.371826788889053,2520135.7101969826
Anterior Cervical Discectomy And Fusion,2.602145745405565e-05,0.6468322026061036,2485664.6953410357
Domestic Roof Construction,3.859954235828051e-05,0.6563404451047523,1700284.007179691
Audiology,0.0007349688420934,7.833765943852814,1065763.6795459278
Gross Sales,2.280843766300705e-06,0.0115933471576224,508192.03336560057
Climate Change Mitigation,7.344149639827057e-05,0.2708774990872269,368734.3952283707
Browser Extension,4.727489913790752e-05,0.0945853881487645,199975.28281095985
