,tot,counts
Document Review,210173252.5,3102.0
Patient Needs Assessment,17830757.5,231.0
Directory Structure,4976999.0,68.0
Uniform Standards Of Professional Appraisal Practices,1989941.5,27.0
Refining,138935511.0,1370.0
Extensible HyperText Markup Language (XHTML),24224042.0,213.0
Recreational Therapy,21778053.5,500.0
Marketing Performance Measurement And Management,45518006.5,485.0
Automotive Service Excellence (ASE) Certification,243569595.0,4054.0
Constituent Relationship Management,5899498.0,108.0
Waste Management,70154072.5,1428.0
Mapbox,2432937.0,20.0
Spirometry,14593511.0,310.0
Monolingual Learner's Dictionary,2796270.5,43.0
Wooden Structures,4829719.5,87.0
Employee Performance Management,250163175.5,3775.0
Cloud Operations,32952820.0,249.0
Climate Variability And Change,2283381.0,18.0
Intellectual Property Portfolios,1089100.0,10.0
Application Security,175257717.0,1343.0
Microsoft Servers,65511547.5,789.0
Radiopharmacology,5721760.5,79.0
Agricultural Science,3617536.0,62.0
Product Innovation,31830848.0,292.0
Air And Ocean Freight Forwarding,17479263.0,325.0
Addiction Medicine,17338004.5,212.0
Association Of Proposal Management Professionals (APMP) Certification,4378769.0,43.0
Bachelor Of Science In Business,31677441.0,371.0
Natural Resource Management,24881003.5,405.0
Play Therapy,13920143.0,148.0
Selling Techniques,3508007007.5,59595.0
Natural Language Understanding,3959240.0,27.0
Blood Chemistry Changes,2803483.5,29.0
Internet Protocol Security (IP SEC),63607528.0,526.0
Qualtrics,10638502.0,133.0
Workday Adaptive Planning,18218864.5,170.0
Junos,5448252.0,62.0
MedDRA,5475624.5,49.0
Community Organizing,27961829.5,482.0
Signal Generators,23693405.0,336.0
Cardiac Surgery,66161132.0,573.0
Pedagogy,67287357.5,1060.0
Energy Management,27256954.5,357.0
Profitability Management,11330766.5,157.0
Problem Management,124755309.5,1177.0
Computer Aided Three-Dimensional Interactive Application (CATIA),12636332.0,144.0
New Relic (SaaS),50235636.0,387.0
Muscular Strength And Endurance,4411228.0,95.0
Apache Airflow,80164193.0,581.0
Deductive Reasoning,37319502.0,632.0
Oracle Agile,1842183.0,17.0
Vital Statistics,5438416.5,111.0
Source Selection,11232770.0,122.0
American Red Cross AED Certification,3312825.0,91.0
Minimum Data Set,10064962.0,155.0
Epigenetics,7505843.5,38.0
Kerberos (Protocol),25283021.0,198.0
Decision Making,3004692535.5,41682.0
Aerial Work Platforms,36274639.0,771.0
Motion Analysis,85000.0,1.0
Registration,295223528.0,4972.0
Clerical Works,1658962641.0,38584.0
Exit Strategies,7113749.5,80.0
Certified Quality Auditor,20232226.5,157.0
Erwin (Data Modeling Software),57297708.0,568.0
Adobe XD,25801105.0,260.0
Direct Patient Care,342802360.5,4639.0
Garbage Collection (Computer Science),17878557.5,148.0
Application Foundation Classes,417800.0,3.0
Crestron (A/V Systems),15853318.5,196.0
Product Engineering,167409661.0,1303.0
Operating Systems,1080230580.0,13908.0
Go Server,3201047.0,94.0
Academic Advising,50234510.0,942.0
Certified Financial Risk Management,32569122.5,250.0
Drive Testing,3900578.0,45.0
Demonstration Skills,336085084.5,4938.0
Interior Painting,8722848.0,186.0
Equipment Selection,16791434.5,207.0
Sphygmomanometers,6768072.0,147.0
Lightning Web Components,17669114.5,140.0
Aerospace Basic Quality System Standards,35682329.5,480.0
Competitive Intelligence,73547128.5,683.0
Certified Professional In Supply Management (Standards Organizations),5983749.0,60.0
Commercial Aviation,3827738.5,41.0
Human-Centered Design,44784440.0,387.0
Formative And Summative Assessments,21204692.0,341.0
Productivity Management,10519308.0,157.0
Hair Coloring,3259737.5,64.0
Fleet Maintenance,54014457.5,918.0
File Transfer,21854387.5,229.0
Financial Asset,16171829.0,172.0
Digital Signal Processing,52569978.0,584.0
Tag Management,15074707.5,144.0
Crime Prevention,61371981.0,1349.0
Music Performance,12002040.0,196.0
Web Design,147086220.5,2092.0
Disaster Recovery Plan,29209080.5,280.0
Key Management,49093335.0,452.0
Custom Protocol,0.0,0.0
Electronic Test Equipment,30480567.0,553.0
Rhetoric,2138583.0,39.0
Protel,908400.0,21.0
Laboratory Equipment,176130474.0,3263.0
NextGen Enterprise Practice Management,38373877.0,382.0
Legislative Procedures,5343400.0,61.0
Delegation Skills,111261746.0,1456.0
Advanced Product Quality Planning,45464645.5,540.0
Scientific Data Archiving,6790156.5,77.0
Operating Partner,4596616.0,61.0
Pruning,56693536.0,1471.0
Ship Transport,4116398.5,71.0
Loan-To-Value Ratios,18210483.5,151.0
Gainsight,7967903.5,73.0
Interlibrary Loan,8594650.0,192.0
Primavera (Software),65603755.0,577.0
Operating Margins,13941771.5,93.0
Emergency Management,66699129.5,883.0
Database Systems,194392359.0,2898.0
Specimen Processing,25601297.0,547.0
Grief Counseling,4014984.0,63.0
Taxable Income,6707481.5,83.0
Embolization,1186876.0,12.0
Process Simulation,2512233.0,27.0
Route Sales,73848564.0,1181.0
Invasive Plants,10065560.0,219.0
AWS CodeCommit,4729426.0,38.0
Underwriting,826908432.5,8439.0
Balance Sheet,475889823.5,6188.0
Allergen Labeling,275969.0,4.0
Sawing,189305187.5,4398.0
Customer Success Management,347303919.0,3496.0
Influencer Marketing,19214339.0,214.0
Control Deficiency Management,15896691.5,142.0
Statistical Packages,14968377.0,178.0
Social Media Content,78942852.5,1437.0
Eye Contact,12589452.0,405.0
Rangeland Management,1986173.0,43.0
Analytical Procedures,19711208.0,274.0
Respiratory Care,42917188.5,605.0
System Procedures,10904747.5,159.0
Reporting Tools,236791651.5,2771.0
Symptom Management,25119585.5,324.0
Knowledge Transfer,135097318.0,1263.0
International Board Certified Lactation Consultant (IBCLC),1543698.5,24.0
Advanced Pediatric Life Support,932122.0,10.0
Basic Research,44503709.0,498.0
Certified Pharmacy Technician,89250031.5,2234.0
Methods Of Production,71002423.5,1004.0
Interviewing Skills,23218717.5,409.0
Composite Materials,19832544.0,348.0
IBM Business Systems,2802800.0,21.0
Grafana,104014675.5,797.0
Adobe Digital Publishing Suite,100000.0,1.0
Sound Editing,1944904.5,36.0
Carpet Repairs,1618774.0,39.0
Switchgear,41641236.0,571.0
Brake Lathes,1616882.0,35.0
EnCase (Digital Intelligence Software),7121532.5,54.0
Structured Interview,76506980.5,923.0
Packaging And Labeling,2907833052.5,71674.0
Public Service,57684055.0,873.0
Real Estate Finance,21842217.5,207.0
Spooling,11007989.5,246.0
Emerging Technologies,487805486.0,4033.0
Computer Simulation,15167321.0,173.0
Iptables,2325642.5,23.0
ARM Architecture,3076740.0,27.0
Site Selection,26687938.0,275.0
Media Production,16814780.5,234.0
Roofing,626648075.5,9141.0
Offensive Security Certified Professional,26328595.5,203.0
Natural Process Variation,4199362.0,57.0
Machinery Design,23010449.0,269.0
Detoxification,4177746.0,48.0
Engineer in Training,52404218.5,581.0
Data Lakes,145759520.0,1096.0
Information Technology Architecture,49814021.0,344.0
Certified Occupational Health Nurse - Specialist (COHN-S),1102421.5,13.0
Current Probes,1285046.0,15.0
Conflict Management,200140463.0,2872.0
Social Skills,311043897.5,6454.0
Legal Discovery,208235605.5,3027.0
Attentive Service,14432460.0,415.0
Motor Control,45960382.5,666.0
Invoice Matching,48960333.5,1154.0
Mail Processing,71842563.0,1751.0
Microsoft Operating Systems,21969002.5,353.0
Business Economics,84134459.0,940.0
Web Content Management Systems,12165770.0,133.0
Route Management,12904810.5,248.0
Marketing Communications,274307365.0,3930.0
Complex Problem Solving,417953047.0,5198.0
Ringcentral,6356728.5,84.0
Radio Broadcasting,1359493.0,23.0
Microsoft Azure Certification,33608521.0,247.0
Product Marketing,211999925.0,1951.0
Fine Dining Experience,17807117.0,373.0
Service Innovation,13528882.5,123.0
SAP CRM,12449830.5,161.0
Chronic Obstructive Pulmonary Disease,20535936.5,201.0
Data Definition Language,34444630.0,306.0
Food Packaging,36597867.5,733.0
Self-Motivation,7027582367.5,114643.0
ITIL Certifications,38122650.0,358.0
Technical Writing,235816435.0,2633.0
Dentures,66493886.5,635.0
Subscription Business Models,4711882.0,52.0
Invoice Reconciliation,37631921.0,780.0
Automotive Industry,118068686.5,1618.0
Cargo Handling,10550988.0,250.0
Gas Tungsten Arc Welding,67483896.0,1348.0
Scope Creep Management,0.0,0.0
Persona (User Experience),55135573.5,495.0
Testimony,3652320.5,57.0
Unix Commands,17503396.0,160.0
PostgreSQL,433510516.0,3427.0
Private Placement,10014372.5,85.0
Medical Devices,489113133.0,5807.0
Virtual Classroom,14747291.5,217.0
Sterile Products,10824894.5,171.0
Intercompany Accounting,5761924.0,65.0
IEC 60601,6196000.5,56.0
Webpack,71539412.0,594.0
Fashion Retail,8574054.5,225.0
API Gateway,78661945.5,591.0
Guitars,35437019.5,634.0
General Scientific Knowledge,42899360.0,502.0
Vital Signs,703384795.0,12213.0
AWS Identity And Access Management (IAM),12938427.0,101.0
Interface Design,28762935.0,269.0
Content Delivery Networks,19615127.5,136.0
AWS CodeDeploy,6683939.5,53.0
Waterfall Methodology,348230075.0,2792.0
Go Continuous Delivery (GoCD),10046262.5,73.0
MapReduce,62775736.5,450.0
Salesforce Development,106645033.5,899.0
Bing Ads,15990999.5,192.0
Content Management Systems,83478977.5,1069.0
Embedded C,10997658.0,95.0
Salesforce,1566141822.0,17826.0
Spring Cloud,25960258.0,201.0
Hazardous Materials Certification,15867766.0,286.0
Cutters,56386283.5,1323.0
Extract Transform Load (ETL),678231358.5,5614.0
Istio,12120678.5,93.0
Care Planning,71111890.5,983.0
Heat Recovery Ventilation,215183.0,4.0
Refrigerated Trucking,242650387.5,2984.0
Twincat,850584.0,10.0
Product Control,10872757.5,199.0
Private Duty Nursing,16607125.0,278.0
Metrology,40050270.0,636.0
End-Stage Renal Disease,13556705.5,153.0
Inventory Turnover,30626821.5,439.0
Digital Health Technologies,8782388.5,77.0
Plowing,60129410.5,1068.0
Medical Software,126612823.0,949.0
Amazon Simple Notification Service (SNS),10264173.0,75.0
Market Environment,22647173.0,331.0
Industrial Management,31910372.5,343.0
Attribute Change Package,17486880.5,148.0
Stocking Merchandise,431859281.5,12628.0
Experimentation,115400998.5,1336.0
Bilingual (Spanish/English),1112777228.0,24150.0
Search Retargeting,470520.0,8.0
Needs Assessment,229469217.0,3058.0
Strategic Alignment,37551782.5,297.0
SAP NetWeaver Data Management,12877728.0,122.0
Human Resources Information System (HRIS),353620458.0,5148.0
Oracle Customer Experience (CX),5672000.0,38.0
Production Part Approval Process,65860880.0,906.0
Cancer Treatments,1559254.0,15.0
Problem Reporting,75780831.0,1676.0
Print Binding,42764650.5,1068.0
Data Redundancy,4530697.5,36.0
Adobe Campaign,13054730.0,114.0
Permissible Stress Design,0.0,0.0
Schematic Capture,26705015.5,243.0
Synon/2E,2950558.0,26.0
CI/CD,1033059369.0,7757.0
Nursing Home Care,109887718.0,1098.0
Specimen Delivery,1505654.0,36.0
Auto Body Repairs,37280827.0,681.0
Mechanical Failure,106584389.0,1575.0
Traffic Engineering,13970963.5,142.0
Amazon API Gateway,11369534.0,88.0
Application Monitoring,21569761.0,163.0
Dynamic Trunking Protocol,3312167.5,73.0
Applied Behavior Analysis,98324236.0,1541.0
Purchasing Management,10388846.0,131.0
Trigger Point Injections,10816683.5,102.0
Vulnerability Scanning,72947271.0,576.0
FreeBSD,441620.0,6.0
Academic Affairs,42784489.0,726.0
Trade Compliance,15076268.0,176.0
Breast Sonography,4989913.5,48.0
Calipers,323912752.0,7361.0
RF Switch,996968.5,9.0
Laboratory Testing,275416461.0,4812.0
Rheumatology,15819803.0,136.0
Occupational Injuries,9471239.0,104.0
Developing Training Materials,99008894.0,897.0
Clinical Nursing,175052927.5,2315.0
Maintenance Repair And Operations (MRO),27709712.5,400.0
Critical Appraisal,373313.0,4.0
Community Health Nursing,2213095.0,30.0
Program Development,286187691.5,3619.0
Web Banner,4715039.0,78.0
Hospice,184394383.5,2523.0
Employee Benefits,23181731.5,321.0
Microsoft Certified Solutions Expert,5956647.5,59.0
Immunohistochemistry,6005760.0,102.0
Materials Science,49940336.0,588.0
Site Inspection,111946287.5,1464.0
Cloud Automation,31383416.5,232.0
IBM Information Management System,1414748.0,15.0
Writing Systems,198564443.0,3126.0
Corneal Topography,2586134.0,40.0
Test Method,14262969.0,196.0
Customer Inquiries,691324542.0,15691.0
Learning Strategies,42425495.0,561.0
Container Security,8337473.5,61.0
Continuous Improvement Process,754782394.0,8381.0
Service Virtualization,6234770.0,54.0
Writing,8624012914.5,132996.0
Financial Statements,2045066840.5,26142.0
Application Design,39397562.0,345.0
Apache JMeter,47122274.5,393.0
Wonderware,15535873.5,141.0
Contract Finalization,6092648.5,77.0
Building Inspections,29983865.5,556.0
Design Thinking,149471465.0,1208.0
Due Diligence,392462793.5,3694.0
Psychopharmacology,3698706.5,52.0
Trash Pickup,4110648.5,129.0
Block Trades,2273152.5,27.0
Technical Performance Measure,51397441.0,471.0
Swing (Java),2844327.0,27.0
Antimicrobials,8353934.0,118.0
Lead Time Reduction,4989960.0,58.0
Math Tutoring,19132858.5,488.0
Tanium (Endpoint Management Software),4983745.0,43.0
Milling,127286779.0,2220.0
SAP Security,8960806.5,73.0
Furniture Design,5376737.5,102.0
Pediatric Advanced Life Support (PALS),250349672.5,2264.0
Licensed Mental Health Professional,28512620.0,249.0
Radiology Certified Coder,21288120.5,355.0
Head Start (Education Program),64966843.0,1436.0
Memory Forensics,2015248.5,14.0
Touch Typing,12709347.0,341.0
Cervical Cancer,4491913.0,54.0
Finance Lease,35769728.0,596.0
Mature Market,995820.5,4.0
Moving Average,1789420.0,31.0
Class Action,13251498.5,157.0
Enhanced Prudential Standards,239200.0,2.0
News Reporting,3422682.5,87.0
Apple Products,12520116.5,248.0
Wetland Delineation,2058514.5,28.0
Order Delivery,227961993.5,5396.0
Chest Tubes,14302510.5,136.0
Wireless Security,13706095.0,134.0
Apple Numbers,8988406.0,194.0
Software Maintenance,28634638.0,393.0
Flask (Web Framework),59626634.5,469.0
Email Marketing,208680244.0,3701.0
Iconography,16508405.0,201.0
ASC 740 (Accounting For Income Taxes),46221145.0,381.0
Atmospheric Sciences,4333204.0,54.0
Trading Room,13822151.5,126.0
Broadcasting,13461088.5,216.0
Anxiety Disorder,8957086.0,100.0
Building Information Modeling,47775508.5,573.0
Control Wiring,10152306.5,161.0
Kyriba (Treasury Management Software),4845339.5,44.0
ProSystem Fx Engagement (Tax Software),7884969.5,93.0
Group Therapy,64942304.0,1048.0
Report Writing,1054818720.5,16903.0
Front End Loaders,27336170.5,531.0
Contract Implementation,14069005.0,146.0
Pentaho Data Integration,13283425.0,117.0
Progress Monitoring,31957481.5,427.0
Statistical Programming,22130675.5,201.0
Covenants,40126314.0,343.0
Web Pages,65070871.0,971.0
Oracle Configure-Price-Quote (CPQ),5564622.5,47.0
Telephone Triage,36414722.5,613.0
Glazing,11768882.5,227.0
Positivity,2687079587.0,55338.0
Data Acquisition,86617864.0,930.0
IEC 62304,8011228.0,69.0
Furniture Cleaning,455997610.0,12759.0
Network Video Recorder,2043838.0,32.0
Climatology,3217906.5,32.0
Filmmaking,17124497.0,245.0
Personally Identifiable Information,4872788.5,38.0
Patient Coordination,26415598.5,660.0
Hotjar,2269081.5,27.0
Qt (Software),15490468.5,152.0
Agile Coaching,51553286.0,370.0
Juvenile Justice,24624639.5,419.0
Patient Education And Counseling,545980390.0,6416.0
Credit Management,29367590.0,400.0
Sprinkler Systems,19000723.0,325.0
Injector,13422248.5,232.0
Sales Proposals,68744134.5,796.0
Dog Training,14545193.5,423.0
Visual Merchandising,194521448.5,5051.0
REST API Development,33007920.5,257.0
Learning Content Management Systems (LCMS),1279140.5,23.0
Safety Stock,22378321.0,359.0
Consumer Sales,16143518.0,230.0
Oracle Billing and Revenue Management (BRM),358900.0,3.0
Development Aid,91080442.5,1623.0
Personal Finance,5729941.0,102.0
Price Checks,12441466.5,371.0
Price Analysis,44081317.5,491.0
Microsoft Azure,1822494879.5,14170.0
Solar Energy Systems Installation,15222839.0,239.0
QC Reporting,18256993.0,222.0
American Red Cross Lifeguard Certification,11700554.5,356.0
Load Securement,71148287.5,1305.0
Behaviour Therapy,40733522.0,745.0
Bill Of Lading,238489170.5,5536.0
Network Switches,463059763.5,6776.0
Neonatal Care,23442958.0,184.0
Project Assessments,8149839.5,89.0
Cost Engineering,35239146.0,343.0
Hazardous Materials Certification - Operations Level,4812379.0,100.0
Process Mapping,109894381.5,1051.0
Use Case Analysis,12559030.5,139.0
Sovereign Wealth Fund,1128000.0,11.0
Open Banking,2582805.0,16.0
American Registry Of Magnetic Resonance Imaging Technologists (ARMRIT) Certification,3191491.0,41.0
Pareto Principle,235000.0,3.0
FastAPI,7789432.0,54.0
Nurse Education,164178191.0,1949.0
Unit Testing,615024439.0,5171.0
Fine Motor Skills,488701882.5,10699.0
Recruitment Metrics,20238903.5,259.0
Visual Programming Language (VPL),1032886.0,20.0
Object-Oriented Analysis And Design,52314518.5,398.0
Blister Packs,5451249.0,117.0
C-Based Programming Languages,10430127.0,92.0
Surgery,679152995.5,7578.0
Community Emergency Response Teams (CERT),232600.0,4.0
Zabbix,10463909.0,83.0
Deep Packet Inspection,3680103.5,24.0
ISO/IEC 20000,589480.0,6.0
Visual Acuity,360210851.0,6956.0
International Board Of Heart Rhythm Examiners (IBHRE) Certification,158440.0,2.0
Internal Medicine,166409092.0,1431.0
Team Building,752811195.5,10724.0
Demilitarized Zones (DMZ),21363449.0,172.0
High-Level Architecture,13641638.0,103.0
Tooling,693346788.5,9557.0
Medical Practice Experience,11332717.5,229.0
Chainsaws,41772969.0,984.0
Real Estate Valuation,2061378.0,22.0
Qualys,25380713.0,193.0
Health And Safety Standards,103961846.0,2625.0
Computational Tools,5748920.5,41.0
Staff Management,232154221.0,3549.0
Gross Profit,77310497.0,977.0
Intranet,81828989.0,1036.0
Transmission,257080199.5,4111.0
Prepayment,6965475.0,76.0
Customer Data Management,285595698.0,5237.0
Environmental Management Systems,19572894.5,267.0
Wolfram Mathematica,50837748.0,508.0
Enterprise Risk Management (ERM),52188491.0,416.0
Game Theory,1106520.0,9.0
Promotional Strategies,33739656.0,464.0
New Product Information,9883600.0,198.0
Apple Software Update,1184411.0,24.0
Abdomen (Medical),2443418.0,24.0
Incident Management,195407120.0,1979.0
Block Diagram,412160.0,4.0
Data Caching,1290582.5,11.0
Electrical Systems,413896826.0,6824.0
Education Theories,2195019.5,49.0
Health Care Industry,64538263.5,651.0
Project Charter,42361520.0,332.0
Reinforcement Learning,4273277.5,37.0
Risk Selection,28253853.5,199.0
Mechanics,550526933.0,10415.0
Quotations,118052309.0,1913.0
Business Modeling,14265370.0,128.0
JavaBeans,3057112.0,25.0
Ceramic Art,3808124.0,102.0
Attribution Analysis,3901399.0,35.0
Surface Mining,46800.0,1.0
Negotiation,2688452877.0,29776.0
Professional Hair Care,37009499.0,459.0
Chamfer,2500573.5,55.0
Vulnerability Discovery,4837210.0,51.0
Debits And Credits,33581287.5,734.0
Nursing Assessment,32405221.5,441.0
System Monitoring,64615804.5,819.0
Occupational Therapy,191474060.5,2662.0
Data Masking,9286927.0,71.0
Sentinel Events,2114701.0,26.0
Studious,774788.0,16.0
Category 5 Cabling,34446828.0,629.0
Social Networks,30619955.0,512.0
Graffiti Removal,4239982.5,85.0
