subcategory_clean,tot,counts,mean
Human Resources Management and Planning,1580684781.5,20658.0,76516.83519701811
Human Resources Software,705157420.0,10399.0,67810.1182806039
IT Automation,2058741413.5,16471.0,124991.88959383158
IT Management,2123985899.0,20386.0,104188.45771607966
Identity and Access Management,1178756809.0,10448.0,112821.28723200613
Image Analysis,89614817.0,965.0,92865.09533678756
Immunology,94403502.5,1189.0,79397.39486963834
Industrial Design,294081301.0,3118.0,94317.28704297627
Industrial Engineering,194836938.5,2285.0,85267.8067833698
Industry Specific Marketing,89777367.0,1095.0,81988.46301369862
Infectious Diseases,551766252.0,9426.0,58536.62762571611
Initiative and Leadership,36051149610.0,563629.0,63962.55268980127
Injury Treatment,200380047.0,2306.0,86895.07675628795
Instructional and Curriculum Design,673645486.0,11219.0,60045.056243872
Insulation,28032136.5,589.0,47592.761460101865
Insurance,1152897679.0,14460.0,79730.12994467496
Insurance and Warranty Claims Processing,317108999.0,5387.0,58865.602190458514
Integrated Development Environments (IDEs),263169839.5,2413.0,109063.34003315376
Intelligence Collection and Analysis,154434669.5,1860.0,83029.39220430108
Interior Design,103993593.5,1878.0,55374.65042598509
Internal Controls,677936988.0,8455.0,80181.78450620934
Internet of Things (IoT),236938506.5,2693.0,87983.10675826216
Inventory and Warehousing,13562007692.0,363004.0,37360.49104693061
Investment Management,1057242680.0,10626.0,99495.8290984378
Java,2434341325.5,20376.0,119471.01126325088
JavaScript and jQuery,2402443825.0,20170.0,119109.75830441249
Journalism,188291675.0,3053.0,61674.312151981656
Labor Compliance,167983600.0,2678.0,62727.259148618374
Laboratory Research,1123343940.0,19996.0,56178.43268653731
Landscaping and Horticulture,375690632.5,9354.0,40163.634006841996
Language Competency,5945300409.5,129891.0,45771.45767990084
"Language Interpretation, Translation, and Studies",189049123.5,2919.0,64765.03031860226
Law Enforcement and Criminal Justice,519213040.5,9304.0,55805.35688950989
Lean Manufacturing,887241951.5,10716.0,82796.00144643524
Legal Proceedings,762433642.0,11845.0,64367.551034191645
Legal Support,714280375.0,9785.0,72997.48339294839
Library and Archiving,258949959.0,4368.0,59283.41552197802
Literature and Literary Studies,21907583.0,346.0,63316.71387283237
Litigation and Civil Justice,1297918646.5,18666.0,69533.83941390764
Livestock Farming,27124826.5,629.0,43123.73052464229
Log Management,108670650.0,1145.0,94908.86462882096
Logistics,606635429.0,10945.0,55425.80438556419
Machinery,5064472018.5,107604.0,47065.83415579346
Mainframe Technologies,115181113.5,1155.0,99723.90779220778
Malware Protection,94008334.0,981.0,95829.0866462793
Manufacturing Design,96598669.5,1419.0,68075.17230443975
Manufacturing Processes,1852419149.5,36151.0,51241.159290199445
Manufacturing Standards,939696829.0,17492.0,53721.52006631603
Marine and Naval Engineering,1176665.0,19.0,61929.73684210526
Market Analysis,1660243234.5,20327.0,81676.7469129729
Marketing Software,149347141.0,1463.0,102082.80314422419
Marketing Strategy and Techniques,8160208667.5,122444.0,66644.41432409918
Material Handling,3626059848.0,91458.0,39647.268123072885
Materials Science and Engineering,249284195.0,3711.0,67174.3990838049
Mathematical Software,134013154.5,1267.0,105772.02407261248
Mathematics and Mathematical Modeling,2352688947.0,51737.0,45474.011771072925
Mechanical Engineering,1520404229.5,24448.0,62189.309125490836
Media Production,374977196.0,5878.0,63793.33038448452
Medical Billing and Coding,721087803.5,13483.0,53481.25813987985
Medical Equipment and Technology,794886563.0,11257.0,70612.64661988096
Medical Imaging,843109904.5,8718.0,96709.09663913742
Medical Science and Research,691522000.5,10201.0,67789.62851681208
Medical Support,1032363021.0,20321.0,50802.76664534226
Mental Health Diseases and Disorders,615011353.5,12008.0,51216.801590606265
Mental Health Therapies,851450414.0,14034.0,60670.54396465726
Mental and Behavioral Health Specialties,1947786087.5,29224.0,66650.22199219819
Merchandising,2391960315.5,68278.0,35032.665214271066
Mergers and Acquisitions,675695496.5,7938.0,85121.62969261779
Metal Fabrication,350429452.0,7145.0,49045.40965710287
Micro Manufacturing,13944784.5,168.0,83004.66964285714
Microsoft Development Tools,1274226206.5,11485.0,110946.99229429691
Microsoft Windows,101911853.5,1299.0,78454.08275596613
Middleware,502898589.0,4522.0,111211.54113224238
Military Operations,120226673.5,2663.0,45147.07979722118
Military Technology and Weapons,96256157.0,2070.0,46500.55893719807
Mining Engineering,15725238.5,126.0,124803.48015873016
Mobile Development,614703128.0,5697.0,107899.44321572757
Mobility Assistance,67298992.0,1726.0,38991.30475086906
"Molecular, Cellular, and Microbiology",265188795.0,4189.0,63305.99068990212
Mortgage Lending,982175187.5,12273.0,80027.31096716369
Music,177172843.5,4139.0,42805.71237013771
Natural Gas,36067096.0,528.0,68308.89393939394
Natural Language Processing (NLP),104167906.0,880.0,118372.62045454545
Nephrology,144827857.0,1779.0,81409.70039347948
Network Protocols,1473932184.0,14550.0,101301.18103092784
Network Security,1668521062.5,15460.0,107925.03638421734
Networking Hardware,677851433.5,9321.0,72723.03760326146
Networking Software,219009620.0,2254.0,97164.87133984029
Neurology,278601377.5,2794.0,99714.1651753758
Neuroscience,11118955.0,146.0,76157.22602739726
Nuclear Energy,17641085.0,239.0,73812.07112970711
Nuclear Medicine,22261585.5,223.0,99827.73766816144
Nursing and Patient Care,5513006639.5,77316.0,71304.86108308758
Nutrition and Diet,182136209.0,3168.0,57492.49021464647
Obstetrics and Gynecology (OBGYN),394271315.0,3904.0,100991.62781762295
Occupational Health and Safety,5202400438.0,121687.0,42752.31074806676
Office Management,1370255156.5,31880.0,42981.65484629862
Office and Productivity Equipment and Technology,20668833631.5,374114.0,55247.42092383605
Oil and Gas,307496191.0,6173.0,49813.087801717156
Oncology,326841004.5,3639.0,89816.15952184667
Online Advertising,384524789.5,5427.0,70854.02423069836
Operating Systems,2486265506.0,27741.0,89624.22068418586
Optical Engineering,68384028.0,958.0,71382.0751565762
Oral and Dental Care,1160799109.0,18269.0,63539.28014669659
Orthopedics,329814102.0,4120.0,80051.96650485437
Other Programming Languages,1857877557.5,16218.0,114556.51482920212
Pathology,162954681.5,2131.0,76468.64453308306
Patient Education and Support,1365462037.5,19401.0,70381.01322096799
Payment Processing and Collection,1289690867.0,24318.0,53034.41347972695
Payroll,692436347.5,12151.0,56985.955682659864
Pediatrics,578392836.0,7065.0,81867.35116772824
People Management,5145271193.0,83292.0,61773.89416750708
Performance Management,1576265883.5,20985.0,75113.9329759352
Personal Attributes,30478902505.5,625580.0,48721.030892132105
Pharmacology and Drug Discovery,295120727.0,3387.0,87133.37082964275
Pharmacy,1763509551.0,24918.0,70772.51589212618
Photo/Video Production and Technology,554666863.5,10134.0,54733.260657193605
Physical Abilities,6909071412.5,172583.0,40033.32548686719
Physical Therapy,839927908.0,14675.0,57235.29185689949
Physics,307003501.5,3766.0,81519.7826606479
Plant Operations and Management,1121449940.0,22881.0,49012.27830951445
Plumbing,1102557533.5,21022.0,52447.79438207592
Poison Control,2042571.5,33.0,61896.106060606064
"Policy Analysis, Research, and Development",1613327408.0,22971.0,70233.2248487223
Power Generation,41640523.0,554.0,75163.3989169675
Power Tools,810387016.0,19802.0,40924.503383496616
Presentation Design,155009767.0,3179.0,48760.543252595155
Pricing Analysis,205103128.5,2248.0,91238.04648576512
Process Engineering,631465349.5,8073.0,78219.41651182955
Process Improvement and Optimization,5876070875.0,73026.0,80465.46264344206
Procurement,3254256421.0,46223.0,70403.40135863099
Product Development,2130219380.5,24603.0,86583.72476933707
Product Inspection,273005091.5,6789.0,40212.85778465164
Product Management,1935131098.5,18121.0,106789.42103084819
Production and Assembly,776410139.5,16756.0,46336.246090952496
Program Management,1158778431.5,14535.0,79723.3183006536
Project Management,10561005748.0,125757.0,83979.46633586998
Promotions and Campaigns,885050118.0,14117.0,62693.92349649359
Property Law,323353998.5,4137.0,78161.46930142616
Property Management,478386401.5,9061.0,52796.20367509105
Prospecting and Qualification,971291184.5,13906.0,69846.91388609234
Public Health and Disease Prevention,695696924.0,9436.0,73727.94870707927
Public Relations,1332267668.5,23421.0,56883.46648307075
Pulmonology,358349835.5,5006.0,71584.06622053536
Quality Assurance and Control,6945810640.5,100751.0,68940.36426933728
Query Languages,2493271493.5,22830.0,109210.31508979414
Radio Frequency (RF),220590467.0,3867.0,57044.341091285234
Rail Transportation,49083068.5,711.0,69033.85161744023
Real Estate Development,23528393.0,307.0,76639.71661237784
Real Estate Sales,1098755362.0,15583.0,70509.87370852852
Recruitment,1217310201.0,18168.0,67002.98332232497
Regulation and Legal Compliance,12083770147.0,241320.0,50073.63727415879
Rehabilitation,647276478.5,9783.0,66163.3934887049
Religious Studies and Services,40876715.0,810.0,50465.08024691358
Retail Sales,2035795740.5,50007.0,40710.21537984682
Risk Management,2103714750.5,21997.0,95636.43908260217
Road and Bridge Construction,71224144.5,1320.0,53957.68522727273
Roads and Drainage,134146899.0,2043.0,65661.72246696035
Robotics,101121466.0,1349.0,74960.31578947368
Roofing,854414962.0,12286.0,69543.78658635846
Safety and Security,1774237530.5,32941.0,53861.07071734313
Safety and Surveillance Technology,560820411.5,12330.0,45484.21828872668
Sales Analysis,246556010.0,2995.0,82322.5409015025
Sales Management,2398607229.5,32260.0,74352.36297272163
Scheduling,4201209932.0,82871.0,50695.7793679333
Science Software,28972351.0,332.0,87266.11746987952
Scripting,1631524855.0,15888.0,102689.12732880161
Scripting Languages,4507995135.5,39290.0,114736.45038177654
Sea and Waterway Transportation,8762465.5,184.0,47622.095108695656
Search Engines,117332512.0,981.0,119605.00713557594
Servers,722899087.0,7078.0,102133.24201751908
Signal Processing,96978564.0,1210.0,80147.573553719
Simulation and Simulation Software,111251030.5,1151.0,96655.97784535187
Social Media,1248494820.5,22926.0,54457.59489226206
Social Skills,5701466622.5,104613.0,54500.555595384896
Social Studies,847386994.0,14046.0,60329.417200626514
Software Development,12723164496.0,111008.0,114614.84303833958
Software Development Tools,2928962906.0,24725.0,118461.59377148635
Software Quality Assurance,3683330631.5,34188.0,107737.52870890372
Solar Energy,52451659.5,657.0,79835.09817351599
Solution Sales Engineering,562693212.5,6221.0,90450.60480630124
Special Education,293861642.0,5829.0,50413.73168639561
Specialized Accounting,446423005.5,5273.0,84662.053005879
Specialized Sales,2833832567.5,40656.0,69702.69007034632
Speech Language Pathology,326810759.0,4100.0,79709.9412195122
Sports and Recreation,252970550.5,5699.0,44388.58580452711
Statistical Software,295141831.0,3290.0,89708.7632218845
Statistics,827124227.5,8685.0,95235.95020149683
Streaming Media Systems,61320090.5,593.0,103406.56070826307
Structured Finance,49400716.0,630.0,78413.83492063492
Student Support and Services,240072516.0,4686.0,51231.8642765685
Supplier Management,814012478.5,9869.0,82481.75889147837
Supply Chain Management,2029950938.5,27236.0,74531.90404244383
Surgery,1318704977.0,14874.0,88658.39565685089
Surveying and Cartography,109880590.0,1923.0,57140.19240769631
System Design and Implementation,3789773538.0,34562.0,109651.45356171519
Systems Administration,1463105599.0,16313.0,89689.5481517808
Tax,1842373119.0,23875.0,77167.4604816754
Teaching,4832143718.5,81388.0,59371.697529119774
Technical Support and Services,1909719567.0,29223.0,65349.88081305821
Telecommunications,1404256223.5,19979.0,70286.6121177236
Telecommunications Equipment and Installation,116934826.0,2024.0,57774.12351778656
Test Automation,889476881.0,7910.0,112449.66890012642
Textiles,104638442.0,2382.0,43928.81696053736
Theatre and Performance Art,40527184.5,849.0,47735.19964664311
Training Programs,523180435.0,7637.0,68506.01479638602
Transportation Equipment Manufacturing,16544020.5,262.0,63145.11641221374
Transportation Operations,1258425161.0,22567.0,55763.95449107103
Transportation Security,41583714.0,653.0,63681.032159264934
Travel and Tourism,326100584.5,6840.0,47675.5240497076
Underwriting,693294340.0,7637.0,90780.97944218935
Urban and Regional Planning,179692227.5,2597.0,69192.23238351944
Urology,80686315.5,775.0,104111.37483870967
User Interface and User Experience (UI/UX) Design,2599188560.5,24763.0,104962.5877518879
Vehicle Repair and Maintenance,2313297465.0,44277.0,52246.029880073176
Version Control,1629356158.5,13860.0,117558.1643939394
Video and Web Conferencing,550905510.5,8402.0,65568.37782670793
Virtualization and Virtual Machines,829469288.5,7667.0,108186.94254597626
Waste Management,128723607.0,2647.0,48629.99886664148
Water Energy,1258436.5,14.0,89888.32142857143
"Water Supply, Testing, and Treatment",324461867.5,5073.0,63958.57825744135
Web Analytics and SEO,849363621.5,11840.0,71736.79235641893
Web Content,69806048.0,705.0,99015.67092198582
Web Design and Development,4409265746.5,44611.0,98838.08357804129
Web Services,2031159445.5,16687.0,121721.06702822556
"Welding, Brazing, and Soldering",806058073.0,16160.0,49879.83125
Wind Energy,3044707.0,42.0,72493.02380952382
Wireless Technologies,259512011.0,3473.0,74722.72127843363
Writing and Editing,5094411287.0,84291.0,60438.37760852285
iOS Development,637691948.5,6370.0,100108.62613814756
