,July 2022 actual,July 2024 predicted,Percent change
 Presentation Software,0.000810082,0.000983345,21.38829971
 Specimen Processing,0.001113863,0.001351532,21.33728794
 Hematology,0.001176177,0.001425143,21.16732054
 Electronic Discovery,0.000553037,0.000669536,21.06529098
 Code Review,0.006418345,0.0077673,21.01717164
 Market Intelligence,0.0016669,0.002012203,20.71525384
 Brainstorming,0.000926921,0.001108788,19.62047921
 Organizational Architecture,0.001028182,0.001228099,19.44380834
 Clinical Experience,0.004977333,0.005927545,19.09078473
 Accounting Records,0.001090496,0.001296977,18.93461066
 Analytics,0.008942064,0.010618439,18.74708086
 Keys And Locks,0.00104376,0.001238419,18.6498077
 Business Correspondence,0.001612376,0.001910831,18.51028305
 Cost Estimation,0.001004814,0.001189466,18.37676698
 Lathes,0.001955103,0.002312084,18.25893159
 CDL Class B License,0.001176177,0.001390074,18.18573132
 Cloud Services,0.003100123,0.003657914,17.99255275
 Blueprinting,0.004167251,0.00491545,17.95426206
 Nursing Interventions Classification,0.001168388,0.001370451,17.29413576
 Sales Training,0.002305619,0.0027002,17.11388027
 Access Controls,0.003076755,0.003600145,17.0110771
 CPT Coding,0.001659111,0.001938511,16.84036435
 JavaScript (Programming Language),0.018296958,0.02134142,16.63917216
 Forklift Truck,0.017074045,0.019890305,16.49439289
 Experimentation,0.001635743,0.001905307,16.47961092
 SPSS (Statistical Software),0.000864607,0.001006479,16.40877969
 Mobile Devices,0.001339752,0.001550791,15.75209824
 Fine Motor Skills,0.007797043,0.009002589,15.46157851
 Venipuncture,0.001659111,0.001915027,15.4248832
 Merchandising,0.050069324,0.057724534,15.28922018
 Clinical Nursing,0.002936549,0.003382202,15.17610546
 Service-Level Agreement,0.00396473,0.004559812,15.00938541
 Cyber Security,0.005101961,0.005865081,14.95738265
 Alarm Devices,0.002165413,0.002488159,14.90461968
 Medical Terminology,0.00637161,0.007273793,14.15941706
 Chronic Diseases,0.001363119,0.001553893,13.99537291
 Six Sigma Methodology,0.003318222,0.003781898,13.97363077
 Authentications,0.002414669,0.002750268,13.89834132
 People Management,0.006776651,0.007716307,13.86608264
 Immunology,0.0009425,0.001070994,13.63337435
 Dataflow,0.000965867,0.001096897,13.56596855
 Cash Register,0.018888941,0.021434432,13.47609219
 Research And Development,0.001931735,0.002190956,13.41907348
 Business Valuation,0.004580081,0.00519215,13.36370544
 Anatomy,0.002032995,0.002304366,13.34830754
 Sawing,0.00145659,0.001649708,13.25818196
 Vulnerability,0.003107912,0.003514649,13.08713098
 Food Science,0.00093471,0.001056922,13.07482696
 Listening Skills,0.005592684,0.006314612,12.90842439
 Cascading Style Sheets (CSS),0.010873799,0.012240199,12.56599397
 Linens,0.004681342,0.005258797,12.33526328
 Leadership Development,0.00386347,0.004326558,11.98633579
 Occupational Safety And Health,0.00584973,0.00654731,11.925003
 Valid Driver's License,0.079099874,0.088321894,11.65870456
 Manufacturing Operations,0.002048574,0.002285748,11.57753516
 Specimen Collection,0.001752582,0.001948398,11.17297289
 Boilers,0.001721425,0.001913096,11.13441997
 Consultative Selling,0.003068966,0.003398176,10.7270578
 Business To Business,0.010499914,0.01162462,10.71157291
 Functional Testing,0.001433223,0.001585549,10.62826548
 Income Tax,0.001316384,0.001456172,10.61907268
 Biology,0.006940225,0.007661149,10.38761489
 Microsoft Word,0.028570983,0.03150758,10.2782466
 Manufacturing Processes,0.004650185,0.005118323,10.06710323
 Online Marketing,0.000778925,0.00085683,10.00151683
 Hydraulics,0.003544111,0.003896175,9.93378413
 Scalability,0.014807372,0.016222595,9.557560323
 System Administration,0.003769999,0.004130079,9.551191171
 Brakes,0.002056363,0.00224992,9.412605946
 Order Processing,0.002328987,0.002546904,9.356713362
 Data Entry,0.024528361,0.026791166,9.225259443
 Carpentry,0.005296693,0.005784325,9.206351631
 Authorization (Computing),0.00459566,0.004986012,8.493923461
 Building Codes,0.001869421,0.002026053,8.378647887
 Computer Engineering,0.005919833,0.006414526,8.35653884
 Financial Statement Analysis,0.000981446,0.00106325,8.335001898
 Food Services,0.017588135,0.019038446,8.2459613
 Financial Systems,0.002936549,0.003177641,8.210041602
 Budgeting,0.026802823,0.028999551,8.195884396
 Lean Manufacturing,0.006449502,0.006975968,8.162887836
 Electronic Data Interchange,0.000911343,0.000984488,8.026088096
 Medical Devices,0.004354193,0.00469744,7.883131835
 Sales,0.175063482,0.188410863,7.624309008
 Peripheral Devices,0.002321198,0.002497046,7.575779244
 Pathology,0.002032995,0.002186758,7.563340192
 Computer-Aided Design,0.003162437,0.003394626,7.342097394
 Fire Alarm Systems,0.001884999,0.002022973,7.319561301
 Certified Nursing Assistant,0.010499914,0.011259548,7.234669016
 Public Relations,0.006394977,0.006855292,7.19806324
 System Configuration,0.001090496,0.001168725,7.17379688
 Change Control,0.003279276,0.003505021,6.883995005
 Forklift Operation,0.005507003,0.005885903,6.880343996
 Mergers And Acquisitions,0.00448661,0.004794008,6.851444065
 Microsoft Windows 7,0.000880186,0.000939228,6.707883198
 Demonstration Skills,0.004065991,0.004333928,6.589732487
 Journals,0.001207334,0.001285371,6.463554799
 Suspension (Vehicle),0.002165413,0.002303415,6.373018642
 Production Schedule,0.002243305,0.002381202,6.147022186
 Design Software,0.001215124,0.001287297,5.939620407
 Payroll Systems,0.001448801,0.001533849,5.87022366
 Hand Tools,0.009518468,0.010075683,5.854039746
 Pivot Tables And Charts,0.00532006,0.00562583,5.747492085
 Generally Accepted Accounting Principles,0.009012167,0.009527607,5.719380095
 Programmable Logic Controllers,0.002850867,0.003010189,5.588532815
 Life Skills Development,0.001028182,0.001084,5.428881745
 Registration,0.006496238,0.006843817,5.350465034
 Grinding,0.001511115,0.00158961,5.194502336
 Cost Accounting,0.00167469,0.001758795,5.022148618
 Mac OS,0.00146438,0.001537901,5.020637619
 Physics,0.002913181,0.003053407,4.813492357
 Data Integrity,0.004743656,0.004971887,4.811296373
 Grinding Machine,0.002850867,0.002987536,4.79396014
 Collaboration,0.014760636,0.015429168,4.529149734
 Financial Data,0.004424296,0.004616361,4.341144735
 Business Technologies,0.001713636,0.001787331,4.300527301
 Security Systems,0.002438036,0.002542834,4.298459515
 Customer Retention,0.001892789,0.001973494,4.263833748
 Project Scoping,0.005273325,0.005493424,4.173822336
 Organizational Skills,0.072728264,0.07573295,4.131386981
 Financial Analysis,0.014417909,0.01500616,4.080004311
 Clerical Works,0.021755386,0.022599095,3.878162397
 Encryption,0.001596797,0.001657697,3.813904405
 Microsoft Excel,0.096376439,0.100031711,3.792703001
 JQuery,0.002554875,0.002651472,3.780859066
 Account Management,0.011317786,0.011730199,3.643939126
 Inventory Control,0.011824087,0.012226913,3.406818244
 Cycle Counting,0.005522581,0.005709087,3.377160559
 Delegation Skills,0.001238491,0.001279512,3.31211723
 Depreciation,0.000794504,0.000820495,3.271396535
 Instructional Design,0.001682479,0.001737383,3.263293658
 Enthusiasm,0.024029848,0.024770554,3.082440309
 Production Process,0.003248119,0.003347218,3.050970259
 Accounting,0.055108972,0.056678951,2.848863037
 Underwriting,0.008124192,0.00835503,2.84136561
 Revenue Cycle Management,0.002328987,0.002390839,2.655741852
 Microsoft PowerPoint,0.054220997,0.055653635,2.642221254
 Linux,0.009495101,0.009731688,2.491674992
 Microsoft SQL Servers,0.004471032,0.004576345,2.355451325
 Safety Training,0.004471032,0.004570645,2.227965606
 Network Administration,0.001067128,0.001090624,2.201836066
 Open Source Technology,0.001074917,0.00109772,2.121363451
 Rapport Building,0.01044539,0.010627418,1.742670769
 Clinical Documentation,0.001207334,0.001227956,1.70803795
 Public Policies,0.001916156,0.001946248,1.570389484
 Fixed Asset,0.002149834,0.002182638,1.525882908
 Statistics,0.006091197,0.006173416,1.349807948
 Oracle Databases,0.000576405,0.000583069,1.156222126
 HVAC,0.009557415,0.009656106,1.032617452
 Bookkeeping,0.006488449,0.006550813,0.961166446
 Acute Care,0.00438535,0.004407063,0.495134672
 Research Experiences,0.001705847,0.001714268,0.493694905
 Basic Reading,0.000997025,0.001001923,0.491322649
 Animations,0.001425433,0.00143181,0.447337547
 Accounts Payable,0.013452042,0.013512065,0.446204427
 New Product Development,0.02391301,0.024013186,0.418919506
 Security Information And Event Management (SIEM),0.000965867,0.000969741,0.401027378
 Internet Of Things (IoT),0.002274462,0.00228336,0.391216666
 Point Of Sale,0.008957642,0.008979968,0.249242198
 Working With Children,0.003061177,0.003068204,0.229552391
 Warehouse Management Systems,0.003777788,0.003783574,0.153144264
 Microsoft Office,0.08769921,0.087779712,0.09179303
 Behavioral Health,0.005475846,0.005479322,0.06349261
 Service Management,0.002009628,0.002010886,0.062638807
 Visual Design,0.001791528,0.001791684,0.008692254
 Selling Techniques,0.040979265,0.040971708,-0.01844214
 Sales Management,0.009199109,0.009187734,-0.123654964
 Office Procedures,0.002438036,0.00243129,-0.276713541
 Waste Management,0.001230702,0.001226222,-0.363989908
 Data Security,0.002422458,0.002412246,-0.421541662
 Accounts Receivable,0.013802558,0.013739287,-0.458397664
 File Systems,0.001339752,0.001333185,-0.490106271
 Entrepreneurship,0.000817872,0.000813052,-0.589339722
 Arithmetic,0.028197099,0.028029151,-0.595621625
 Taking Meeting Minutes,0.002095309,0.002081649,-0.651934761
 Analytical Skills,0.036554969,0.036253311,-0.82521757
 Property Management,0.00376221,0.003728085,-0.907032334
 Python (Programming Language),0.025026873,0.024785663,-0.96380369
 Organizational Leadership,0.002071942,0.002051004,-1.010540403
 Key Performance Indicators (KPIs),0.02359365,0.023332739,-1.105852418
 Human Machine Interfaces,0.001090496,0.001078246,-1.123345368
 Office Management,0.00574068,0.005668841,-1.251399717
 Surgical Procedures,0.001861632,0.001835444,-1.406727747
 Customer Relationship Management,0.030915549,0.030452507,-1.497765068
 Project Planning,0.007898304,0.00777764,-1.527718399
 Medical Necessity,0.001690268,0.001663601,-1.577711
 Supply Management,0.001121653,0.00110358,-1.611281253
 Technical Management,0.000981446,0.000964522,-1.724419538
 Business Development,0.021412659,0.021025836,-1.806513736
 Digital Marketing,0.007189481,0.007059573,-1.806917018
 Customer Service,0.271058248,0.266011342,-1.861926605
 Electronic Medical Record,0.00929258,0.009117127,-1.888093095
 Medical Laboratory,0.002788553,0.002733083,-1.989205669
 Forecasting,0.027698587,0.027136789,-2.028256262
 Time Management,0.06578025,0.064445332,-2.0293597
 Communications,0.369350844,0.361440912,-2.141576722
 Adobe Creative Suite,0.00344285,0.003367781,-2.180440562
 Resource Planning,0.001511115,0.001477079,-2.252370589
 Identity And Access Management,0.001955103,0.001910654,-2.273475685
 Strategic Planning,0.019660077,0.019202174,-2.329102126
 Windows PowerShell,0.003481797,0.003400665,-2.33017217
 Standard Operating Procedure,0.015337041,0.014971954,-2.380424851
 Persistence,0.001838264,0.001792488,-2.49015398
 Process Improvement,0.033789784,0.032946559,-2.495502649
 Work Order,0.001293016,0.001260525,-2.512830664
 Calipers,0.002858656,0.002786511,-2.523762402
 Negotiation,0.027028711,0.02629885,-2.700318715
 Product Engineering,0.00208752,0.002030352,-2.738557007
 Verbal Communication Skills,0.075454503,0.073387492,-2.739413075
 Radiography,0.002235516,0.002171239,-2.875264652
 Network Routing,0.003419482,0.003320416,-2.89710982
 Electromechanics,0.001425433,0.001381847,-3.057780637
 Finance,0.056331885,0.054563429,-3.139350548
 Multilingualism,0.018304747,0.017726034,-3.161545213
 Research,0.080073531,0.077519141,-3.190054693
 Operations,0.163683382,0.15843036,-3.209258063
 Nursing Home Care,0.000662087,0.000640812,-3.213231061
 Portfolio Management,0.004587871,0.004440409,-3.214168876
 Detail Oriented,0.138056737,0.133583285,-3.240299685
 Sterilization,0.0035519,0.003434423,-3.307428837
 Cost Benefit Analysis,0.001269648,0.001226813,-3.373776057
 Nursing Process,0.004533346,0.004380049,-3.381528483
 Document Management,0.001277438,0.001234123,-3.390752253
 Investigation,0.013389728,0.012926586,-3.458935398
 Securities (Finance),0.002975495,0.002872387,-3.465248384
 Research Methodologies,0.001643533,0.001585913,-3.505812325
 Technical Training,0.003699896,0.003569756,-3.517391235
 Project Schedules,0.005156486,0.004972944,-3.559445415
 Child Development,0.003333801,0.003207038,-3.802335859
 Pneumatics,0.001277438,0.001228264,-3.849391774
 Profit And Loss (P&L) Management,0.008801857,0.008449002,-4.008867569
 Quality Assurance,0.021911171,0.021028718,-4.027413022
 Procurement,0.015461669,0.014838767,-4.028687367
 Data Science,0.008054089,0.007726921,-4.062130367
 Reverse Logistics,0.001121653,0.001074783,-4.1785983
 Punctuality,0.008427973,0.008071168,-4.233573752
 Control Systems,0.002959916,0.002831749,-4.330096151
 Typing,0.010570018,0.010106802,-4.382349857
 Operations Management,0.012813323,0.012250559,-4.392017175
 Supply Chain,0.017595925,0.016810388,-4.464308487
 Real Estate,0.008840803,0.008442444,-4.505919
 Systems Engineering,0.005444689,0.005199239,-4.508047631
 Spreadsheets,0.01357667,0.012960569,-4.537936341
 Emotional Intelligence,0.002944338,0.002808218,-4.623121869
 Intensive Care Unit,0.004728077,0.00450203,-4.780956004
 Database Administration,0.002282251,0.002167847,-5.012807257
 Operations Research,0.001846053,0.00175321,-5.029287808
 Packaging And Labeling,0.027854372,0.026396208,-5.234957698
 Electrical Diagnostics And Repairs,0.000926921,0.000878108,-5.26612663
 Electronic Components,0.002017417,0.001910694,-5.290056104
 Information Systems,0.011504728,0.01089571,-5.293629146
 Management,0.246849247,0.233767055,-5.299668512
 Windows Servers,0.002796342,0.002648041,-5.303385879
 Statistical Process Controls,0.001698057,0.001606788,-5.374940474
 User Interface Design,0.001324173,0.001252777,-5.391745921
 TCP/IP,0.002679503,0.002533333,-5.45511034
 Psychiatry,0.004050412,0.003829213,-5.461138456
 Pricing Strategies,0.002601611,0.002456732,-5.568830838
 Database Management Systems,0.001230702,0.00116139,-5.631918386
 Network Protocols,0.001121653,0.001058211,-5.656114124
 Interaction Design,0.001059339,0.000999229,-5.674254628
 Molecular Biology,0.001199545,0.001130632,-5.744970003
 Sales Operations,0.003731053,0.003516212,-5.758171711
 Incident Reporting,0.003559689,0.003354472,-5.765024465
 Physiology,0.001331962,0.001255111,-5.769818917
 Chemistry,0.00637161,0.005999394,-5.841784873
 Transcribing,0.003769999,0.003546107,-5.938785909
 Brand Management,0.002975495,0.002795566,-6.047024124
 Writing,0.029466748,0.027669934,-6.097768475
 Quality Monitoring,0.001386487,0.001300345,-6.212990512
 Mechanics,0.004953966,0.004644196,-6.252950855
 Third-Party Logistics,0.001222913,0.001146413,-6.255556657
 Case Management,0.008170927,0.007650304,-6.371651723
 Engineering Management,0.002975495,0.002785582,-6.382565296
 Cloud Infrastructure,0.002266673,0.002120386,-6.453821388
 Quality Control,0.018468321,0.017269246,-6.492603292
 Wireless Paging Systems,0.00093471,0.000873758,-6.521013687
 Contingency Planning,0.001713636,0.001599922,-6.635840297
 Emergency Medicine,0.001931735,0.001801303,-6.752072553
 Medical Records,0.019823651,0.018448898,-6.934916444
 Safety Standards,0.010889377,0.010126121,-7.009180946
 Ledgers (Accounting),0.002601611,0.002416639,-7.109882097
 Constructive Feedback,0.005304482,0.004920461,-7.239551877
 Electrocardiography,0.003746631,0.003472317,-7.321608694
 Scheduling,0.059572214,0.055108901,-7.492273238
 Data Quality,0.004813759,0.004452008,-7.514940406
 Occupational Safety and Health Administration (OSHA),0.009012167,0.008334809,-7.516037438
 Production Management,0.002352355,0.002175467,-7.519607316
 Accruals,0.002843078,0.002628826,-7.535916779
 Data Collection,0.010476547,0.009683988,-7.565078442
 Root Cause Analysis,0.008552601,0.00789935,-7.638042385
 Relationship Building,0.009362683,0.008641254,-7.705371765
 Advanced Cardiovascular Life Support (ACLS) Certification,0.007282952,0.006715471,-7.791918888
 Security Policies,0.003925784,0.003619618,-7.798852162
 Substance Abuse,0.00187721,0.001730308,-7.825562853
 Biochemistry,0.001402066,0.00129224,-7.833132222
 Presentations,0.079356919,0.073138997,-7.835387637
 Neonatal Intensive Care Unit,0.001269648,0.001169405,-7.89534316
 Product Management,0.01597576,0.014702634,-7.96910716
 Unix,0.005351217,0.004921377,-8.032574373
 Word Processing,0.009175741,0.00843207,-8.104750086
 Target Audience,0.002048574,0.001882513,-8.106143281
 Computer Science,0.046587528,0.042806556,-8.115844676
 Problem Solving,0.135751118,0.124675289,-8.158922847
 Mediation,0.001067128,0.000979829,-8.180725285
 Debugging,0.008482498,0.007782833,-8.248329664
 Critical Thinking,0.02934212,0.026903471,-8.31108545
 Editing,0.009012167,0.008261992,-8.324026456
 Journalism,0.003871259,0.003543822,-8.458155297
 Electrical Engineering,0.006465081,0.005914303,-8.519278428
 Marketing Strategies,0.007142746,0.006529872,-8.580366798
 Cisco Certified Network Associate,0.001479958,0.001352708,-8.598242162
 Content Development,0.002025206,0.001850749,-8.614307506
 Policy Development,0.002134256,0.001950011,-8.632721557
 Purchasing,0.023570282,0.021518426,-8.705268712
 Mental Diseases,0.001511115,0.001379467,-8.711961269
 Process Design,0.002375722,0.002168547,-8.720504136
 Project Implementation,0.005055226,0.004613262,-8.742718074
 Corporate Communications,0.001557851,0.001421044,-8.781746006
 Troubleshooting (Problem Solving),0.058302566,0.053152943,-8.832583406
 Physical Therapy,0.004541135,0.004138465,-8.867166605
 Written Communication,0.097186521,0.088551983,-8.884501788
 Advocacy,0.025354022,0.023094348,-8.912487139
 Clinical Practices,0.003084545,0.002808004,-8.965367624
 Tableau (Business Intelligence Software),0.009962456,0.009063585,-9.022580563
 Project Risk Management,0.002282251,0.002074666,-9.095622319
 Marketing Research,0.001176177,0.001068455,-9.158663088
 Risk Management,0.016536586,0.015021903,-9.15958514
 Pediatrics,0.009806671,0.008903536,-9.209386786
 Patient Rights,0.001441012,0.001307174,-9.287766222
 Certified Pharmacy Technician,0.004938387,0.004479443,-9.293399753
 Project Management,0.030915549,0.02803465,-9.318608988
 Vendor Relationship Management,0.004977333,0.004511943,-9.350191331
 Risk Analysis,0.00908227,0.008229366,-9.390868723
 General Ledger,0.00647287,0.005859552,-9.475210757
 Assertiveness,0.002500351,0.002262476,-9.513627487
 Labor Law,0.005039647,0.004557879,-9.559569615
 Human Resource Management,0.002866445,0.002592127,-9.569980254
 Trauma Care,0.004011466,0.003626348,-9.600434526
 Microsoft Windows,0.003707685,0.00334697,-9.728842062
 English Language,0.017969809,0.016220811,-9.732980707
 Blogs,0.001884999,0.001701287,-9.746043577
 Sociology,0.001596797,0.001440596,-9.782169694
 Persuasive Communication,0.006137932,0.0055337,-9.844235052
 Local Area Networks,0.002360144,0.002126619,-9.894516921
 Resource Allocation,0.002352355,0.002116368,-10.03194329
 Big Data,0.005880887,0.005290007,-10.04746794
 Relational Databases,0.00678444,0.006101034,-10.07314557
 Finished Good,0.003536321,0.003179721,-10.08392508
 Strategic Sourcing,0.001861632,0.001673343,-10.11414979
 Preventive Maintenance,0.006776651,0.006089357,-10.14208904
 Emergency Departments,0.004517767,0.00405471,-10.24969244
 Laboratory Testing,0.005000701,0.004487958,-10.2534223
 Financial Market,0.001659111,0.001487746,-10.32872442
 Supplier Performance Management,0.001308595,0.0011724,-10.40772489
 Business Case,0.004626817,0.004144731,-10.41938009
 Advertising Mail,0.001923946,0.001723144,-10.43698207
 Loans,0.01044539,0.009346469,-10.52062919
 Corrective And Preventive Action (CAPA),0.018258011,0.016335327,-10.53063252
 Leadership,0.171480426,0.153401338,-10.54294563
 System Requirements,0.00135533,0.001211773,-10.59200925
 Consumer Behaviour,0.001137231,0.001014265,-10.8127353
 Drywall (Installation And Repair),0.002134256,0.001903291,-10.82177389
 Microsoft Access,0.010624542,0.009472391,-10.84424819
 Microsoft SharePoint,0.007797043,0.006948306,-10.88537264
 Adobe InDesign,0.003092334,0.002755399,-10.8958182
 Technical Communication,0.00125407,0.001115473,-11.05177757
 Business Process,0.020898568,0.018574428,-11.12105138
 Critical Care,0.004143883,0.003681062,-11.16876611
 Templates,0.005904254,0.005243513,-11.19094188
 Radiology,0.005857519,0.005199162,-11.23952217
 Productivity Software,0.00135533,0.001202471,-11.2783831
 Construction,0.013638984,0.012098912,-11.2916882
 Quality Management,0.009277001,0.008226541,-11.32327205
 Communication Strategies,0.001729214,0.001529393,-11.55564198
 Wide Area Networks,0.002523718,0.002231977,-11.55998467
 Orthopedics,0.002702871,0.00238955,-11.59215131
 Innovation,0.055996947,0.049435824,-11.71692896
 Cultural Sensitivity,0.001378698,0.001215095,-11.86648294
 Teamwork,0.053161658,0.046851849,-11.86909741
 Analytical Techniques,0.001550062,0.00136555,-11.90347627
 Business Intelligence,0.009362683,0.008244812,-11.93964583
 Painting,0.00647287,0.005693382,-12.0423919
 Social Media,0.009222477,0.008108021,-12.08412323
 Preschool Education,0.002180991,0.001915856,-12.15661646
 Collections,0.017159726,0.015057265,-12.25230263
 Risk Mitigation,0.00501628,0.004391373,-12.45756278
 Financial Management,0.006535184,0.00571061,-12.61746157
 Governance,0.014168653,0.012372485,-12.67705246
 Information Gathering,0.006496238,0.005672205,-12.68476224
 Service Quality,0.009549625,0.008325642,-12.81708254
 Clinical Trials,0.004050412,0.003529808,-12.8531215
 Life Sciences,0.002757396,0.002401523,-12.90612051
 Material Requirements Planning,0.002142045,0.00186378,-12.99061834
 Wound Care,0.002212148,0.001924722,-12.99306747
 Project Management Institute (PMI) Methodology,0.001511115,0.001313271,-13.09262226
 Patient Transport,0.001978471,0.001717906,-13.16998902
 Architectural Drawing,0.001448801,0.001257859,-13.17930995
 Algorithms,0.004354193,0.003779929,-13.18875996
 Performance Metric,0.006901279,0.005988816,-13.22164676
 Information Technology,0.022900407,0.019832659,-13.3960417
 Punctuation And Capitalization,0.001705847,0.001476972,-13.41709525
 Good Laboratory Practice (GLP),0.001121653,0.000970836,-13.44591237
 Team Performance Management,0.003450639,0.002985949,-13.46680572
 Systems Architecture,0.002414669,0.002087676,-13.54192553
 Network Troubleshooting,0.001783739,0.001541079,-13.6039883
 Cooperation,0.009798881,0.008456807,-13.69619941
 Schematic Diagrams,0.000958078,0.000826659,-13.7170113
 Content Creation,0.004237354,0.003655866,-13.72291421
 Regulatory Requirements,0.003162437,0.002726811,-13.77502758
 Patient Education And Counseling,0.00730632,0.006290979,-13.89675223
 Recipes,0.001604586,0.001379642,-14.01880659
 Autodesk Revit,0.002219937,0.001907765,-14.0622262
 Patient Assistance,0.008054089,0.00691936,-14.08885702
 Roofing,0.002702871,0.002319796,-14.17288291
 Business Planning,0.007430948,0.00637497,-14.21054104
 Checklists,0.001970681,0.001690019,-14.24190539
 Autism Spectrum Disorders,0.002165413,0.001856736,-14.25486179
 Network Security,0.002866445,0.002456185,-14.31252572
 Influencing Skills,0.040893583,0.035034981,-14.32645938
 Architectural Design,0.003575268,0.003058236,-14.46132987
 Financial Planning,0.005709523,0.004883606,-14.4656025
 Calibration,0.002438036,0.00208369,-14.53407278
 Microbiology,0.001814896,0.001549904,-14.60097393
 Focus Group,0.001137231,0.000970244,-14.68364883
 Advising,0.008614915,0.007348735,-14.69753597
 Ventilation,0.00135533,0.001156005,-14.70676502
 Capital Budgeting,0.001129442,0.000963265,-14.71316158
 Web Services,0.006558552,0.005589516,-14.77515432
 Bill Of Materials,0.002617189,0.002229914,-14.79738595
 Business Analytics,0.00229783,0.001957462,-14.81258869
 Brochures,0.001542272,0.001310757,-15.01131351
 Geriatrics,0.004323036,0.0036725,-15.04813454
 Business Strategies,0.013537723,0.011497621,-15.06975984
 AutoCAD,0.005164275,0.004382982,-15.12881526
 Software Development Life Cycle,0.007578944,0.006430679,-15.15072954
 Medical Ultrasonography,0.004143883,0.003512914,-15.22650796
 Data Migration,0.001713636,0.001452534,-15.23673893
 Organizational Effectiveness,0.001503326,0.00127336,-15.29715705
 Design Elements And Principles,0.00167469,0.001418141,-15.31914829
 Product Lifecycle,0.003022231,0.002558764,-15.33524514
