,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Cleanliness,0.2129513261416614,0.31522512219085547,0.10227379604919407,48.026841580295475,High,36533.524088390455,35-3000,41-2000,11-9000,37-2000,35-9000,Unclassified Industry,Food Services and Drinking Places,Food and Beverage Stores,Accommodation,Administrative and Support Services,1669.1527777777778,0.24389937675805032,26.0,0.08862516271540614
Coaching,0.1026220497849054,0.12304205805154401,0.020420008266638617,19.898265830236983,High,70655.96701646132,11-9000,41-1000,11-3000,15-1200,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Administrative and Support Services,Educational Services,781.2916666666666,0.07580773870775849,32.0,0.11642808917984877
Communications,0.3797003026809089,0.3921400886467322,0.012439785965823347,3.2762117591139894,Medium,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,3098.708333333333,0.05408408334234776,31.0,0.07833279715300581
Computer Literacy,0.0650085430966468,0.06152936687815361,-0.0034791762184931962,-5.351875388625122,Medium,48057.5076519774,11-9000,43-4000,29-1000,29-2000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,563.8888888888889,0.009353122101214112,18.0,0.18112156298839488
Cooking,0.1266846345223106,0.1217205516893136,-0.004964082832996999,-3.918456923931661,Low,36215.2114176526,35-2000,35-1000,35-3000,35-9000,31-1100,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Accommodation,1158.0972222222222,0.008221005361063006,32.0,0.10266855181205511
Coordinating,0.0682446990577091,0.07648880795493457,0.008244108897225474,12.080218699849626,High,70309.27493652521,11-9000,13-1000,29-1000,15-1200,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,506.65277777777777,0.057740068622114976,31.0,0.07207618064335812
Cost Control,0.0522191369280165,0.06946312454841487,0.017243987620398367,33.02235279025965,Low,73117.91155576604,11-9000,13-1000,11-3000,35-1000,41-1000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Accommodation,265.69444444444446,0.006272029409757162,10.0,0.06698433257674392
Customer Complaint Resolution,0.0762406601327665,0.147810214944899,0.0715695548121325,93.87320976431779,High,39838.05279381544,43-4000,41-2000,11-9000,35-3000,41-1000,Unclassified Industry,Accommodation,Food Services and Drinking Places,Administrative and Support Services,Health and Personal Care Stores,497.52777777777777,0.1885162524036004,24.0,0.29914409116815044
Customer Service,0.432430079973134,0.40577192635147596,-0.02665815362165802,-6.164731561531112,Medium,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,3520.930555555556,0.045729553526361065,31.0,0.09690495703768745
Decision Making,0.0427576699177062,0.03699171972997967,-0.005765950187726528,-13.48518335733448,High,72143.83615499122,11-9000,15-1200,29-1000,13-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities,376.2361111111111,0.009789040961707149,34.0,0.15017817868952432
Detail Oriented,0.0970351891328365,0.09425004560197635,-0.0027851435308601513,-2.870240740240557,Medium,50619.4088918623,13-1000,15-1200,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Educational Services,831.7222222222222,0.010115087704286409,27.0,0.09108180240201959
Energetic,0.0423099834299248,0.08686263485722188,0.044552651427297085,105.3005645844477,High,50977.56174108655,41-4000,11-9000,41-2000,13-1000,35-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Administrative and Support Services,Ambulatory Health Care Services,366.69444444444446,0.055487182899096134,27.0,0.11584361100748389
English Language,0.054264128129469,0.05016601720737659,-0.004098110922092411,-7.552154735287946,Medium,44822.64599550315,53-7000,43-4000,99-9000,11-9000,25-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Health and Personal Care Stores,472.6111111111111,0.007351810212353475,33.0,0.09964476030996638
Enthusiasm,0.0320125843338555,0.031440444336217704,-0.000572139997637798,-1.7872346439481952,Low,48244.47571671685,35-3000,41-2000,11-9000,99-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Educational Services,Administrative and Support Services,295.125,0.002909178166548147,32.0,0.1342980200636492
Food Handler's Card,0.0337824905869303,0.08748069858122876,0.053698207994298454,158.9527801572839,High,34032.21653905053,35-3000,35-2000,35-9000,35-1000,41-2000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,"Professional, Scientific, and Technical Services",Administrative and Support Services,207.79166666666663,0.06623808685819212,32.0,0.09506577119120284
Food Preparation,0.1008413355858719,0.10608201668835943,0.005240681102487529,5.19695725174604,Medium,34975.40094043887,35-2000,35-3000,35-1000,35-9000,11-9000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,Administrative and Support Services,Nursing and Residential Care Facilities,772.625,0.019305791273270027,34.0,0.0800948598143068
Food Quality Assurance And Control,0.0541063438763779,0.06956884205761005,0.015462498181232145,28.5779763950801,High,39711.50537729197,11-9000,35-1000,35-3000,35-2000,41-1000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,Administrative and Support Services,Food Manufacturing,448.47222222222223,0.06251586905043718,32.0,0.0933051107914784
Food Safety And Sanitation,0.2367961696474709,0.2743829191758067,0.037586749528335794,15.87303949396347,High,38043.069797231,35-3000,35-2000,11-9000,35-1000,53-7000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,Administrative and Support Services,Food Manufacturing,1773.861111111111,0.13078090648734275,33.0,0.05836855194257655
Food Services,0.1329021682026197,0.1181519624575274,-0.01475020574509231,-11.09854409794464,Medium,39800.043112909865,35-3000,35-2000,11-9000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Nursing and Residential Care Facilities,1204.4722222222222,0.025798605218932177,32.0,0.10643459630966323
Forecasting,0.0322339602535345,0.026064477261034075,-0.0061694829925004226,-19.139699075058363,High,95194.24517173818,13-2000,11-3000,11-2000,13-1000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Insurance Carriers and Related Activities,275.875,0.009007425290352368,32.0,0.08024530236363862
Front Office,0.0332887202393862,0.0339506137882236,0.0006618935488374028,1.9883418289366093,High,44601.60510291073,43-4000,43-6000,31-9000,43-1000,29-2000,Unclassified Industry,Accommodation,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",247.29166666666663,0.01332629463273463,31.0,0.1052920644392045
General Mathematics,0.0382386618880652,0.0358362867779237,-0.0024023751101414983,-6.282581532726991,High,37208.949152980735,53-7000,41-2000,51-9000,35-3000,43-4000,Unclassified Industry,General Merchandise Stores,Administrative and Support Services,Food Services and Drinking Places,Food and Beverage Stores,335.75,0.01375395530420385,30.0,0.12157073541845734
Greeting Customers,0.0289361077799116,0.028633572976850985,-0.00030253480306061467,-1.0455269428829137,Medium,32829.25532315809,35-3000,41-2000,43-4000,35-9000,41-1000,Unclassified Industry,Food Services and Drinking Places,Food and Beverage Stores,Building Material and Garden Equipment and Supplies Dealers,Administrative and Support Services,234.90277777777777,0.005952901712614859,34.0,0.053142907710638856
Grilling,0.0381560629306929,0.056517402136205416,0.018361339205512514,48.12168183825531,High,33620.000781555296,35-2000,35-3000,11-9000,37-2000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Accommodation,Food and Beverage Stores,423.7083333333333,0.03022019873825383,28.0,0.07726031050639809
Hazard Analysis And Critical Control Points (HACCP),0.0246682563029245,0.02292292446125937,-0.0017453318416651327,-7.075213668256795,Medium,44132.042969363705,35-3000,51-9000,53-7000,11-9000,11-3000,Food Services and Drinking Places,Food Manufacturing,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Unclassified Industry,213.25,0.004644349281737617,30.0,0.09436346132050032
Honesty,0.032318104593775,0.0822054622317881,0.049887357638013094,154.3635007840844,High,49367.584266652375,41-2000,11-9000,41-4000,15-1200,99-9000,Unclassified Industry,Food Services and Drinking Places,"Professional, Scientific, and Technical Services",General Merchandise Stores,Administrative and Support Services,233.45833333333331,0.10993639878315489,30.0,0.24676984709441174
Housekeeping,0.0412542959486507,0.038504018230114116,-0.0027502777185365868,-6.666645631184356,Medium,36838.84312385736,37-2000,31-1100,53-7000,41-2000,51-9000,Unclassified Industry,Accommodation,Administrative and Support Services,Nursing and Residential Care Facilities,Ambulatory Health Care Services,376.15277777777777,0.007093646362947176,31.0,0.0757419727618805
Influencing Skills,0.0316079859629587,0.0764392293206521,0.0448312433576934,141.83517864830426,High,102137.12490386632,15-1200,11-2000,13-1000,11-9000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Administrative and Support Services,Insurance Carriers and Related Activities,284.68055555555554,0.0721107856506351,22.0,0.10975843316185285
Interpersonal Communications,0.0727431411235351,0.07023427791585085,-0.002508863207684245,-3.4489343860249315,High,62524.03998373543,15-1200,11-9000,13-1000,29-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,622.875,0.028067249382229927,32.0,0.11836722001416027
Inventory Management,0.0529248871887641,0.04831502894015454,-0.004609858248609558,-8.71019003246591,High,47277.21926029309,41-1000,29-2000,11-9000,41-2000,99-9000,Unclassified Industry,Health and Personal Care Stores,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods",400.1666666666667,0.02034273790917109,31.0,0.12241082676563203
Leadership,0.2504973291666341,0.24808635136380133,-0.0024109778028327533,-0.9624764506885977,High,80406.06884916697,11-9000,15-1200,11-3000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,1940.6527777777776,0.08437765230989187,32.0,0.08126662434629325
Lifting Ability,0.0980241550372903,0.11025655354735557,0.012232398510065273,12.478963481411117,High,39439.769756469184,53-7000,41-2000,29-1000,51-9000,53-3000,Unclassified Industry,Administrative and Support Services,Hospitals,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,796.0277777777778,0.04181916966020999,30.0,0.059797949856217135
Management,0.3682393408539976,0.348393346260301,-0.019845994593696625,-5.3894281223920935,Medium,66583.6776337706,11-9000,15-1200,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Insurance Carriers and Related Activities,2865.402777777778,0.04604446562217145,34.0,0.10649918526136078
Marketing,0.0998845617794531,0.10429605810222348,0.004411496322770381,4.416594761171445,High,69404.5013375339,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,789.5138888888889,0.07896505958250792,32.0,0.1078459081598293
Mathematics,0.0482598186684244,0.039800687782900315,-0.008459130885524087,-17.528310546800203,High,61955.5982233136,15-1200,99-9000,15-2000,53-7000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Health and Personal Care Stores,336.5,0.013233287276608949,18.0,0.4044715523745512
Mentorship,0.0283991008080059,0.0367351165647968,0.0083360157567909,29.353097526386897,High,92566.91950185626,15-1200,11-9000,11-3000,13-1000,29-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Credit Intermediation and Related Activities,232.05555555555557,0.03251756035882202,31.0,0.13423468609673958
Merchandising,0.0595028827226113,0.05215557500292991,-0.007347307719681388,-12.347818094684321,High,36972.03547054035,41-2000,41-1000,53-7000,27-1000,99-9000,General Merchandise Stores,Clothing and Clothing Accessories Stores,Unclassified Industry,Food and Beverage Stores,Health and Personal Care Stores,363.4861111111111,0.01985036652255103,18.0,0.045336231058767586
Microsoft Excel,0.0460615291684471,0.06272287607123768,0.01666134690279058,36.17193611149991,High,60766.79926117726,13-1000,13-2000,99-9000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,422.80555555555554,0.06088504248687531,32.0,0.11469880210034245
Microsoft Office,0.0579571275901213,0.055397597977738064,-0.0025595296123832392,-4.416246489102242,High,57868.82887157581,13-1000,11-9000,99-9000,15-1200,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,455.6111111111111,0.014627776534296241,33.0,0.06819297498119309
Microsoft Outlook,0.0381993097430356,0.044976933937141174,0.006777624194105575,17.74279231666288,High,57265.25318068087,13-1000,11-9000,43-6000,43-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,314.1111111111111,0.0197368305415516,34.0,0.10425104173974407
Microsoft Word,0.020483552216877,0.012766675641384197,-0.007716876575492804,-37.673527002482714,High,54055.8065807542,13-1000,11-9000,99-9000,43-6000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,229.05555555555557,0.006921709154178067,21.0,0.1655689398540994
Multitasking,0.1124613930787649,0.11467617335665638,0.0022147802778914732,1.969369414035536,Medium,49152.27412191286,43-4000,13-1000,15-1200,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Food Services and Drinking Places,851.0,0.02214899118661107,30.0,0.07658642631695431
Operations,0.2849017640601821,0.22155368614265764,-0.06334807791752445,-22.235059907927745,Medium,65456.50548486178,11-9000,15-1200,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,2075.3611111111118,0.026151548624786435,12.0,0.07127834543083401
Organizational Skills,0.0682081353024848,0.07255599871892399,0.004347863416439182,6.374405922633089,High,56406.90806947852,13-1000,11-9000,99-9000,15-1200,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,475.9583333333333,0.025178279985906972,27.0,0.07461923004474302
Packaging And Labeling,0.0295334619697895,0.03897923374283631,0.00944577177304681,31.983286560543156,High,40629.8987504738,53-7000,51-9000,99-9000,29-2000,43-5000,Administrative and Support Services,Unclassified Industry,Nonstore Retailers,"Professional, Scientific, and Technical Services",Food Manufacturing,200.18055555555557,0.015412908408689707,30.0,0.0559297721575491
Planning,0.0896564627154166,0.11914893270965424,0.029492469994237644,32.89497388253124,High,76803.817002056,15-1200,11-9000,13-1000,29-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,673.4722222222222,0.09825971080357986,32.0,0.07472277892573394
Positivity,0.0551048227493897,0.054687218628470334,-0.00041760412091936677,-0.7578358845623758,High,48651.75663346447,43-4000,35-3000,99-9000,41-2000,11-9000,Unclassified Industry,Administrative and Support Services,Food Services and Drinking Places,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,454.75,0.025256536273506314,32.0,0.07407141860104903
Presentations,0.029301096236586,0.019882972004559935,-0.009418124232026065,-32.14256612101217,High,83462.65391381466,13-1000,15-1200,41-4000,11-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,256.02777777777777,0.013871735436260406,20.0,0.04313828752324348
Prioritization,0.0321308635742967,0.02938487714885451,-0.0027459864254421942,-8.546257772040912,Medium,62539.27823621244,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Credit Intermediation and Related Activities,266.43055555555554,0.0029968158044203774,29.0,0.11471963517279612
Proactivity,0.0285484894396086,0.06167017412358066,0.03312168468397206,116.01904455938934,High,54280.47141580113,11-9000,13-1000,15-1200,99-9000,41-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Administrative and Support Services,Educational Services,341.06944444444446,0.04101534124190212,26.0,0.11365356455021221
Problem Solving,0.105012693047477,0.10699351166257982,0.001980818615102825,1.8862658956925165,High,67790.77347976794,15-1200,13-1000,11-9000,99-9000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,784.0555555555555,0.049981887367247804,34.0,0.09928028831667961
Professionalism,0.0596792208528052,0.05288125760870072,-0.006797963244104477,-11.390837794064366,Medium,47962.70063508776,43-4000,11-9000,41-2000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,522.3333333333334,0.011810341853904772,34.0,0.05360523589109182
Profit And Loss (P&L) Management,0.0440978918400065,0.056695508366130874,0.012597616526124372,28.56738950657854,High,82890.08757349616,11-9000,13-2000,41-1000,11-3000,11-2000,Unclassified Industry,Administrative and Support Services,Food Services and Drinking Places,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,335.1111111111111,0.028864185379853604,22.0,0.054999963425942454
Punctuality,0.0146500425762105,0.05286086028232159,0.038210817706111094,260.8239362263684,High,40060.38615888616,35-3000,41-2000,35-1000,43-4000,53-7000,Food Services and Drinking Places,Unclassified Industry,General Merchandise Stores,"Professional, Scientific, and Technical Services",Administrative and Support Services,248.95833333333331,0.04695617558941862,15.0,0.2024128134467634
Purchasing,0.0470363995514558,0.051891473580121264,0.004855074028665467,10.321950818863643,High,62455.5162897538,13-1000,11-9000,11-3000,99-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",312.65277777777777,0.029073417859362575,17.0,0.20948429891514367
Quick Learning,0.0059761111425159,0.018698056690831497,0.012721945548315596,212.88000247866452,High,55049.80907429964,15-1200,13-1000,99-9000,35-3000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Administrative and Support Services,Educational Services,206.13888888888889,0.016617825241690004,13.0,0.22576069303258053
Recipes,0.025482498738636,0.02415180021260474,-0.0013306985260312584,-5.222009582654008,Medium,36245.99423007573,35-3000,35-2000,35-1000,11-9000,51-3000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Accommodation,Food and Beverage Stores,232.875,0.00436312018931812,32.0,0.09738717974338083
Record Keeping,0.0260679314402819,0.025410909989428018,-0.0006570214508538827,-2.5204203577066706,Low,47359.02466589317,11-9000,43-4000,29-2000,41-1000,13-1000,Unclassified Industry,Administrative and Support Services,Educational Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,212.68055555555557,0.0018873080090563382,18.0,0.13147858803311727
Reservations,0.0617294505230437,0.08533226809193757,0.023602817568893875,38.235910685909815,High,37534.41619239948,43-4000,35-9000,43-6000,11-9000,13-1000,Unclassified Industry,Accommodation,Food Services and Drinking Places,Administrative and Support Services,Educational Services,482.9583333333333,0.11909930190312717,19.0,0.2680801071600338
Restaurant Management,0.0952404852763366,0.0826966080170177,-0.012543877259318909,-13.17074059726106,Medium,50642.78374233129,11-9000,35-1000,41-1000,35-3000,11-1000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,755.5138888888889,0.012664952755278257,30.0,0.09103288583070447
Restaurant Operation,0.3849431181984027,0.38443900896938393,-0.0005041092290187787,-0.13095681028877543,Medium,38274.4574631562,35-3000,11-9000,35-9000,35-1000,35-2000,Food Services and Drinking Places,Unclassified Industry,Accommodation,Administrative and Support Services,Food and Beverage Stores,3299.805555555556,0.061527640524126535,22.0,0.07303496016682473
Retail Operations,0.0250038765895193,0.06584550672223126,0.040841630132711956,163.34119226068833,High,42255.34912641315,41-1000,41-2000,35-1000,11-9000,99-9000,Clothing and Clothing Accessories Stores,Food Services and Drinking Places,Unclassified Industry,General Merchandise Stores,Health and Personal Care Stores,265.59722222222223,0.0437520004182535,34.0,0.14416387045826531
Safety Standards,0.0205628553236195,0.020988020788541905,0.0004251654649224043,2.0676382643904443,Low,48372.06651304727,35-3000,53-7000,11-9000,49-9000,53-3000,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Food Services and Drinking Places,"Professional, Scientific, and Technical Services",244.66666666666663,3.469446951953614e-18,5.0,0.027550402440540456
Sales,0.2483281618107738,0.2228821866050241,-0.025445975205749705,-10.246914816346747,High,60481.7031390428,41-4000,41-2000,11-2000,41-1000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,General Merchandise Stores,Credit Intermediation and Related Activities,1835.5277777777776,0.08602424788096083,26.0,0.09769269378918033
Sanitation,0.2241033468776599,0.20756414336315104,-0.016539203514508855,-7.380168009511147,Medium,37612.63548997439,35-3000,35-2000,35-9000,11-9000,35-1000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Nursing and Residential Care Facilities,1915.0,0.022501908119686036,27.0,0.10034015514813457
Scheduling,0.106585341355592,0.10878527402675839,0.002199932671166388,2.064010532017655,High,53986.92778116934,11-9000,43-6000,13-1000,41-1000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,833.1111111111111,0.06820952047112548,28.0,0.11308511394782751
Self-Motivation,0.0431671682985516,0.038089011555265416,-0.005078156743286183,-11.76393296906754,Medium,61371.12937462515,15-1200,41-4000,13-1000,99-9000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,374.4583333333333,0.008100554067202849,27.0,0.10436834451779584
Selling Techniques,0.0492564995703495,0.05610352252068032,0.006847022950330822,13.900750175216398,High,58923.26514537692,41-2000,41-4000,11-2000,41-1000,41-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Food and Beverage Stores,Clothing and Clothing Accessories Stores,General Merchandise Stores,313.34722222222223,0.02458250462443813,27.0,0.0983089687752646
ServSafe Certification,0.0687543318460979,0.09470166977484598,0.02594733792874808,37.73920454471074,Medium,43241.05445449298,11-9000,35-1000,35-3000,35-2000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Nursing and Residential Care Facilities,Accommodation,484.375,0.014770405158306828,18.0,0.05834565617973521
Strong Work Ethic,0.029274816563822,0.02768690703027514,-0.0015879095335468614,-5.424148534236111,Medium,51987.8515907104,41-4000,99-9000,13-1000,53-7000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Food and Beverage Stores,247.48611111111111,0.006617845862808069,32.0,0.06695039012796845
Supervision,0.0574922643844989,0.20455870919695324,0.14706644481245434,255.802143796073,High,69383.77660476383,11-9000,41-1000,11-3000,11-1000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",General Merchandise Stores,Educational Services,392.68055555555554,0.17897319768742365,18.0,0.10656455515465466
Teamwork,0.0853644108726428,0.08133930604157508,-0.00402510483106773,-4.715202494717476,Medium,53601.589905230496,15-1200,11-9000,13-1000,99-9000,35-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Food and Beverage Stores,658.7638888888889,0.00987292760501115,32.0,0.05872011974111827
Time Management,0.0635650546294897,0.057126981719129194,-0.006438072910360512,-10.128321210273452,Medium,56706.89005925603,13-1000,15-1200,41-4000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Ambulatory Health Care Services,507.69444444444446,0.011607262064768066,32.0,0.11544919343424208
