,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Employee Training,0.0111168617295203,0.010390429435812308,-0.0007264322937079928,-6.534508671444443,Medium,60777.40217191577,11-9000,13-1000,11-3000,41-1000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,265.65277777777777,0.0011932385503208237,10.0,0.12258396114278826
First Aid,0.1107880330212892,0.1364872752181853,0.025699242196896094,23.196767282579778,High,45788.7056366244,29-1000,29-2000,31-1100,39-9000,25-2000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities,2342.847222222222,0.059476634540483415,18.0,0.08831403380168902
Food and Beverage,0.0335189616319882,0.061506447403662345,0.027987485771674148,83.49747250214581,High,36334.39397896203,35-3000,35-2000,11-9000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,1401.8055555555557,0.04391886665525713,24.0,0.33705178788575635
Gastroenterology,0.0130241638620321,0.017485474055130828,0.0044613101930987276,34.25410061143572,High,89753.15881326352,29-1000,31-1100,29-2000,11-9000,31-9000,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Educational Services,291.1111111111111,0.012146051480959834,27.0,0.05106763751219523
General Medical Tests and Procedures,0.2183854299179771,0.24590589807340854,0.027520468155431438,12.601787658530053,Medium,63992.90590753698,29-2000,29-1000,31-9000,31-1100,11-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities,4523.263888888889,0.0576786903785228,28.0,0.06992110285636485
General Medicine,0.2336421384546148,0.3276168667662992,0.09397472831168441,40.22165219564582,High,74382.88455685867,29-1000,29-2000,21-1000,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,"Professional, Scientific, and Technical Services",5152.819444444444,0.3205797865444667,25.0,0.21749055074629692
General Sales Practices,0.0193562000152945,0.016791718392907568,-0.0025644816223869306,-13.248889866609042,High,61473.41955742815,41-4000,41-2000,11-2000,13-1000,41-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,525.625,0.009296830850900259,27.0,0.03813714418473379
General Science and Research,0.0492683248661744,0.04499561096048943,-0.004272713905684969,-8.672334440618332,High,70015.0795566825,15-1200,13-1000,11-9000,99-9000,15-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Insurance Carriers and Related Activities,828.8194444444445,0.034210871416110365,23.0,0.0625602461370079
General Shipping and Receiving,0.0233231754479324,0.030092508186052917,0.0067693327381205155,29.02406129573843,High,39588.28751661334,53-7000,43-5000,51-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",506.4583333333333,0.021658087688882895,25.0,0.07623229955736079
Geriatrics,0.0427836680729465,0.09821108674243151,0.05542741866948501,129.55275030411326,High,69795.56442670216,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,882.8194444444445,0.03769036194093013,25.0,0.14603837437168365
Health Care Administration,0.1193874330236634,0.17925273461908364,0.05986530159542024,50.143721226969106,High,62410.23197731273,29-1000,29-2000,11-9000,31-9000,43-6000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Insurance Carriers and Related Activities,"Professional, Scientific, and Technical Services",2667.555555555556,0.05878810489677734,11.0,0.11276979747865883
Health Care Procedure and Regulation,0.2606609787325821,0.2942080855756917,0.03354710684310963,12.870014916013323,Medium,76117.84282337147,29-1000,29-2000,11-9000,31-1100,13-1000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Insurance Carriers and Related Activities,Nursing and Residential Care Facilities,5749.652777777777,0.05770740073012961,22.0,0.06332725477408174
Health Information Management and Medical Records,0.1919001862368713,0.20040001993772721,0.008499833700855913,4.429299349592175,High,60046.01406616642,29-1000,29-2000,31-9000,11-9000,43-6000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,"Professional, Scientific, and Technical Services",Nursing and Residential Care Facilities,3937.930555555556,0.06563172554259294,28.0,0.10263801138809381
Hematology,0.0506453569244273,0.04597889199675759,-0.004666464927669714,-9.214003436944841,High,65763.9770427055,29-1000,29-2000,31-1100,31-9000,11-9000,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Educational Services,1029.4027777777778,0.029400957532101746,26.0,0.13219650472530606
Home Health Care and Assisted Living,0.2213261326467891,0.20922519064800624,-0.012100941998782866,-5.467470946187167,High,38848.17733330085,31-1100,29-1000,29-2000,11-9000,21-1000,Ambulatory Health Care Services,Unclassified Industry,Nursing and Residential Care Facilities,Hospitals,Administrative and Support Services,5998.513888888889,0.0719867005745246,28.0,0.13928992736255422
Infectious Diseases,0.0757298220304394,0.08669672003209464,0.010966898001655234,14.481610688649338,Medium,58536.62762571611,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Hospitals,Nursing and Residential Care Facilities,Ambulatory Health Care Services,Administrative and Support Services,1533.611111111111,0.0205104666286366,29.0,0.10056750202930026
Initiative and Leadership,0.2903243619332512,0.5292158738568546,0.23889151192360347,82.28434924745561,High,63962.55268980127,11-9000,15-1200,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,6424.291666666667,0.302316259302762,22.0,0.09492571010143765
Injury Treatment,0.0175553605203199,0.015366930370963925,-0.0021884301493559754,-12.465879848055076,Medium,86895.07675628795,29-1000,29-2000,11-9000,31-9000,31-1100,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Administrative and Support Services,355.72222222222223,0.003730802001849523,13.0,0.048229940994426665
Instructional and Curriculum Design,0.008282024782287,0.023796450395293694,0.015514425613006694,187.326481396045,High,60045.056243872,25-2000,11-9000,25-9000,25-1000,13-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,278.7361111111111,0.024922908110431765,22.0,0.15096945173549497
Inventory and Warehousing,0.0424038432172238,0.04713298292740004,0.0047291397101762445,11.152620497038674,High,37360.49104693061,53-7000,43-5000,41-2000,99-9000,41-1000,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services",970.9305555555557,0.020950728050894884,26.0,0.07315980177541641
Laboratory Research,0.0416422590747551,0.11747552923243576,0.07583327015768065,182.10652313926278,High,56178.43268653731,29-2000,31-9000,19-1000,11-9000,15-2000,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Hospitals,"Professional, Scientific, and Technical Services",899.0694444444445,0.08687853857626106,10.0,0.17376469940991696
Language Competency,0.0739530938904364,0.06990440084686647,-0.004048693043569931,-5.474677029156054,High,45771.45767990084,43-4000,11-9000,13-1000,29-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,1947.3194444444443,0.036750568388248805,25.0,0.08384530158584953
Marketing Strategy and Techniques,0.0161391393944651,0.029555948096028743,0.013416808701563643,83.13211983387988,High,66644.41432409918,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,377.59722222222223,0.029785442659738766,22.0,0.08227229267390201
Material Handling,0.0100969794028966,0.009113866075395077,-0.0009831133275015232,-9.736707269299664,High,39647.268123072885,53-7000,53-3000,41-2000,99-9000,51-9000,Unclassified Industry,Administrative and Support Services,Truck Transportation,General Merchandise Stores,"Merchant Wholesalers, Nondurable Goods",286.9583333333333,0.0033080839545275337,15.0,0.06679837516202237
Mathematics and Mathematical Modeling,0.0082583464254103,0.0074471352934725515,-0.000811211131937749,-9.822924471195762,High,45474.011771072925,53-7000,41-2000,51-9000,43-4000,11-9000,Unclassified Industry,Administrative and Support Services,General Merchandise Stores,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,234.98611111111111,0.0038369154797732877,25.0,0.04723619064947036
Medical Equipment and Technology,0.0730265041086082,0.0671712442599754,-0.0058552598486328045,-8.017992809740155,High,70612.64661988096,29-1000,29-2000,11-9000,31-1100,15-1200,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Miscellaneous Manufacturing,"Professional, Scientific, and Technical Services",1694.4027777777778,0.01763139513765092,27.0,0.08727289400474311
Medical Imaging,0.0661798906072733,0.12059894803190693,0.05441905742463363,82.228992712558,High,96709.09663913742,29-2000,29-1000,31-9000,31-2000,11-9000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",1131.0972222222222,0.11439486161274261,22.0,0.061360516021689245
Medical Science and Research,0.0294319159197304,0.03263612882640808,0.0032042129066776823,10.886864842290679,High,67789.62851681208,29-2000,11-9000,29-1000,15-2000,19-1000,Unclassified Industry,Educational Services,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",605.0972222222222,0.011752402802189579,29.0,0.10105161032451333
Medical Support,0.1298249614825509,0.12164591645850835,-0.008179045024042556,-6.3000558064035,Medium,50802.76664534226,31-9000,29-2000,31-1100,29-1000,31-2000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,Educational Services,2992.2916666666665,0.02021213743758265,29.0,0.09836794911659992
Mental Health Diseases and Disorders,0.0245979062661359,0.018894577732274858,-0.005703328533861043,-23.186235739555006,High,51216.801590606265,21-1000,31-1100,29-1000,29-2000,11-9000,Unclassified Industry,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities,Hospitals,599.9027777777778,0.0052447325431184445,28.0,0.04672423157201202
Mental Health Therapies,0.0165512515412003,0.016819792784891336,0.0002685412436910367,1.6224830069349672,Medium,60670.54396465726,21-1000,29-1000,11-9000,19-3000,29-2000,Unclassified Industry,Ambulatory Health Care Services,Social Assistance,Hospitals,Educational Services,374.9166666666667,0.0029227891316937473,13.0,0.12193296887826767
Mental and Behavioral Health Specialties,0.0611752515419345,0.0992765881525887,0.03810133661065421,62.282272079480464,High,66650.22199219819,29-1000,21-1000,11-9000,19-3000,29-2000,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Administrative and Support Services,1370.4305555555557,0.07286235872307037,28.0,0.14091705559819775
Merchandising,0.0111842372231552,0.0248372459889356,0.0136530087657804,122.07366933807518,High,35032.665214271066,41-2000,41-1000,53-7000,27-1000,99-9000,General Merchandise Stores,Unclassified Industry,Clothing and Clothing Accessories Stores,Food and Beverage Stores,Building Material and Garden Equipment and Supplies Dealers,247.5,0.02549857741602469,22.0,0.06864173171242319
Nephrology,0.0210324007902642,0.024108531979258305,0.0030761311889941044,14.625677875147906,High,81409.70039347948,29-1000,31-1100,29-2000,11-9000,21-1000,Ambulatory Health Care Services,Unclassified Industry,Administrative and Support Services,Hospitals,Educational Services,453.7916666666667,0.012128768366063452,29.0,0.08907484814555859
Neurology,0.0148456365973487,0.018313731069078933,0.0034680944717302327,23.3610357426478,High,99714.1651753758,29-1000,29-2000,11-9000,31-1100,25-1000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Chemical Manufacturing,Educational Services,269.06944444444446,0.005059359300711931,28.0,0.1403477417155516
Nursing and Patient Care,0.5562718438702472,0.5488074606650835,-0.007464383205163738,-1.3418588928086819,Medium,71304.86108308758,29-1000,29-2000,31-1100,11-9000,21-1000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,Nursing and Residential Care Facilities,12478.916666666666,0.10820386444438497,25.0,0.20325171970826486
Obstetrics and Gynecology (OBGYN),0.0209580049583468,0.020484438178533935,-0.00047356677981286524,-2.259598567487985,High,100991.62781762295,29-1000,29-2000,31-9000,11-9000,21-1000,Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Educational Services,738.3472222222222,0.011770087622112789,20.0,0.045010722295915746
Occupational Health and Safety,0.0531930580454781,0.04866834304733732,-0.004524714998140784,-8.506213337598151,Medium,42752.31074806676,35-3000,11-9000,53-7000,41-2000,35-2000,Unclassified Industry,Food Services and Drinking Places,Administrative and Support Services,Food and Beverage Stores,Accommodation,1239.5833333333333,0.0061827186499233844,25.0,0.23105072763005044
Office and Productivity Equipment and Technology,0.0472482782706628,0.046942772925604795,-0.0003055053450580075,-0.6465957199708177,High,55247.42092383605,13-1000,15-1200,11-9000,99-9000,43-6000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1260.388888888889,0.03129337144595642,24.0,0.05355317980103653
Oncology,0.0470595371909623,0.04010301422316727,-0.006956522967795031,-14.782387127111441,High,89816.15952184667,29-1000,11-9000,29-2000,31-1100,31-9000,Unclassified Industry,Hospitals,Administrative and Support Services,Ambulatory Health Care Services,Educational Services,1193.4166666666667,0.022789336506472704,27.0,0.0714761107561264
Oral and Dental Care,0.028200104489203,0.025427271760844007,-0.002772832728358994,-9.83270373845824,High,63539.28014669659,29-1000,31-9000,31-1100,43-6000,29-2000,Ambulatory Health Care Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,630.6527777777778,0.008152168970924592,15.0,0.24865634702001646
Orthopedics,0.0223119393168353,0.029183686948538803,0.006871747631703503,30.79852241494077,Low,80051.96650485437,29-1000,29-2000,31-9000,11-9000,31-1100,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Educational Services,448.1388888888889,3.469446951953614e-18,5.0,0.22933517086430574
Pathology,0.0122226371219701,0.012766955400419291,0.000544318278449191,4.453362011957165,High,76468.64453308306,29-1000,29-2000,11-9000,31-9000,31-1100,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Educational Services,Administrative and Support Services,236.01388888888889,0.0036256548490150617,24.0,0.06130193454902856
Patient Education and Support,0.1523296191020045,0.1495570899924356,-0.0027725291095688775,-1.8200853687635816,High,70381.01322096799,29-1000,11-9000,29-2000,21-1000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Nursing and Residential Care Facilities,Insurance Carriers and Related Activities,3089.722222222222,0.037596383869806994,26.0,0.11051957079117575
Payment Processing and Collection,0.023543537227696,0.021195357385929398,-0.002348179841766603,-9.973776748398986,High,53034.41347972695,43-3000,29-2000,13-2000,11-9000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Credit Intermediation and Related Activities,557.8333333333334,0.009437015552658067,17.0,0.0536074502040259
Pediatrics,0.0856003033891752,0.07398078757124929,-0.011619515817925904,-13.574152611467591,High,81867.35116772824,29-1000,29-2000,31-9000,11-9000,21-1000,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,Hospitals,Educational Services,2185.2638888888887,0.02760336218461769,22.0,0.0631139164503226
People Management,0.0261888986501619,0.02532766580760959,-0.0008612328425523091,-3.2885416605596163,High,61773.89416750708,15-1200,11-9000,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,510.1666666666667,0.010601325574210006,24.0,0.10212238889850407
Performance Management,0.0121264972067258,0.011866842452497934,-0.0002596547542278657,-2.1412181094129283,High,75113.9329759352,11-9000,11-3000,41-1000,15-1200,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Ambulatory Health Care Services,257.5,0.0030760407764442114,25.0,0.1018482899923139
Personal Attributes,0.1768070538467266,0.08782036637647321,-0.08898668747025339,-50.329828779000884,High,48721.030892132105,15-1200,13-1000,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,4155.125,0.049407706871601585,27.0,0.25329820443033696
Pharmacy,0.0694883381672684,0.08103804591498835,0.011549707747719948,16.621073481305803,High,70772.51589212618,29-2000,29-1000,99-9000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,Chemical Manufacturing,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",1661.3194444444443,0.0252871691836505,25.0,0.08350751708457582
Physical Abilities,0.1170649401617199,0.11369048809313557,-0.003374452068584319,-2.882547126340872,High,40033.32548686719,53-7000,41-2000,99-9000,11-9000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Food Services and Drinking Places,2345.930555555556,0.05206496345885464,25.0,0.08766877498213536
Physical Therapy,0.0429552263119063,0.03861978039483003,-0.004335445917076269,-10.092941626231342,Medium,57235.29185689949,29-1000,31-2000,11-9000,21-1000,29-2000,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Administrative and Support Services,Social Assistance,1000.1944444444443,0.005899914380931251,16.0,0.10486037694938954
"Policy Analysis, Research, and Development",0.0493812896044431,0.07191028609920186,0.022528996494758757,45.62253573209984,High,70233.2248487223,11-9000,29-1000,15-1200,21-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Educational Services,Administrative and Support Services,893.1666666666666,0.03688751098119811,28.0,0.08338193690204691
Process Improvement and Optimization,0.0650632838294192,0.04465286543439775,-0.020410418395021453,-31.370101835826215,Medium,80465.46264344206,15-1200,13-1000,11-9000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1244.4722222222222,0.011008121196936055,29.0,0.04658838398654969
Project Management,0.0321459282331998,0.02811193179563148,-0.004033996437568316,-12.549012143323552,Medium,83979.46633586998,15-1200,13-1000,11-9000,11-2000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,634.5555555555555,0.006300883680055429,28.0,0.04910918041334869
Public Health and Disease Prevention,0.0322500069978076,0.06271576827072478,0.030465761272917183,94.46745631710495,High,73727.94870707927,29-1000,11-9000,21-1000,29-2000,99-9000,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Hospitals,Administrative and Support Services,688.9583333333334,0.044266332486993416,28.0,0.2296632758804062
