,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Microsoft Excel,0.0323669355050901,0.03685300302917644,0.00448606752408634,13.860031708534319,High,60766.79926117726,13-1000,13-2000,99-9000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,574.3333333333334,0.030683089249779173,31.0,0.07975872673461333
Microsoft Office,0.0299476602068831,0.04554117208035151,0.01559351187346841,52.06921597796289,High,57868.82887157581,13-1000,11-9000,99-9000,15-1200,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,541.0,0.01853503138420754,33.0,0.1195140978533039
Microsoft Outlook,0.0185503197754763,0.018155423602145032,-0.0003948961733312682,-2.128783644222267,High,57265.25318068087,13-1000,11-9000,43-6000,43-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,309.52777777777777,0.009276791759815665,33.0,0.09767103351182314
Mobile Devices,0.0160284747537164,0.02298373738351839,0.006955262629801992,43.39316582938953,High,41960.13750290091,53-7000,53-3000,27-1000,15-1200,41-2000,Nonstore Retailers,"Professional, Scientific, and Technical Services",Unclassified Industry,General Merchandise Stores,Administrative and Support Services,209.44444444444449,0.012799247228787823,27.0,0.1137922622975996
Multitasking,0.0385468819231548,0.03874998132878999,0.00020309940563519036,0.526889324122453,High,49152.27412191286,43-4000,13-1000,15-1200,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Food Services and Drinking Places,669.1666666666666,0.01405985093271308,25.0,0.07438068395828688
Occupational Safety And Health,0.0130187341511674,0.01910714099446542,0.006088406843298021,46.766504120925376,Medium,51776.160826542495,53-7000,11-9000,49-9000,19-5000,35-3000,Food and Beverage Stores,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,207.33333333333331,0.003712930637894466,18.0,0.0755474115923618
Occupational Safety and Health Administration (OSHA),0.021870752112428,0.027371348937575438,0.0055005968251474364,25.150469434573015,High,56806.606541423374,53-7000,29-1000,11-9000,29-2000,49-9000,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services",348.44444444444446,0.01349437445765683,26.0,0.07440916951154178
Oil And Gas,0.0205307673147068,0.015557906789672855,-0.004972860525033946,-24.22150350645559,High,49682.10477486393,49-3000,49-9000,53-3000,51-9000,53-7000,Unclassified Industry,Motor Vehicle and Parts Dealers,Administrative and Support Services,Food Services and Drinking Places,"Professional, Scientific, and Technical Services",328.9583333333333,0.006101368754068787,29.0,0.14843806422077627
Operations,0.108420254042985,0.12019151452558852,0.011771260482603518,10.857067792828273,High,65456.50548486178,11-9000,15-1200,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,1909.2222222222224,0.04229765430624604,32.0,0.0628615057227219
Order Fulfillment,0.0167438960630176,0.0318533350924155,0.015109439029397903,90.23849032824722,High,39612.559147987326,43-4000,53-7000,41-2000,99-9000,43-1000,Health and Personal Care Stores,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Durable Goods",Building Material and Garden Equipment and Supplies Dealers,327.84722222222223,0.03691868795169172,25.0,0.203538664580229
Order Picking,0.0295878314253755,0.022899022209681017,-0.0066888092156944835,-22.606622024883986,High,34422.73243989706,53-7000,43-5000,53-3000,51-9000,99-9000,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",Nonstore Retailers,681.5972222222222,0.009540191931270939,32.0,0.09325149854635284
Organizational Skills,0.0368404481572176,0.04714296567406079,0.01030251751684319,27.965233953932707,High,56406.90806947852,13-1000,11-9000,99-9000,15-1200,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,644.4444444444445,0.02963700405182183,34.0,0.06284189387955957
Over-The-Road Driving,0.0115582119294218,0.008347028443567564,-0.0032111834858542364,-27.7827012124606,High,79697.44766450733,53-3000,49-9000,13-1000,53-1000,11-3000,Truck Transportation,Unclassified Industry,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",Support Activities for Transportation,240.25,0.006372316102382401,16.0,0.07075358345232738
Packaging And Labeling,0.0684313985840704,0.0680460137877585,-0.00038538479631189393,-0.5631695453928726,High,40629.8987504738,53-7000,51-9000,99-9000,29-2000,43-5000,Administrative and Support Services,Unclassified Industry,Nonstore Retailers,"Professional, Scientific, and Technical Services",Food Manufacturing,1805.736111111111,0.03804500320695955,22.0,0.0466639703075034
Pallet Jacks,0.0731932607151929,0.07601069544073744,0.0028174347255445348,3.849308936389157,High,37953.80509783728,53-7000,53-3000,51-9000,43-5000,41-2000,Food and Beverage Stores,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",Truck Transportation,1357.638888888889,0.0221602630569397,21.0,0.08944303654691049
Palletizing,0.0895127686243097,0.09050326411465513,0.0009904954903454388,1.1065410059011873,Low,36877.374109263656,53-7000,51-9000,53-3000,43-5000,99-9000,Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",Nonstore Retailers,"Merchant Wholesalers, Durable Goods",1788.388888888889,0.004673750950332103,22.0,0.029663612379814148
Physical Inventory,0.0189866316287761,0.020335994501749177,0.0013493628729730756,7.106910269054696,High,44166.77755346194,53-7000,43-5000,41-2000,41-1000,11-3000,Unclassified Industry,Administrative and Support Services,Health and Personal Care Stores,"Merchant Wholesalers, Nondurable Goods","Merchant Wholesalers, Durable Goods",329.02777777777777,0.005929214523969326,18.0,0.056204223911027314
Planning,0.0294397465298338,0.04573552126465522,0.01629577473482142,55.352972276128554,High,76803.817002056,15-1200,11-9000,13-1000,29-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,438.8888888888889,0.013155422802786677,29.0,0.050019074030179494
