,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Billing and Invoicing,0.1323801857371069,0.1315456260351789,-0.0008345597019280004,-0.6304264473426168,Low,50159.78436447887,43-3000,43-4000,11-9000,13-1000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals,4507.208333333333,0.007633247977950283,24.0,0.07877468826851163
Brand Management,0.0277847474479819,0.038836134846415335,0.011051387398433435,39.77501475989171,High,57711.36908990691,11-2000,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Chemical Manufacturing,983.5833333333334,0.03510663761120177,27.0,0.09276459755038431
Budget Management,0.0602782250947726,0.0495017922550222,-0.010776432839750397,-17.877820428201264,Low,82612.25612415781,11-9000,11-3000,13-2000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,1721.125,0.0,5.0,0.1707092346300147
Business Analysis,0.054451577255393,0.04839811331538096,-0.006053463940012042,-11.11715076979243,Low,94109.79303633218,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1484.111111111111,0.002931762719119776,16.0,0.08676027603559128
Business Communications,0.0236959626953627,0.01937070140169046,-0.00432526129367224,-18.253157085357387,Medium,66729.78085336214,15-1200,13-1000,11-2000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,899.5416666666666,0.0034390005012333944,21.0,0.11365542213192321
Business Consulting,0.0436532938922165,0.04874881325532056,0.0050955193631040605,11.672703039741533,Medium,95427.9910904792,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1367.7777777777778,0.011033334398530123,27.0,0.1457077708774786
Business Continuity,0.0076208740312083,0.010006128122362637,0.0023852540911543365,31.298957066951427,High,98617.26913837284,15-1200,13-1000,11-9000,11-3000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,209.61111111111111,0.0030750732169225153,17.0,0.05049571313294874
Business Intelligence,0.0374373799855465,0.03766607019441756,0.00022869020887106295,0.6108606130005724,High,90226.71754027104,15-1200,15-2000,13-2000,13-1000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1132.0972222222222,0.011461335073155755,23.0,0.13063533703199134
Business Intelligence Software,0.0213362625426801,0.018874494276545462,-0.0024617682661346382,-11.53795450918467,High,100434.85078439838,15-1200,15-2000,13-1000,13-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,582.4861111111111,0.00781450350552204,21.0,0.07270775696199569
Business Leadership,0.0316404490350965,0.037173265329678074,0.00553281629458157,17.486528994719418,High,99045.30950646511,15-1200,13-1000,11-2000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,932.9027777777778,0.011295577098978379,21.0,0.049334218163392
Business Management,0.3425460060323138,0.3586215537706714,0.01607554773835762,4.692960202502302,Medium,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,10717.138888888889,0.04040085702693988,13.0,0.1872574541366848
Business Operations,0.3365887280620246,0.3547289451011174,0.0181402170390928,5.389430936543432,Medium,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,9564.736111111111,0.07487948324421986,17.0,0.023828406775107346
Business Solutions,0.049095174271009,0.04773465246847274,-0.0013605218025362562,-2.771192531115329,Medium,86278.7545339167,15-1200,13-1000,11-3000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1606.0416666666667,0.004962274660634172,25.0,0.14457573176796007
Business Strategy,0.1536647128283573,0.15298021816365662,-0.0006844946647006911,-0.4454468772315139,Low,87755.66668718959,11-2000,13-1000,15-1200,11-9000,41-4000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,4971.277777777777,0.005681753125573141,29.0,0.13567928938595608
Business-to-Business (B2B) Sales,0.0541893191111874,0.047338844514730694,-0.006850474596456706,-12.641743260144459,Medium,71230.13091376462,41-4000,11-2000,13-1000,15-1200,41-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,"Merchant Wholesalers, Durable Goods",1928.138888888889,0.006439231975742723,24.0,0.10323925911581949
Cash Management,0.0122971598418943,0.012266795052411501,-3.036478948279832e-05,-0.2469252239801806,High,58138.74484779732,13-2000,11-3000,41-1000,11-9000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Food Services and Drinking Places,359.6111111111111,0.0038318112704593017,25.0,0.10267308655586509
Cash Register Operation,0.0669405033450439,0.08461750442748657,0.017677001082442675,26.40703340894648,High,32217.63996099712,41-2000,43-4000,35-3000,41-1000,99-9000,Unclassified Industry,General Merchandise Stores,Food Services and Drinking Places,Food and Beverage Stores,Administrative and Support Services,1816.611111111111,0.05081590964686042,27.0,0.04242264934475238
Cleaning and Janitorial Services,0.016462847521365,0.012348169510650856,-0.004114678010714143,-24.99371998297521,High,35771.780443829586,37-2000,31-1100,53-7000,41-2000,51-9000,Unclassified Industry,Administrative and Support Services,Accommodation,Nursing and Residential Care Facilities,Ambulatory Health Care Services,458.5138888888889,0.004308855251799264,28.0,0.06751840474606609
Client Support,0.038970300374063,0.027644599629749102,-0.0113257007443139,-29.06239016790287,Low,66153.68118992771,15-1200,41-4000,43-4000,11-2000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities,1274.5277777777778,3.469446951953614e-18,5.0,0.2335204202412431
Cloud Computing,0.0060987353538114,0.006445700938694201,0.00034696558488280047,5.689139874973663,Low,129339.21654012208,15-1200,11-9000,13-1000,17-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing,234.79166666666663,8.673617379884035e-19,5.0,0.3757560237213139
Cloud Solutions,0.023817652320001,0.021334611963178617,-0.002483040356822383,-10.425210358525709,Low,119989.04078972776,15-1200,41-4000,11-2000,13-1000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Publishing Industries (except Internet),826.0833333333334,0.0020581640360077987,16.0,0.09069717742276734
Collaborative Software,0.009004999321027,0.012245779242991391,0.003240779921964391,35.98867480641617,High,89054.25855327469,15-1200,13-1000,11-9000,99-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,237.86111111111111,0.005573594251837879,24.0,0.04022583469066693
Communication,0.607335787255502,0.6048026909236518,-0.002533096331850171,-0.4170833310016218,Low,57385.66709576459,15-1200,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,20242.5,0.03817132507597549,25.0,0.06333883820987625
Community and Social Work,0.0082386105967869,0.009918042434420335,0.0016794318376334352,20.384891577330066,High,54946.152026058095,21-1000,11-9000,29-1000,99-9000,29-2000,Unclassified Industry,Social Assistance,Ambulatory Health Care Services,Educational Services,Hospitals,212.86111111111111,0.009672827327079277,15.0,0.12154988896087832
"Company, Product, and Service Knowledge",0.056725880915058,0.08708747303230126,0.030361592117243257,53.52335058966658,High,54309.3529022689,41-2000,41-4000,41-1000,15-1200,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Clothing and Clothing Accessories Stores,Credit Intermediation and Related Activities,General Merchandise Stores,1818.5833333333333,0.0763935244604213,13.0,0.2893106993569791
Compensation and Benefits,0.016850939328359,0.013851918527935454,-0.002999020800423545,-17.79735088937383,High,60943.36235634705,13-1000,11-3000,11-9000,99-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,Ambulatory Health Care Services,432.93055555555554,0.005200309583059933,16.0,0.14182891973633074
Computer Science,0.0762807140388073,0.07811156223395226,0.0018308481951449518,2.4001455914708925,Medium,94892.53697004564,15-1200,13-1000,99-9000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2142.1944444444443,0.008377143210250208,21.0,0.08734785638288356
Construction Management,0.010597211959102,0.010262597064270906,-0.00033461489483109334,-3.157574804792792,Medium,69669.82679287864,11-9000,13-1000,17-2000,47-2000,53-7000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Construction of Buildings,Specialty Trade Contractors,294.2916666666667,0.0010552769735244231,15.0,0.15291516607004588
Content Development and Management,0.0184800018060288,0.020885942375522368,0.002405940569493569,13.019157653483942,Medium,70431.98589087809,13-1000,11-2000,27-3000,15-1200,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,636.0,0.004339915105114074,25.0,0.10311497796144806
Contract Management,0.0412599488421315,0.0382873929318792,-0.002972555910252299,-7.2044585455640515,Low,83394.19242177073,13-1000,11-9000,15-1200,11-3000,13-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Real Estate,1248.5972222222222,0.0,5.0,0.1784947994955349
Cost Accounting,0.0229008784997793,0.0454474619995616,0.0225465834997823,98.45291961179386,High,85413.23351619915,11-3000,13-2000,11-9000,13-1000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Food Services and Drinking Places,630.1111111111111,0.05225757528822292,12.0,0.11542044419777112
Counseling Services,0.0097401959748012,0.008381773086381852,-0.0013584228884193483,-13.946566290182616,Medium,68913.85724852071,21-1000,11-9000,15-1200,13-1000,11-3000,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,292.7083333333333,0.0015308699055625776,25.0,0.25942968195381994
Creative Design,0.0095101204155408,0.009135076809874201,-0.0003750436056665987,-3.943626255811942,Medium,82179.89907733776,15-1200,27-1000,11-2000,13-1000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,301.5,0.0017229826847117637,17.0,0.06329926296675546
Critical Thinking and Problem Solving,0.3843076991829569,0.392515011767678,0.008207312584721127,2.1356097216293035,Low,63615.96770882311,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,12411.555555555557,0.027107677187970244,27.0,0.05875213567999651
Customer Relationship Management (CRM),0.1454428352831692,0.1453524908830147,-9.034440015451284e-05,-0.06211677596810958,Low,69778.60700561397,41-4000,15-1200,11-2000,13-1000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities,4896.680555555556,0.006435104631789607,15.0,0.058180403953635294
Customer Service,0.4595895602901609,0.4397366838671821,-0.019852876422978782,-4.319696994519352,Medium,45914.83154164073,43-4000,41-2000,41-4000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities,15456.708333333334,0.04920895757960441,27.0,0.08514203559285764
Cybersecurity,0.0160951246200704,0.01491913206540265,-0.00117599255466775,-7.306514130380223,Medium,112271.80933142189,15-1200,13-1000,99-9000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing,427.6666666666667,0.0035358952913533276,25.0,0.06069887503270996
Data Analysis,0.1253537674939095,0.12222912574177659,-0.003124641752132909,-2.492658828371253,Medium,81801.21541135233,15-1200,13-1000,15-2000,13-2000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,3962.722222222222,0.015387788136356082,21.0,0.04558896932148276
Data Collection,0.0103790384936184,0.01083775236863682,0.00045871387501842005,4.419618207413552,Medium,59885.42604362837,15-1200,15-2000,11-9000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,316.9583333333333,0.0020534751388231773,25.0,0.0778065297079913
Data Management,0.0292076236227973,0.02713058091431876,-0.0020770427084785374,-7.111303320333643,Medium,82972.24118805723,15-1200,15-2000,13-1000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,870.7361111111111,0.0032329237310283966,16.0,0.07665338090193743
Data Science,0.0137594466376863,0.012220270925351408,-0.001539175712334891,-11.186319863468789,High,118458.43322123894,15-1200,15-2000,13-1000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,438.30555555555554,0.003646630589137453,13.0,0.11429954223887011
Database Architecture and Administration,0.0072112533872902,0.00717835169579027,-3.2901691499929477e-05,-0.4562548246871834,High,94491.42088059233,15-1200,15-2000,13-1000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Educational Services,207.31944444444449,0.0019905903277646292,28.0,0.1802219001035242
Databases,0.0101914870837061,0.00997500596072698,-0.00021648112297912095,-2.124136754539243,Medium,107904.38787589766,15-1200,15-2000,13-1000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,335.7361111111111,0.002416349203427717,29.0,0.11487754509430888
Digital Marketing,0.0332392269550592,0.02535418186298339,-0.007885045092075813,-23.722107324387288,High,67752.03253610485,13-1000,11-2000,15-1200,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Publishing Industries (except Internet),1354.5416666666667,0.009969177959161107,21.0,0.06880627952348448
Document Management,0.0233623880805861,0.02591932788734691,0.0025569398067608086,10.944685097862914,Medium,48925.082866763245,11-9000,15-1200,43-4000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,726.6111111111111,0.005714282739082358,29.0,0.07341377430574078
E-Commerce,0.0063372810659928,0.004868298627548772,-0.0014689824384440282,-23.180010846085096,High,82944.07958179581,15-1200,13-1000,11-2000,41-4000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",219.13888888888889,0.0013710823306759005,21.0,0.04149853274751091
Economics,0.0240522083746694,0.024497397962101455,0.000445189587432053,1.8509301952535246,Medium,82622.77792942095,13-2000,13-1000,99-9000,15-2000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,737.1666666666666,0.005040464948073793,22.0,0.1776320148385527
Employee Relations,0.0121697572547196,0.014500522520552518,0.0023307652658329184,19.15210975082527,Medium,71749.7603452653,13-1000,11-3000,11-9000,99-9000,11-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Educational Services,331.25,0.003433720235463833,22.0,0.07453453386139781
Employee Training,0.0413866514459881,0.045108360573112,0.0037217091271239053,8.992535025407756,High,60777.40217191577,11-9000,13-1000,11-3000,41-1000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,1261.4166666666667,0.01423041972940866,13.0,0.1387451456290855
Enterprise Application Management,0.006751567584226,0.006710138216545067,-4.142936768093339e-05,-0.6136259048598838,High,117985.29661592824,15-1200,13-1000,11-2000,11-9000,41-4000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet),268.40277777777777,0.002461036739466917,28.0,0.0630739365533338
Events and Conferences,0.0125810587049207,0.01613989855769674,0.0035588398527760384,28.287284371259673,High,55228.47374191426,13-1000,11-9000,43-6000,11-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Accommodation,353.7361111111111,0.01683769474145265,27.0,0.08681071410412737
Facility Management and Maintenance,0.0105225537463161,0.009244536506385553,-0.001278017239930547,-12.145504510993591,Medium,50937.671342958325,49-9000,11-3000,11-9000,13-1000,11-1000,Unclassified Industry,Administrative and Support Services,Real Estate,"Professional, Scientific, and Technical Services",Educational Services,317.4583333333333,0.002270815149815639,28.0,0.0438575082480899
Financial Accounting,0.0395425358010544,0.06104200719783852,0.02149947139678412,54.37049233501822,High,64386.1680032077,13-2000,43-6000,11-3000,43-3000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Real Estate,1154.9444444444443,0.020291537982122826,24.0,0.16052191210569333
Financial Analysis,0.0480387260280535,0.028247904585205652,-0.01979082144284785,-41.19764006916101,High,81214.571209837,13-2000,11-3000,15-1200,13-1000,11-9000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1512.236111111111,0.012249118588819748,7.0,0.09454250021643207
Financial Management,0.0744777369730825,0.169465237482551,0.09498750050946848,127.53811322677346,High,80797.65249281646,13-2000,11-9000,11-3000,11-2000,11-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1882.875,0.05641168372067005,17.0,0.11689222063186194
Financial Modeling,0.0234174684273788,0.024679847138624866,0.001262378711246067,5.390756542112565,Medium,90853.17475436136,13-2000,11-2000,41-4000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,720.6111111111111,0.003764636263843007,13.0,0.1394115889885027
Financial Regulation,0.0141622555600249,0.014500940040817329,0.000338684480792429,2.3914586158748397,High,87508.28247206703,13-2000,13-1000,41-3000,99-9000,15-1200,Credit Intermediation and Related Activities,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",393.9166666666667,0.011737083571285051,13.0,0.23044740434267214
Financial Reporting,0.0867824806551735,0.07357754953038617,-0.013204931124787322,-15.216125449624512,Medium,72444.05991305991,13-2000,11-3000,43-3000,11-9000,99-9000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Credit Intermediation and Related Activities,2579.3611111111118,0.016391155404137162,25.0,0.10941908600696923
Financial Trading,0.0234081497169199,0.05307445802740193,0.02966630831048203,126.73495628336057,High,102198.8897821028,13-2000,15-1200,99-9000,13-1000,11-3000,Unclassified Industry,Credit Intermediation and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","Professional, Scientific, and Technical Services",Administrative and Support Services,597.0416666666666,0.03701236214413564,13.0,0.2564875677232207
Food and Beverage,0.0377721978446688,0.02922099416723685,-0.008551203677431951,-22.63888300224731,Medium,36334.39397896203,35-3000,35-2000,11-9000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,1131.8333333333333,0.006581364302395634,13.0,0.17994834743874977
General Accounting,0.2274087344790498,0.23225440880511902,0.0048456743260692214,2.130821552289863,Medium,62839.66144953177,13-2000,11-3000,43-3000,11-9000,99-9000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,6745.777777777777,0.04315479823286545,27.0,0.0944667926032004
General Construction and Construction Labor,0.012192703421366,0.013398840154178446,0.0012061367328124462,9.892283041174126,Medium,58468.685088594,11-9000,47-2000,49-9000,13-1000,17-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Construction of Buildings,Specialty Trade Contractors,330.125,0.003234741856821043,13.0,0.1987391941150115
General Finance,0.1820588006892215,0.4467903916245398,0.2647315909353183,145.4099389500105,High,82105.64927319424,13-2000,11-3000,15-1200,13-1000,99-9000,Unclassified Industry,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,5300.472222222223,0.23654982318345785,13.0,0.07360128466540386
General Lending,0.0242474036440278,0.021412728042106442,-0.0028346756019213583,-11.690635597677883,Medium,73323.94335208098,13-2000,41-3000,43-4000,99-9000,11-3000,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Insurance Carriers and Related Activities,916.0138888888888,0.004643546201293083,17.0,0.043220715419189766
General Medicine,0.0221346962049581,0.020396282534217405,-0.0017384136707406968,-7.853795031310606,Medium,74382.88455685867,29-1000,29-2000,21-1000,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,"Professional, Scientific, and Technical Services",608.2083333333334,0.002772619606540534,17.0,0.06156905702466136
General Networking,0.0089496298553145,0.009224796968181646,0.00027516711286714596,3.074620038098506,High,89124.30505505505,15-1200,99-9000,13-1000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Telecommunications,Insurance Carriers and Related Activities,309.5,0.0025639101949687525,16.0,0.33286681260911466
General Repairs and Maintenance,0.0077995416094461,0.009809075964012311,0.0020095343545662118,25.764775100788555,High,58067.14327757125,49-9000,49-3000,17-3000,15-1200,49-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,"Merchant Wholesalers, Nondurable Goods",212.91666666666663,0.0035076243081247293,27.0,0.05050602359150249
General Sales Practices,0.4944880317889574,0.47555198843666324,-0.018936043352294152,-3.8294239971364705,Low,61473.41955742815,41-4000,41-2000,11-2000,13-1000,41-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,17048.5,0.034876043754448104,25.0,0.043789654565934456
General Science and Research,0.1271489179782071,0.12010366663762015,-0.00704525134058695,-5.5409447855423215,Medium,70015.0795566825,15-1200,13-1000,11-9000,99-9000,15-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Insurance Carriers and Related Activities,4169.527777777777,0.013064652069448806,29.0,0.06032039383730921
