,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Cleaning and Janitorial Services,0.0737624118723011,0.07453325353790978,0.0007708416656086736,1.0450331626129163,Medium,35771.780443829586,37-2000,31-1100,53-7000,41-2000,51-9000,Unclassified Industry,Administrative and Support Services,Accommodation,Nursing and Residential Care Facilities,Ambulatory Health Care Services,586.8333333333334,0.010304881088431927,13.0,0.09201720606170664
Communication,0.4308349550833455,0.4269092204881359,-0.003925734595209618,-0.9111922208006962,Medium,57385.66709576459,15-1200,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,3606.930555555556,0.07332802426878451,26.0,0.16628749197416084
Critical Thinking and Problem Solving,0.2013594994452113,0.2856683910939929,0.08430889164878158,41.86983573214608,High,63615.96770882311,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1521.8472222222222,0.10503309654871322,29.0,0.09314007601865953
Customer Relationship Management (CRM),0.0279307139797578,0.026974686628060178,-0.0009560273516976206,-3.422853251766072,Medium,69778.60700561397,41-4000,15-1200,11-2000,13-1000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities,225.79166666666663,0.003224131665222254,25.0,0.09151239477393873
Customer Service,0.4602129394498702,0.4674765183843793,0.0072635789345091295,1.5783082812038867,Medium,45914.83154164073,43-4000,41-2000,41-4000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities,3768.1666666666665,0.051228296293123185,25.0,0.10191495642787626
Data Analysis,0.0397510932781186,0.03452697508633013,-0.005224118191788467,-13.142074244946961,High,81801.21541135233,15-1200,13-1000,15-2000,13-2000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,390.84722222222223,0.010764674138484717,24.0,0.05597915982880394
Disaster Management,0.0288744262149924,0.03126200949149653,0.0023875832765041308,8.268850985043754,High,49106.979216435735,11-9000,43-4000,33-9000,29-2000,41-1000,Unclassified Industry,Accommodation,Ambulatory Health Care Services,Social Assistance,Nursing and Residential Care Facilities,201.15277777777777,0.010431369565751594,28.0,0.04490164690360134
Document Management,0.0321779124939869,0.03988838252001064,0.007710470026023736,23.961995755518924,High,48925.082866763245,11-9000,15-1200,43-4000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,234.68055555555557,0.012985978550679182,25.0,0.12441596852359918
Employee Training,0.0794049228478172,0.19118227708276922,0.11177735423495203,140.7687964752235,High,60777.40217191577,11-9000,13-1000,11-3000,41-1000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,567.5694444444445,0.2193044516844428,29.0,0.11137514611952334
Events and Conferences,0.0516252803269902,0.047026733140686276,-0.004598547186303925,-8.90754908675965,High,55228.47374191426,13-1000,11-9000,43-6000,11-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Accommodation,410.80555555555554,0.022985185999913636,27.0,0.07733299167912468
Financial Management,0.0576309615957908,0.0323009387334738,-0.025330022862317003,-43.95210865988229,Low,80797.65249281646,13-2000,11-9000,11-3000,11-2000,11-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,440.27777777777777,0.0,5.0,0.068382620593225
Food and Beverage,0.6606218469888937,0.6354538654783002,-0.025167981510593518,-3.80974102284217,Low,36334.39397896203,35-3000,35-2000,11-9000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,5607.527777777777,0.04763551762971965,29.0,0.06741545104670069
General Accounting,0.0962933939138191,0.09053614659317302,-0.005757247320646072,-5.978860113497202,Medium,62839.66144953177,13-2000,11-3000,43-3000,11-9000,99-9000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,725.5416666666666,0.02113766311349654,27.0,0.14130331709749358
General Sales Practices,0.2798375279840833,0.2885554808310912,0.008717952847007937,3.1153622996211574,High,61473.41955742815,41-4000,41-2000,11-2000,13-1000,41-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,2087.180555555556,0.09662855338918323,27.0,0.10563999681245335
General Science and Research,0.0304229236853648,0.028756174052347108,-0.0016667496330176924,-5.478597817406669,Medium,70015.0795566825,15-1200,13-1000,11-9000,99-9000,15-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Insurance Carriers and Related Activities,230.06944444444449,0.006210768423716533,28.0,0.06067548423299501
General Shipping and Receiving,0.0342610824134107,0.030341594936806333,-0.003919487476604366,-11.440057349356174,High,39588.28751661334,53-7000,43-5000,51-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",238.68055555555557,0.013287236540652765,18.0,0.07215004272184744
Hospitality Services,0.0922723454584502,0.10031821420629289,0.008045868747842688,8.719696793082717,High,35960.38276699029,43-4000,35-9000,11-9000,43-6000,35-3000,Unclassified Industry,Accommodation,Food Services and Drinking Places,Administrative and Support Services,"Professional, Scientific, and Technical Services",737.6111111111111,0.03541791312347463,27.0,0.11372170349849847
Hotels and Accommodations,0.0294412670856539,0.03356204525933583,0.0041207781736819285,13.996606062141584,High,38123.97903930131,43-4000,11-9000,37-2000,11-1000,35-3000,Accommodation,Unclassified Industry,Real Estate,Administrative and Support Services,"Professional, Scientific, and Technical Services",227.29166666666663,0.012364350930024517,23.0,0.11281230293260905
Human Resources Management and Planning,0.0314548278262213,0.04323059708352349,0.011775769257302192,37.43708063626946,High,76516.83519701811,13-1000,11-3000,11-9000,15-1200,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,209.26388888888889,0.03158018399847522,29.0,0.08681687527665814
Initiative and Leadership,0.4964291006083612,0.5093426768909289,0.01291357628256773,2.6012931689021594,Medium,63962.55268980127,11-9000,15-1200,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,3971.472222222222,0.1175568251146274,21.0,0.10687047267058679
Inventory and Warehousing,0.1148089905990057,0.10012667615478799,-0.01468231444421772,-12.788470979157685,High,37360.49104693061,53-7000,43-5000,41-2000,99-9000,41-1000,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services",880.1111111111111,0.028078182661477182,23.0,0.08386289011730234
Language Competency,0.0682431874686817,0.05248228460899915,-0.015760902859682555,-23.095203263938366,Medium,45771.45767990084,43-4000,11-9000,13-1000,29-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Ambulatory Health Care Services,605.2638888888889,0.009652503600906592,15.0,0.1441952337955742
Machinery,0.03705826911014,0.024946771234901074,-0.012111497875238925,-32.68230860767574,High,47065.83415579346,51-9000,49-9000,17-3000,51-4000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Machinery Manufacturing,372.9583333333333,0.013677430251529985,28.0,0.05591817435082501
Marketing Strategy and Techniques,0.1311705438253667,0.17955553489469228,0.04838499106932559,36.88708581840046,High,66644.41432409918,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,990.9444444444443,0.16080362999049275,24.0,0.09288651751728318
Mathematics and Mathematical Modeling,0.0857416866284467,0.0674720021129147,-0.018269684515532,-21.30782030764325,Low,45474.011771072925,53-7000,41-2000,51-9000,43-4000,11-9000,Unclassified Industry,Administrative and Support Services,General Merchandise Stores,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,657.9583333333334,0.0,5.0,0.08536440076441648
Merchandising,0.074560798826844,0.09257883525873811,0.01801803643189412,24.16556248778697,High,35032.665214271066,41-2000,41-1000,53-7000,27-1000,99-9000,General Merchandise Stores,Unclassified Industry,Clothing and Clothing Accessories Stores,Food and Beverage Stores,Building Material and Garden Equipment and Supplies Dealers,449.77777777777777,0.05341503492829437,25.0,0.05542813457083624
Occupational Health and Safety,0.3969689610799291,0.3796145235195122,-0.01735443756041688,-4.371736649939891,Low,42752.31074806676,35-3000,11-9000,53-7000,41-2000,35-2000,Unclassified Industry,Food Services and Drinking Places,Administrative and Support Services,Food and Beverage Stores,Accommodation,3320.222222222222,0.022812042331612183,19.0,0.0633690770286518
Office Management,0.0403981406111781,0.03791956455037863,-0.002478576060799473,-6.135371636667988,Medium,42981.65484629862,43-6000,43-4000,43-1000,43-9000,11-9000,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",Accommodation,311.47222222222223,0.00693346915054172,26.0,0.18137440420159415
Office and Productivity Equipment and Technology,0.1441081002883681,0.17921793921844956,0.03510983893008146,24.36354296519403,High,55247.42092383605,13-1000,15-1200,11-9000,99-9000,43-6000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1089.2083333333333,0.08098973838488217,29.0,0.09479968953684062
People Management,0.0889720274107467,0.08694266388349836,-0.0020293635272483346,-2.280900622708765,High,61773.89416750708,15-1200,11-9000,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,696.4444444444445,0.027942634813531944,29.0,0.07788844162058094
Performance Management,0.0768047736094551,0.07937738810647609,0.0025726144970209808,3.349550263766779,High,75113.9329759352,11-9000,11-3000,41-1000,15-1200,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Ambulatory Health Care Services,535.375,0.029113103455261677,17.0,0.07944676377331326
Personal Attributes,0.4181849580093595,0.44432214397631664,0.026137185966957133,6.250149716377925,High,48721.030892132105,15-1200,13-1000,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Educational Services,3273.3611111111118,0.12357942743289832,25.0,0.0689986418772895
Physical Abilities,0.155325495851467,0.15118148811424165,-0.0041440077372253414,-2.6679507536793117,Medium,40033.32548686719,53-7000,41-2000,99-9000,11-9000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Food Services and Drinking Places,1303.138888888889,0.03553756360614474,28.0,0.052568341917618285
Process Improvement and Optimization,0.0358379810690632,0.04244982005655311,0.006611838987489911,18.449250739734108,High,80465.46264344206,15-1200,13-1000,11-9000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,261.22222222222223,0.019131153176905814,29.0,0.06489332276486863
Procurement,0.0559520485877293,0.0641399111117169,0.008187862523987594,14.63371356483854,Medium,70403.40135863099,13-1000,11-3000,11-9000,15-1200,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",390.31944444444446,0.013598888184689746,19.0,0.12601125691898304
Project Management,0.0645553999254121,0.05416167091730405,-0.010393729008108046,-16.10047961923721,High,83979.46633586998,15-1200,13-1000,11-9000,11-2000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,505.69444444444446,0.018200398728071884,28.0,0.10086361971547739
Quality Assurance and Control,0.0717817302966748,0.06412172065585704,-0.007660009640817755,-10.671252433117505,Medium,68940.36426933728,15-1200,11-9000,11-3000,17-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals,531.1944444444445,0.012618617663913936,17.0,0.05051095026019595
Regulation and Legal Compliance,0.127101731724618,0.14770030999709963,0.020598578272481627,16.20637106433062,High,50073.63727415879,53-3000,11-9000,41-4000,13-1000,49-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Food Services and Drinking Places,927.0,0.040742760922707996,25.0,0.12997925089924545
Retail Sales,0.0471055808671801,0.060493104785198884,0.013387523918018784,28.420250152028764,High,40710.21537984682,41-2000,41-1000,41-4000,99-9000,43-4000,Unclassified Industry,Clothing and Clothing Accessories Stores,General Merchandise Stores,Food and Beverage Stores,Telecommunications,438.02777777777777,0.025813148777855552,27.0,0.12546612473074079
Scheduling,0.1092430235569761,0.14443687927279722,0.03519385571582112,32.216112818834276,High,50695.7793679333,43-6000,11-9000,13-1000,29-2000,43-4000,Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",Hospitals,848.8194444444445,0.13681748593265303,17.0,0.10583243238233167
Social Skills,0.1268948847308672,0.1848756715122083,0.05798078678134108,45.69198112619999,High,54500.555595384896,15-1200,11-9000,29-1000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Hospitals,973.8611111111112,0.11282909567516818,25.0,0.07521839267574208
Teaching,0.046694468448584,0.05870899114961841,0.01201452270103441,25.730077030995197,High,59371.697529119774,25-2000,15-1200,11-9000,25-1000,29-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,343.4166666666667,0.03076582608934583,29.0,0.07481540404537057
Writing and Editing,0.1113324952938375,0.13949623478240084,0.028163739488563336,25.296962413562525,High,60438.37760852285,27-3000,13-1000,15-1200,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,767.6805555555555,0.05346082670149296,24.0,0.051022993913015215
