,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model
Skill subcat: Art and Illustration,0.0024320260291233,0.0024092306968209,-0.9372980399645324,776.5208333333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Graphic and Visual Design Software,0.010884644414399,0.0163520669220659,50.23060285216297,1152.0416666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Oncology,0.0082036638115204,0.0083693588054623,2.0197682127004626,2552.25,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Graphic and Visual Design,0.0094140366517862,0.009258513055499,-1.652039417731509,3013.770833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),0.0184465465211233,0.0176886037051969,-4.108860241446658,1492.0625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Wireless Technologies,0.0042163391388702,0.0037409195827187,-11.275647913817789,1130.6875,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Health Information Management and Medical Records,0.0384027386549561,0.0541269618747414,40.9455777648191,3677.3333333333335,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Medical Billing and Coding,0.007301548809298,0.0077091645295185,5.582592554903297,2621.5416666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Financial Regulation,0.0066022816728114,0.0067997912078466,2.991534515235178,2146.270833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: System Design and Implementation,0.0453083348271939,0.0378127060273794,-16.543598056302113,12631.125,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Compensation and Benefits,0.0147098050832612,0.0126346672982549,-14.107173910602464,827.7708333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Mental and Behavioral Health Specialties,0.0268558373733936,0.0374147042114501,39.3168408463677,2598.75,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Financial Advisement,0.0017392583156687,0.0015406274654569,-11.420434125418089,163.85416666666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Networking Hardware,0.0063672805474762,0.0059405516010753,-6.701902691723588,1911.875,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Telecommunications,0.017163761128332,0.0177744652773495,3.5581021225552854,5467.354166666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Lean Manufacturing,0.0122365534772197,0.0112459877955236,-8.095136294220392,3550.1875,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Computer Hardware,0.0081092077732211,0.006841886460291,-15.62817661566342,808.125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Network Protocols,0.0122163542011053,0.0112919102123046,-7.567265761801985,3722.2291666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Web Analytics and SEO,0.0090918976541559,0.0088467176481549,-2.696686823008042,2893.0416666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Network Security,0.0118227613249639,0.0108352731564199,-8.352432578156737,3521.833333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Mental Health Therapies,0.0105837456376506,0.0125127027700918,18.22565657265167,1032.9166666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Machinery,0.0483726772993594,0.0284096836457487,-41.26915186039346,4581.354166666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Electrical Power,0.0045066861221349,0.0042422480431099,-5.867683523070175,1349.9583333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Insurance and Warranty Claims Processing,0.0044368905268708,0.0028158335823863,-36.53587877967728,429.8958333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Databases,0.0324307888402229,0.030968100378817,-4.510184653885978,9957.625,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Instructional and Curriculum Design,0.0148764301372873,0.0124006252512202,-16.642466392939088,1336.9791666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Special Education,0.0049137357508928,0.0063793544608355,29.82697451071529,545.7291666666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Payroll,0.0066381599560006,0.0054299045622499,-18.201661330237933,1923.5208333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Human Resources Software,0.0134288383997148,0.0129540757813138,-3.535396020634829,1190.1666666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Accounting and Finance Software,0.011871633618425,0.0123676695177301,4.1783289077860575,3937.8958333333335,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Safety and Surveillance Technology,0.0059911420770955,0.0059545296918954,-0.6111086121637931,1892.5833333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Engineering Software,0.0081187462596475,0.0078716269806091,-3.0438108438818023,2435.395833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Networking Software,0.0019821766160522,0.0021109037001032,6.494228768946895,667.4791666666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Simulation and Simulation Software,0.0021748168379494,0.0054256240929677,149.47499018277946,193.02083333333331,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Construction Inspection,0.0068459364313444,0.0060473583856492,-11.664993587128231,1857.25,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Laboratory Research,0.0166138252300652,0.0145424510545075,-12.46777395857782,4673.125,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Other Programming Languages,0.0202545739852447,0.0186740357146503,-7.803364670843288,6081.541666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Software Development Tools,0.0296931843108286,0.0559560609744026,88.44749148038117,2586.875,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Scripting Languages,0.0417340011442059,0.0372212348307144,-10.813164781153564,11833.229166666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Nuclear Energy,0.0004161035478662,0.0045745449208237,999.3765720773584,41.875,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Telecommunications Equipment and Installation,0.0010537436531678,0.0011140439109539,5.722478859523699,353.9791666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Natural Language Processing (NLP),0.0015254338982947,0.0013994197444176,-8.2608727928475,405.2291666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Writing and Editing,0.0649376937764552,0.0489239685193488,-24.660138551013,6334.625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Health Care Procedure and Regulation,0.0486718321538388,0.0449119043354114,-7.725059140044821,13674.083333333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Waste Management,0.0021386673407088,0.0018252246606616,-14.655981043939189,609.2916666666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Software Quality Assurance,0.0392019756398672,0.0301557454680277,-23.07595478080896,3546.3541666666665,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Augmented and Virtual Reality (AR/VR),0.0008579796946018,0.000825079095469,-3.83465941441302,61.270833333333336,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Air Transportation,0.0020905466611304,0.001808713560686,-13.48131116537754,177.89583333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Pharmacology and Drug Discovery,0.0049133873705031,0.0049626402611786,1.0024222997597034,499.5,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Computer Science,0.1097691586524833,0.0907049806349028,-17.36751766307649,10499.916666666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Project Management,0.123492814736941,0.010699897705585,-91.33561112168552,11922.9375,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: General Accounting,0.0834149343269392,0.0429435805732672,-48.51811498771582,8499.479166666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Tax,0.0105068555013102,0.0111454016399132,6.077423816510779,3633.7083333333335,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Cybersecurity,0.022075045505988,0.0205133520586687,-7.074474419070527,6631.770833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Quality Assurance and Control,0.096044536853615,0.0889747730557354,-7.36092236943668,8982.541666666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Enterprise Application Management,0.0110266655550449,0.0109872076944858,-0.3578403676263528,3483.145833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Data Analysis,0.0852280358991792,0.0689066565044243,-19.150247007994324,8334.75,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Automotive Technologies,0.0042430413814967,0.0033153128535056,-21.864706105313804,1141.8333333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Malware Protection,0.0010125100073267,0.000408822164007,-59.62290139863398,107.72916666666669,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Cloud Solutions,0.0372452412180716,0.0349341191610426,-6.2051472388038365,9531.291666666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Backup Software,0.0022634805476243,0.0023196920291165,2.483409082141139,733.875,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Scripting,0.0159082676366766,0.0156743966939942,-1.470122002116753,4985.145833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Cloud Computing,0.0206136093606804,0.0152002248115963,-26.261216337056936,5121.916666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Version Control,0.0180433884227075,0.0499526432987527,176.8473533268706,1528.75,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Data Science,0.0309872601066141,0.027995705560879,-9.654143462321036,8726.979166666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
"Skill subcat: Extraction, Transformation, and Loading (ETL)",0.0115640611286347,0.0107724148503798,-6.845746225732421,3456.7291666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Internet of Things (IoT),0.0032107713110956,0.0027512509491514,-14.311837169972703,315.6875,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Configuration Management,0.0081230511898959,0.0082868602548688,2.016595256430961,2636.5,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Business Intelligence Software,0.0214240762166225,0.0158390165669464,-26.069080380430908,1989.2708333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Logistics,0.0089868427959091,0.0096127602506573,6.96482033749522,858.4375,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: General Medicine,0.0598139857715455,0.2460665561411769,311.38632205686383,5693.854166666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Cardiology,0.0075209154387128,0.0081490893184032,8.352359294680637,2361.083333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Surgery,0.0150106437234724,0.0143832196551949,-4.179861169420653,4601.770833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Medical Imaging,0.0114220160644205,0.0160491619243901,40.51076302005147,943.0625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Physical Abilities,0.1095987795382921,0.1627180721906677,48.46704760413554,10942.604166666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Initiative and Leadership,0.4138543140074439,0.8249300630298166,99.32861277724383,40447.125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Biology,0.0083975397461055,0.0060173984957252,-28.343316284797936,810.5625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Audio Production and Technology,0.0016279861942555,0.0015634908504763,-3.961664048919943,502.3958333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Manufacturing Processes,0.0190550876181246,0.0184568540427236,-3.139495274910081,1834.8333333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Power Tools,0.0094445317367393,0.0289667796589648,206.7042439625017,932.8958333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Infectious Diseases,0.0135314747075542,0.0103767763708108,-23.313780684837184,1095.5208333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Physics,0.0040079499832878,0.0037599430697988,-6.187874462583873,1205.25,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: HVAC,0.0136781735824454,0.0127895565544137,-6.4966058712118775,4176.541666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Chemistry,0.0089596046118336,0.0080368779605714,-10.298742982960306,840.5208333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Mathematics and Mathematical Modeling,0.0407749610622469,0.0411385245044988,0.8916340636031129,13171.729166666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Document Management,0.0205789345945103,0.0352635261068849,71.3573943536023,1987.2916666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Property Law,0.0034200004242836,0.0031605131401324,-7.587346548518509,993.0833333333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Architectural Design,0.0075335599527279,0.026117106039438,246.67681950259123,668.6875,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Education Administration,0.0052911251916002,0.0021238297114053,-59.86052806354052,401.0208333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Student Support and Services,0.0073604455870158,0.0126704307806326,72.14217034609813,526.875,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Language Competency,0.0510816583320671,0.0530603450526059,3.8735757317742734,16847.375,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
"Skill subcat: Language Interpretation, Translation, and Studies",0.002775357443347,0.0034157186473111,23.073107411773343,1025.5833333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Library and Archiving,0.0039002909292257,0.0054800411052044,40.50339332743871,355.625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Program Management,0.0212217856272208,0.0187355102450946,-11.71567475894723,5863.833333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Teaching,0.0785049505071067,0.1580474264018262,101.32160504644725,7287.125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Product Inspection,0.0031048573387702,0.0037669746931433,21.325210215144928,1036.7708333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Mobile Development,0.00549399157627,0.0053056042931981,-3.4289692740992623,1745.6041666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
"Skill subcat: Engineering, Scientific, and Technical Instruments",0.0077700349015904,0.0073685357653701,-5.167275839882263,2374.0416666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Systems Administration,0.0142959916949776,0.0137117497410132,-4.086753591005894,4409.395833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Engineering Practices,0.0135598747959259,0.0114223740904342,-15.76342508806878,1201.0833333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Mainframe Technologies,0.0010641298877418,0.0012044351071414,13.184971215999102,368.7291666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Safety and Security,0.0182895491631315,0.0183543440352522,0.3542726588980857,5862.458333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: General Networking,0.0187098565508651,0.0527022646685292,181.68182115801616,1891.2083333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Query Languages,0.0354678184314256,0.0323808476403104,-8.703582367445666,10421.395833333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Community and Social Work,0.0182134464069616,0.0206417318580459,13.332377611719624,1696.0625,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Occupational Health and Safety,0.0978048228988289,0.1193939437555788,22.07367716322341,8852.604166666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Billing and Invoicing,0.0552773433270419,0.0384444535498259,-30.45169822584669,5699.666666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Banking Services,0.017923961558947,0.01688797559491,-5.779893918149318,5449.666666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Financial Analysis,0.0254962237549296,0.0241370372735424,-5.330932511621081,7662.541666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Account Management,0.0169269997958353,-0.0115931520274724,-168.48911305785427,2017.0,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Marketing Strategy and Techniques,0.1053577415499833,0.1017111368206453,-3.4611644817841887,33087.041666666664,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Internal Controls,0.011429553795005,0.0056685685851665,-50.404287981532526,1141.5416666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Financial Reporting,0.0258082490308446,0.024010171657883,-6.967064564560882,7834.770833333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Accounts Payable and Receivable,0.0212898815509278,0.021190445578369,-0.467057425006979,6768.791666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Specialized Accounting,0.0062175220647528,0.0055272764225867,-11.101619503356646,590.4375,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Construction Estimating,0.0021105547555342,0.0020802195783313,-1.437308230139809,669.0833333333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Pharmacy,0.0281711550360727,0.0194216571995631,-31.058356767076152,2565.5,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
"Skill subcat: Welding, Brazing, and Soldering",0.0057801060902405,0.0055737318731849,-3.570422650270296,1721.0208333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Childhood Education and Development,0.0156734712426008,0.0272965789176922,74.15783967178609,1830.7708333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
"Skill subcat: Elements, Compounds, and Materials",0.0037398276249739,0.003660332071779,-2.125647520865484,342.5833333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Music,0.0012526322142547,0.0010867020882411,-13.246515946608186,359.8125,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Mergers and Acquisitions,0.0083931646701778,0.0060456213026529,-27.96970463198561,948.9583333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Procurement,0.0446217148035353,0.0413266703730095,-7.384396688996674,4367.416666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Dermatology,0.0013925496496503,0.0013273877761633,-4.679321380272764,144.125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Theatre and Performance Art,0.0005695405973897,0.0004929356825804,-13.45029926933974,42.54166666666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: General Science and Research,0.1014244499531127,0.0525870269804124,-48.151528546891065,9793.958333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
"Skill subcat: Water Supply, Testing, and Treatment",0.0032622114011948,0.0035242861402846,8.033652846465248,290.1041666666667,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Marketing Software,0.0020090117538175,0.0026992498665407,34.35709678709533,829.6458333333334,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Personal Attributes,0.3470448261825568,0.3257413078779175,-6.138549460303131,105504.39583333331,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Communication,0.4733314607605228,0.3946479253780001,-16.62334788735538,48268.22916666666,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Signal Processing,0.0012372892503882,0.0010643539140509,-13.97695294637381,346.75,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Physical Therapy,0.0170970191330461,0.0159160314399159,-6.907564903214734,5083.416666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Nursing and Patient Care,0.0748529974462756,0.1273856043775718,70.18103312295612,7201.708333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Hardware Description Languages (HDL),0.0003513508305654,0.0006164746705035,75.45843552197047,29.52083333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Data Management,0.0353396511224301,0.0274420663519727,-22.34765912967601,3453.1041666666665,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Business Solutions,0.0450024028164655,0.0398043388144652,-11.55063658089482,13014.875,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
"Skill subcat: Policy Analysis, Research, and Development",0.0314353193410031,0.0497877851146157,58.38167436611439,2688.645833333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Business Analysis,0.0590353402671764,0.0364923668765192,-38.18555680145892,5482.375,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Home Health Care and Assisted Living,0.0388008432533074,0.0714636113900552,84.18056258084964,3595.7916666666665,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Cost Accounting,0.0120987932249738,0.0113386231191644,-6.283024196498296,3641.7291666666665,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Intelligence Collection and Analysis,0.0021041896248344,0.0019763085186565,-6.077451607431261,634.6041666666666,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Financial Management,0.0293289000151168,0.0280456761106597,-4.375288209907972,8916.75,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Statistics,0.0126275122885873,0.0119877679142516,-5.066274019102712,3791.7083333333335,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
