,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Lesson Planning,0.1339517377380465,0.12156798474284473,-0.012383752995201766,-9.244936425848541,High,43536.37313889455,25-2000,25-3000,25-1000,27-2000,25-9000,Educational Services,Unclassified Industry,Social Assistance,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Religious, Grantmaking, Civic, Professional, and Similar Organizations",428.4583333333333,0.030606891684971407,32.0,0.1097440806407919
Management,0.1381595359657816,0.23193039005162497,0.09377085408584337,67.87143097315258,High,66583.6776337706,11-9000,15-1200,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Food Services and Drinking Places,Insurance Carriers and Related Activities,364.47222222222223,0.12484404550501516,28.0,0.05608934533356979
Organizational Skills,0.0880652151767506,0.0632962653163814,-0.024768949860369205,-28.12569050181377,High,56406.90806947852,13-1000,11-9000,99-9000,15-1200,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,216.5,0.03697428957466567,19.0,0.11388380295785266
Patience,0.0644625146112225,0.06407793051412487,-0.00038458409709762886,-0.5966011400844039,High,41155.46746771293,35-3000,25-2000,43-4000,41-2000,11-9000,Unclassified Industry,Food and Beverage Stores,Social Assistance,Administrative and Support Services,Food Services and Drinking Places,279.31944444444446,0.03301046138784175,32.0,0.0896616844437822
Planning,0.136747349772191,0.12835649951246322,-0.008390850259727772,-6.136024042664219,Low,76803.817002056,15-1200,11-9000,13-1000,29-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,400.77777777777777,0.003179219058540522,10.0,0.058550539979122046
Preschool Education,0.1384705485216108,0.18529357032675467,0.04682302180514386,33.81442646472675,High,38286.49214173453,25-2000,11-9000,25-9000,39-9000,29-1000,Social Assistance,Unclassified Industry,Educational Services,Nursing and Residential Care Facilities,Ambulatory Health Care Services,457.30555555555554,0.0821009652819875,30.0,0.08655523097607637
Special Education,0.1713131217473034,0.19796224426750006,0.02664912252019666,15.55579762273297,High,57064.42079561696,25-2000,29-1000,21-1000,25-9000,29-2000,Unclassified Industry,Educational Services,Administrative and Support Services,Ambulatory Health Care Services,Social Assistance,439.7361111111111,0.08369284084224353,30.0,0.07649914775028151
Teaching,0.3558508578603746,0.3436426453082621,-0.012208212552112518,-3.430710445807794,Medium,54698.71978330919,25-2000,29-1000,25-1000,11-9000,25-3000,Educational Services,Unclassified Industry,Hospitals,Social Assistance,Ambulatory Health Care Services,1271.486111111111,0.04530428872989529,18.0,0.025264115481629296
Teaching Certificate,0.118294932835636,0.191185856520975,0.072890923685339,61.61795939866397,High,48114.043319769415,25-2000,25-3000,25-9000,27-2000,25-1000,Educational Services,Unclassified Industry,Administrative and Support Services,Social Assistance,Administration of Human Resource Programs,260.7361111111111,0.23178797468830287,24.0,0.13238304299640197
Working With Children,0.0575080609730446,0.04808758792559185,-0.009420473047452756,-16.38113490188507,High,42681.87419578343,25-2000,39-9000,21-1000,25-9000,29-2000,Unclassified Industry,Social Assistance,Educational Services,Ambulatory Health Care Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",251.76388888888889,0.018662187460344454,26.0,0.07072921041855697
Writing,0.1795614857469502,0.2042242087281214,0.024662722981171198,13.73497377713143,Medium,64885.46853571254,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,427.2916666666667,0.045437621424344106,24.0,0.11638597470144399
