,July 2022 actual,July 2024 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Academic Advising,0.001021547591745,0.0010175633823498059,-3.9842093951941715e-06,-0.39001701216762447,High,53241.18884540117,21-1000,25-1000,11-9000,99-9000,27-2000,Educational Services,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",244.75,0.0007809185167060865,19.0,0.7343523958989211
Acceptance Testing,0.0028143735810235,0.005108947606364976,0.0022945740253414765,81.53054167410893,High,109422.77162334896,15-1200,13-1000,15-2000,99-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,755.6875,0.0073906550287636775,23.0,0.21030196743561727
Access Controls,0.0028964249354882,0.002712689321450471,-0.00018373561403772862,-6.3435310125432105,High,45714.33941131912,33-9000,15-1200,11-3000,49-9000,13-1000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Computer and Electronic Product Manufacturing,1063.6666666666667,0.0010090755886024289,23.0,0.1335786054115694
Accident Reporting,0.0008753600407644,0.0008738437686798075,-1.516272084592504e-06,-0.17321696376138365,High,45793.8493227991,41-1000,11-9000,39-9000,11-3000,29-2000,Unclassified Industry,General Merchandise Stores,Social Assistance,Administrative and Support Services,Educational Services,265.0,0.00022026562126973992,20.0,0.3103343373056381
Account Analysis,0.0008152010877975,0.0009339342908673291,0.00011873320306982917,14.564897526157756,Low,55674.07240506329,13-2000,11-3000,43-3000,53-7000,41-4000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Publishing Industries (except Internet),Credit Intermediation and Related Activities,302.9375,7.757457442544497e-05,16.0,0.2327922457575124
Account Development,0.0007641073181879,0.0006569428643783793,-0.00010716445380952076,-14.024790923827817,Medium,87583.06594885599,41-4000,11-2000,11-9000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,"Merchant Wholesalers, Durable Goods",290.625,0.00010219929034184788,18.0,0.13342156895087454
Account Management,0.0114186614321882,0.023614090679933267,0.012195429247745066,106.8026171033255,High,77266.3046538025,41-4000,11-2000,13-1000,15-1200,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet),4112.0625,0.019043592762599825,23.0,0.06443725267089748
Account Planning,0.0011336568841934,0.001042760490630125,-9.089639356327488e-05,-8.017980998540658,Medium,144178.77668539327,41-4000,11-2000,15-1200,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Publishing Industries (except Internet),Computer and Electronic Product Manufacturing,Administrative and Support Services,439.7708333333333,0.0001716017742686194,23.0,0.03762757646751078
Account Reconciliation,0.0042456157551618,0.003901056098906612,-0.0003445596562551877,-8.115658037029698,Medium,65948.37451608597,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Real Estate,1410.125,0.00043971204879507983,24.0,0.05768462940464164
Account Strategy,0.0013558686894696,0.0013144711026902844,-4.139758677931555e-05,-3.053215042196291,Medium,115860.37269129288,41-4000,11-2000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Computer and Electronic Product Manufacturing,472.9375,0.00032691318804638783,23.0,0.07961898698459371
Accountability,0.0349417986038208,0.03317701901527355,-0.0017647795885472536,-5.050626066954319,Medium,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,10130.291666666666,0.006054193758433005,28.0,0.07639068225335854
Accounting,0.0561452410233268,0.05505427621902674,-0.001090964804300057,-1.9431118014914053,Medium,69565.45384831692,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Insurance Carriers and Related Activities,18000.583333333332,0.005630517117678896,28.0,0.041773879480973726
Accounting Records,0.0011552902161749,0.0012345695282967128,7.92793121218128e-05,6.8622854250685235,High,62004.922074954295,13-2000,43-3000,11-3000,11-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Accommodation,327.7708333333333,0.0005990065601053682,23.0,0.12394276127126702
Accounting Software,0.0039612143146695,0.0070792886260047354,0.0031180743113352356,78.7151126811827,High,54754.96263938384,43-3000,13-2000,11-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Hospitals,1223.9375,0.006722477920870923,24.0,0.17016117989731575
Accounting Systems,0.001327823133495,0.001232068786764162,-9.575434673083803e-05,-7.211378105666856,Medium,71259.20254403132,13-2000,11-3000,43-3000,15-1200,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Educational Services,434.75,0.0002028117178979369,24.0,0.10149293156068709
Accounts Payable,0.0134763888012444,0.01135015450609012,-0.002126234295154279,-15.777478124985114,Low,54550.10028997807,43-3000,13-2000,11-3000,11-9000,43-6000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Real Estate,Educational Services,4099.354166666667,0.0008956985343503838,24.0,0.09413407343310215
Accounts Receivable,0.0136800634112573,0.01327251962308299,-0.00040754378817431033,-2.9791074494504413,Medium,54314.97124394184,43-3000,13-2000,11-3000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Real Estate,4429.8125,0.0030333222047398034,28.0,0.10944888772734512
Accruals,0.0028481880926333,0.0025596739332751535,-0.0002885141593581466,-10.12974389241969,Medium,72768.83736596095,13-2000,11-3000,43-3000,13-1000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Chemical Manufacturing,849.8958333333334,0.0005484305187977717,23.0,0.1373653659855352
Action Oriented,0.0024529124266891,0.002529104294516717,7.619186782761682e-05,3.106179698818654,Medium,71278.69914346896,11-9000,41-4000,15-1200,13-1000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Miscellaneous Store Retailers,Educational Services,Administrative and Support Services,803.4583333333334,0.0003229798418949498,23.0,0.11039108435278122
Active Directory,0.004643138207023,0.008278729093055279,0.003635590886032279,78.30029441150921,High,83842.5516872805,15-1200,99-9000,13-1000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,Insurance Carriers and Related Activities,1526.9791666666667,0.005482231279721533,24.0,0.08230642685281826
Active Listening,0.0050378380927633,0.004444448917975729,-0.0005933891747875704,-11.77864718677553,High,52989.00444049734,43-4000,15-1200,41-4000,13-1000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Credit Intermediation and Related Activities,1375.25,0.0018379506247203376,16.0,0.3263517764143423
Active Server Pages (ASP),0.0007647152830438,0.000620004900906837,-0.00014471038213696296,-18.923432726618397,Medium,99473.06286919831,15-1200,19-5000,11-9000,17-2000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,288.25,0.00013910625883206034,16.0,0.10012854742323969
Activities Of Daily Living (ADLs),0.0072444143194225,0.006345019801653159,-0.0008993945177693408,-12.415006625974389,Medium,45793.99414105682,31-1100,29-2000,29-1000,99-9000,21-1000,Ambulatory Health Care Services,Unclassified Industry,Nursing and Residential Care Facilities,Administrative and Support Services,Hospitals,1977.2708333333333,0.0011353881461642749,24.0,0.08767458320347278
Acute Care,0.0044824194770119,0.005713003847302785,0.0012305843702908846,27.453574494799955,High,101061.26104530926,29-1000,29-2000,11-9000,31-1100,21-1000,Hospitals,Administrative and Support Services,Unclassified Industry,Ambulatory Health Care Services,Insurance Carriers and Related Activities,1313.8541666666667,0.002871718355873796,24.0,0.21734928104582418
Ad Hoc Analysis,0.0021219187448306,0.0018444832272953076,-0.0002774355175352923,-13.074747476131135,High,89051.79628400796,13-2000,11-3000,13-1000,15-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,"Merchant Wholesalers, Nondurable Goods",584.0208333333334,0.0005963649977893131,16.0,0.26124925009082944
Ad Hoc Reporting,0.0041523444335548,0.003818657397310709,-0.0003336870362440911,-8.036111685427391,Low,73588.10225846925,13-2000,13-1000,15-1200,15-2000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1299.1666666666667,0.00021291847802885105,24.0,0.08801823923763398
Adaptability,0.0133488057141769,0.03045263713565632,0.01710383142147942,128.1300498913888,High,53372.21697330719,29-1000,15-1200,11-9000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Social Assistance,Accommodation,3467.5625,0.015115457199185804,24.0,0.19777846144256597
Adjudication,0.0012313059955007,0.0012513913521361923,2.0085356635492387e-05,1.6312238151106255,Medium,72913.9764075067,13-1000,29-2000,15-1200,11-9000,99-9000,Insurance Carriers and Related Activities,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Health and Personal Care Stores,387.8333333333333,0.0002770310005840881,24.0,0.12411931972657363
Administrative Functions,0.0196327067654328,0.019559398849429054,-7.33079160037467e-05,-0.3733968875489932,Medium,47667.69638245422,43-6000,11-9000,43-4000,99-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,6181.25,0.0026167590992117024,25.0,0.13615416296891936
Administrative Support,0.0137516243909835,0.010268408504973786,-0.003483215886009713,-25.329486808071533,High,48464.2681690993,43-6000,13-1000,43-4000,99-9000,11-9000,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,3980.1875,0.010259036307639096,20.0,0.11690456868907705
Adobe Acrobat,0.0009143804673391,0.0009318695707526814,1.748910341358139e-05,1.912672463846006,High,63995.6894609815,27-1000,13-1000,43-6000,15-1200,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Real Estate,287.7916666666667,0.00023906877100789004,24.0,0.41045043496967554
Adobe After Effects,0.0007358852361551,0.0007505028357775526,1.4617599622452682e-05,1.9863966423389126,High,65575.29380764163,27-1000,15-1200,99-9000,27-4000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Broadcasting (except Internet),240.5625,0.00027655687331645535,24.0,0.5419421311459486
Adobe Analytics,0.0012621387833297,0.0010872316350943258,-0.00017490714823537425,-13.857996485453409,High,102073.63020134228,15-1200,13-1000,11-2000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,"Merchant Wholesalers, Durable Goods",334.7708333333333,0.00030886833260119405,24.0,0.21086021066007182
Adobe Creative Suite,0.003121266507959,0.0030315412100214737,-8.972529793752635e-05,-2.8746439212650836,Medium,63463.43324708926,27-1000,15-1200,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,1042.1875,0.0004779779975880105,21.0,0.058210881236085296
Adobe Experience Manager,0.0011040610906111,0.0011012647962711578,-2.7962943399421816e-06,-0.2532735157249702,High,113257.0759416768,15-1200,13-1000,11-2000,11-9000,27-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Miscellaneous Manufacturing,Credit Intermediation and Related Activities,299.3125,0.0005786914494360831,15.0,1.1284840359054298
Adobe Illustrator,0.0036519244814163,0.003447923616752955,-0.00020400086466334502,-5.586119474853675,Medium,55685.96094467929,27-1000,15-1200,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,1283.4166666666667,0.00063553069490497,25.0,0.11544944415404705
Adobe InDesign,0.0028453707264268,0.00270352257946795,-0.00014184814695885,-4.9852254977326655,Low,57947.49095607235,27-1000,13-1000,99-9000,27-3000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,949.4583333333334,0.00023979086617412503,24.0,0.054649686642316064
Adobe Photoshop,0.0049350958438824,0.004833957614335321,-0.00010113822954707901,-2.0493670791105525,Medium,57231.722356131366,27-1000,15-1200,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,1749.1041666666667,0.0005179674437194523,24.0,0.06692780639988995
Adult Education,0.0023954608336185,0.0021035576226286355,-0.0002919032109898645,-12.185680804846458,High,65461.91030042918,13-1000,11-9000,25-9000,25-1000,25-2000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Insurance Carriers and Related Activities,548.5833333333334,0.0016948164867448964,24.0,0.26190781544266073
Advanced Business Application Programming (ABAP),0.0006133800708055,0.0010418693178909965,0.0004284892470854965,69.85705396701232,High,125080.53103448276,15-1200,15-2000,13-1000,99-9000,13-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Durable Goods","Merchant Wholesalers, Nondurable Goods",208.9375,0.0010562429142778507,21.0,0.0758751698006274
Advanced Cardiovascular Life Support (ACLS) Certification,0.0079849926651406,0.013089519007583462,0.005104526342442862,63.92650007967141,High,113943.20199554188,29-1000,29-2000,11-9000,15-1200,21-1000,Administrative and Support Services,Hospitals,Unclassified Industry,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services",2732.875,0.004899141871478055,26.0,0.09225242899922728
Advanced Life Support,0.0011930475748164,0.0011449322619869703,-4.811531282942973e-05,-4.032975201079829,Medium,75045.66555555556,29-1000,29-2000,21-1000,11-9000,43-5000,Ambulatory Health Care Services,Unclassified Industry,Hospitals,Administrative and Support Services,Health and Personal Care Stores,375.5625,0.00021283274928484138,23.0,0.051162556131912014
Advanced Mathematics,0.0014477481575717,0.0012552906125405845,-0.00019245754503111555,-13.293578998844904,High,92932.91771159874,15-2000,15-1200,13-1000,41-3000,43-4000,Credit Intermediation and Related Activities,Unclassified Industry,Insurance Carriers and Related Activities,"Professional, Scientific, and Technical Services",Educational Services,404.9791666666667,0.0007182807988137939,23.0,0.6560289339757178
Advanced Practice Registered Nurse,0.0012572486650837,0.0009545880282864125,-0.0003026606367972875,-24.073251792010307,High,102183.99424626007,29-1000,11-9000,31-9000,29-2000,31-1100,Hospitals,Unclassified Industry,Educational Services,Ambulatory Health Care Services,Insurance Carriers and Related Activities,341.875,0.000301052810819042,16.0,0.23631408614388288
Advertisement,0.0034002556295115,0.002969078976384028,-0.00043117665312747194,-12.68071286715044,Low,55849.51799485861,13-1000,11-2000,27-1000,41-4000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food and Beverage Stores,Miscellaneous Store Retailers,1019.5,0.0001652689116538139,24.0,0.15614410785647598
Advertising Campaigns,0.0008501075265113,0.000718020487235682,-0.00013208703927561794,-15.537686134562437,High,64361.55967555041,11-2000,13-1000,41-4000,99-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Broadcasting (except Internet),244.5,0.00018623808079657934,24.0,0.6707181170375525
Advertising Mail,0.0017622627419146,0.0017907364032471393,2.8473661332539292e-05,1.6157443867651795,High,66962.75736919676,11-2000,13-1000,41-4000,27-3000,27-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Credit Intermediation and Related Activities,659.3541666666666,0.0005442476025124856,25.0,0.08761999410245988
Advising,0.0084509547797988,0.01573123745379466,0.00728028267399586,86.1474574612407,High,79521.09487119163,11-9000,15-1200,13-1000,11-3000,13-2000,Educational Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,2152.25,0.011839317159102768,17.0,0.28033169594144436
Advocacy,0.025258372609441,0.025016052603567537,-0.00024232000587346217,-0.9593650771581718,High,70398.31017335037,29-1000,15-1200,11-9000,21-1000,11-2000,Unclassified Industry,Hospitals,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,6409.125,0.017584849598930995,20.0,0.1074037299091162
Aesthetics,0.0012167463246133,0.0017243528963407026,0.0005076065717274025,41.718356691048754,High,58711.06544165055,15-1200,27-1000,29-1000,11-9000,11-2000,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods","Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,355.8541666666667,0.0004603171272789498,16.0,0.41409890213215617
Agile Methodology,0.0402723927099366,0.021653046768191568,-0.01861934594174503,-46.23352298894074,High,123055.6218907086,15-1200,13-1000,11-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,10068.666666666666,0.011968461476739717,22.0,0.12282395289573046
Agile Project Management,0.0008354384912985,0.0006408213637975936,-0.00019461712750090644,-23.295207190946897,High,120120.1203995794,15-1200,13-1000,11-9000,11-2000,15-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Insurance Carriers and Related Activities,228.14583333333331,0.00016141166204461843,24.0,0.7025453477305745
Agile Projects,0.0008214872285135,0.0007579460723117909,-6.354115620170909e-05,-7.734892764758896,Low,126848.00970873788,15-1200,13-1000,11-2000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,255.54166666666663,4.2331338865110876e-05,24.0,0.80827138406666
Agile Software Development,0.0024134362503152,0.002299301730131542,-0.00011413452018365798,-4.729129272370536,Low,122981.9611872146,15-1200,11-2000,13-1000,11-9000,11-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing,742.7291666666666,0.00019590863873787244,17.0,0.1846756886722338
Agriculture,0.0013191974206246,0.0009828343520863958,-0.0003363630685382043,-25.497553533643703,Medium,68313.7643581081,99-9000,11-2000,15-1200,11-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Educational Services,339.25,0.0002048772590926122,24.0,0.6184677717321855
Alarm Devices,0.0020354832008811,0.0025905803788376365,0.0005550971779565363,27.27102722912433,High,48550.929056138186,33-9000,49-9000,31-1100,41-1000,49-2000,Administrative and Support Services,Unclassified Industry,Ambulatory Health Care Services,General Merchandise Stores,Educational Services,591.6666666666666,0.0010666648353120233,18.0,0.5264612509335986
Algebra,0.0008267189300531,0.0008563233976538686,2.9604467600768567e-05,3.5809592020430783,Low,46190.436500470365,25-3000,25-2000,25-1000,29-2000,17-3000,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Miscellaneous Manufacturing,Administrative and Support Services,263.6041666666667,4.2756090604368526e-05,24.0,0.8709484778471306
Algorithms,0.0045254680007953,0.003533591007344174,-0.000991876993451126,-21.917666709317466,Medium,122943.6959553696,15-1200,15-2000,99-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Computer and Electronic Product Manufacturing,1283.2708333333333,0.000453065702027725,23.0,0.25384140731491606
Alteryx,0.0020321894886626,0.008207459709198372,0.006175270220535772,303.87275669847924,High,115271.9741267788,13-2000,15-2000,15-1200,13-1000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,Administrative and Support Services,326.625,0.00482206941410022,16.0,0.3858263354647291
Alzheimer's Disease,0.0007699516339229,0.0010493479553195671,0.0002793963213966671,36.287515875918615,High,38493.31312292359,31-1100,11-9000,29-2000,29-1000,11-2000,Nursing and Residential Care Facilities,Unclassified Industry,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Ambulatory Health Care Services,Educational Services,359.3125,0.000731498448563968,22.0,0.18944035492075162
Amazon DynamoDB,0.0012203520078593,0.0023075770353624767,0.0010872250275031766,89.0910999860073,High,134181.29735883424,15-1200,11-9000,15-2000,17-2000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Publishing Industries (except Internet),310.1666666666667,0.001245618685616626,16.0,0.3615670433472035
Amazon Elastic Compute Cloud,0.0016662731227642,0.0015232514673560844,-0.0001430216554081157,-8.583326073870495,Low,128155.98898153663,15-1200,15-2000,17-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,471.75,0.00012176664634584185,16.0,0.21769086420635497
Amazon Redshift,0.0015597504122452,0.0018291507841837256,0.0002694003719385257,17.272017998747273,Medium,137073.55032733225,15-1200,15-2000,11-9000,13-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,490.2291666666667,0.00035963133940358983,25.0,0.2662948298541643
Amazon S3,0.0023371429381015,0.004790900830079429,0.0024537578919779286,104.98963721795967,High,128569.54479114244,15-1200,15-2000,11-9000,17-2000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Nonstore Retailers,575.8125,0.0036647886138191674,9.0,0.46169884486845597
Amazon Web Services,0.020938170815334,0.04834903745815017,0.027410866642816167,130.91337769936382,High,136206.63724279834,15-1200,15-2000,11-9000,17-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,4887.791666666667,0.040602703592616814,21.0,0.1576594772291245
Ambulatory Care,0.0021090959670193,0.0023626128894100157,0.00025351692239071553,12.020170080216914,Medium,85758.419340055,29-1000,31-9000,29-2000,11-9000,21-1000,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Educational Services,Administrative and Support Services,601.7708333333334,0.00043462365650243865,16.0,0.12607899720614085
American Medical Technologists (AMT) Certification,0.0017449533788152,0.001538492664810924,-0.00020646071400427595,-11.831875654148423,Medium,54281.23391089109,31-9000,29-2000,29-1000,11-9000,19-1000,Hospitals,Unclassified Industry,Ambulatory Health Care Services,Administrative and Support Services,Educational Services,523.5,0.00015890120597125595,20.0,0.0810469523587674
American Registry Of Radiologic Technologists (ARRT) Certified,0.0020873407647073,0.002213494102131272,0.00012615333742397195,6.043734667428007,High,94789.85078534031,29-2000,29-1000,11-9000,31-9000,25-1000,Hospitals,Ambulatory Health Care Services,Unclassified Industry,Administrative and Support Services,Machinery Manufacturing,480.7916666666667,0.0016672401575167806,24.0,0.20612967897406853
Analytic Applications,0.0007543527694553,0.0007280419889569396,-2.631078049836037e-05,-3.487861589924135,Medium,102824.8370967742,15-1200,15-2000,13-1000,11-2000,13-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,Administrative and Support Services,254.52083333333331,8.242438955396864e-05,23.0,0.5335944512899755
Analytical Chemistry,0.00078603023126,0.0012042118648731242,0.0004181816336131242,53.201723926417245,High,61218.065371024735,19-2000,29-2000,19-4000,99-9000,11-9000,Administrative and Support Services,"Professional, Scientific, and Technical Services",Chemical Manufacturing,Unclassified Industry,Miscellaneous Manufacturing,206.3125,0.0009386688661153984,23.0,0.5770417831463964
