,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Data Management,0.0214003180085321,0.01974571074512539,-0.0016546072634067086,-7.7316947474660545,Medium,92308.4822820263,15-1200,15-2000,13-1000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Credit Intermediation and Related Activities,203.54166666666663,0.0021841622974436785,21.0,0.0842605060288687
Debugging,0.0321466537452989,0.03208871074468308,-5.7943000615824636e-05,-0.18024582301757666,Medium,112776.8189516129,15-1200,17-2000,99-9000,15-2000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Educational Services,257.1666666666667,0.006279751130909011,21.0,0.09919056031087964
Decision Making,0.0674348593104176,0.07473948995703733,0.007304630646619736,10.832128547929349,Medium,72143.83615499122,11-9000,15-1200,29-1000,13-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities,476.625,0.015544640925944486,22.0,0.02212341590910008
Desktop Support,0.0415116143242675,0.046603111248004835,0.0050914969237373375,12.26523469784906,Low,55558.58453513348,15-1200,99-9000,11-3000,41-4000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Social Assistance,Educational Services,366.7083333333333,0.003814420387635351,32.0,0.18278536163642348
Detail Oriented,0.1362393189144649,0.13360674971059486,-0.0026325692038700332,-1.9323123638946247,Low,50619.4088918623,13-1000,15-1200,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Educational Services,1087.0555555555557,0.007331959471054793,20.0,0.04312025942895469
DevOps,0.0535656427594516,0.06581336579162458,0.012247723032172982,22.86488577608244,Low,129317.77696568004,15-1200,11-9000,17-2000,99-9000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,525.9027777777778,0.005099404158192325,30.0,0.14987856025844323
Disaster Recovery,0.0381011149668763,0.03678418772315256,-0.001316927243723738,-3.4564008031487425,Low,109369.54130856668,15-1200,13-1000,11-9000,11-3000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",Credit Intermediation and Related Activities,326.3888888888889,0.003018970168901053,26.0,0.05359940549373626
Docker (Software),0.0201421607710745,0.02025192599225577,0.00010976522118127247,0.5449525620851101,High,136554.82757805107,15-1200,17-2000,99-9000,11-9000,15-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing,213.11111111111111,0.010972237842518622,34.0,0.0911594638093003
Dynamic Host Configuration Protocol (DHCP),0.0249964119391995,0.019445269887202063,-0.005551142051997436,-22.207755519071547,High,85941.62388059702,15-1200,99-9000,11-9000,17-2000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Durable Goods",Educational Services,238.75,0.005773291266803459,32.0,0.12155744671079517
Emerging Technologies,0.0330145708791235,0.02928678891825837,-0.0037277819608651334,-11.291323381163092,Low,121169.21006864987,15-1200,11-2000,11-9000,13-1000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,251.06944444444449,0.0011694989423736285,18.0,0.21836487377133262
End-User Training And Support,0.0273548299311045,0.025685814321739196,-0.0016690156093653041,-6.101356190365153,Medium,79372.07295445385,15-1200,13-1000,99-9000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,236.79166666666663,0.0029372957868647625,26.0,0.05376931231511928
English Language,0.0346814401919714,0.04165973467893261,0.00697829448696121,20.121120831010515,Medium,44822.64599550315,53-7000,43-4000,99-9000,11-9000,25-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Health and Personal Care Stores,270.7638888888889,0.007681078525212009,18.0,0.08615295079641769
Enterprise Architecture,0.0223030349970829,0.022772751599627553,0.00046971660254465156,2.106065845325928,Medium,141305.76226870474,15-1200,11-3000,11-9000,13-1000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",209.38888888888889,0.005505754490199334,22.0,0.13317966259864436
Finance,0.063649638505037,0.05857636672237111,-0.005073271782665895,-7.970621517770936,Low,85869.52803866928,13-2000,11-3000,13-1000,15-1200,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,486.875,0.00332381695829446,10.0,0.14370673217348717
Financial Services,0.0293713603989174,0.03147826806161486,0.002106907662697461,7.173340403991364,Medium,102410.42197828856,15-1200,13-2000,41-3000,13-1000,11-3000,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Unclassified Industry,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",Administrative and Support Services,268.55555555555554,0.0063888269448994514,31.0,0.0867020625966714
Firewall,0.0696829851759582,0.05250883264566105,-0.017174152530297145,-24.646120551423387,Medium,103204.3254385965,15-1200,99-9000,13-1000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,"Merchant Wholesalers, Durable Goods",635.0833333333334,0.008198374822478734,18.0,0.10576213260557844
Forecasting,0.0282971600050573,0.05213217851220072,0.02383501850714342,84.23113309916472,High,95194.24517173818,13-2000,11-3000,11-2000,13-1000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Insurance Carriers and Related Activities,211.83333333333331,0.0313245630273336,27.0,0.15798281055228947
Git (Version Control System),0.0197396755231216,0.026147333749193653,0.0064076582260720535,32.460808277048905,High,121463.81042684495,15-1200,15-2000,99-9000,17-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,205.20833333333331,0.013630872191889522,27.0,0.2636094497403747
Governance,0.0604910662622942,0.05847046895635649,-0.0020205973059377116,-3.3403235069063535,Medium,121981.87208845207,15-1200,11-9000,29-1000,13-1000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Administrative and Support Services,Hospitals,534.6805555555555,0.011468628211871175,22.0,0.16410104040034576
Help Desk Support,0.0851537133972048,0.09371328377290201,0.008559570375697212,10.05190500121887,Low,58984.72728342749,15-1200,99-9000,43-4000,13-1000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Social Assistance,783.25,0.007825219842159462,30.0,0.24519153548990644
HyperText Markup Language (HTML),0.0189530486567997,0.01772359772754205,-0.00122945092925765,-6.486824106878264,High,96696.83025006972,15-1200,13-1000,27-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Educational Services,211.61111111111111,0.011058991483074907,32.0,0.21072584038259926
IT Infrastructure,0.0361980275799281,0.03333955064629869,-0.0028584769336294086,-7.896775390089049,Low,108272.88920454546,15-1200,13-1000,11-9000,11-3000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Specialty Trade Contractors,277.72222222222223,0.0003891160590928875,10.0,0.16709718417198222
IT Service Management,0.0375225622716869,0.057816278210922986,0.02029371593923609,54.084035605822564,High,101305.06140897756,15-1200,13-1000,99-9000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,Insurance Carriers and Related Activities,279.4583333333333,0.025171380891525232,22.0,0.0533146126343799
Identity And Access Management,0.0266780321742538,0.024089545949158093,-0.002588486225095707,-9.702687995083012,Medium,129528.08034800408,15-1200,13-1000,11-9000,99-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Educational Services,236.75,0.003672163626926586,32.0,0.14670149231627252
Incident Response,0.0266313169955371,0.02557813285271076,-0.0010531841428263397,-3.954682913364117,Medium,120024.79805228088,15-1200,99-9000,13-1000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,261.1666666666667,0.006015097802537167,31.0,0.2027871515321946
Influencing Skills,0.0699477618897396,0.07754528032487373,0.007597518435134135,10.861703405335959,Medium,102137.12490386632,15-1200,11-2000,13-1000,11-9000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Administrative and Support Services,Insurance Carriers and Related Activities,600.9722222222222,0.01611098486719824,22.0,0.07482736279501018
Information Systems,0.0871449671205268,0.1968065788166754,0.1096616116961486,125.83814684843463,High,101135.29703512478,15-1200,13-1000,99-9000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,624.8194444444445,0.0812614781384663,30.0,0.10421069554595477
Information Technology,0.1696265758364805,0.22719742497397585,0.057570849137495356,33.9397578790917,High,98716.25778210117,15-1200,13-1000,99-9000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,1336.263888888889,0.11499401976785945,33.0,0.06345343464474547
Information Technology Infrastructure Library,0.0470136180283043,0.10281889653680236,0.055805278508498056,118.70024228916137,High,108707.98772563176,15-1200,13-1000,11-9000,99-9000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,352.125,0.07435349167924561,32.0,0.13051789851741807
Innovation,0.0947443851458286,0.09479248303406092,4.8097888232317976e-05,0.05076595109914609,High,84326.64403122422,15-1200,11-9000,11-2000,13-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Credit Intermediation and Related Activities,753.7361111111111,0.04444461301357467,33.0,0.0573123833785919
Interpersonal Communications,0.1021134931040824,0.10232298822435427,0.00020949512027187978,0.20515909690636602,Medium,62524.03998373543,15-1200,11-9000,13-1000,29-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,860.9861111111111,0.019757053539692208,30.0,0.09131076246360961
Issue Tracking,0.0348138191390554,0.03349902512727062,-0.0013147940117847826,-3.776644000283781,Low,59731.98152022316,15-1200,99-9000,43-4000,13-1000,11-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,"Merchant Wholesalers, Durable Goods",300.5138888888889,0.0004127706544530598,10.0,0.17110930841064462
JIRA,0.049545389633845,0.0507966403075997,0.0012512506737547002,2.525463384185311,Medium,112655.52173651251,15-1200,13-1000,11-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,413.68055555555554,0.011152897236997786,26.0,0.06451839900725712
Java (Programming Language),0.0563627021414672,0.03784965407453946,-0.01851304806692774,-32.84627486535516,Low,125195.25146697428,15-1200,99-9000,15-2000,17-2000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,653.375,0.00020141866202904283,10.0,0.07025842924158002
JavaScript (Programming Language),0.0365402806523641,0.02787775064839374,-0.00866253000397036,-23.70679657987221,High,116456.81165669364,15-1200,99-9000,13-1000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Publishing Industries (except Internet),393.3888888888889,0.00823104353047483,30.0,0.07260634889951653
