,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams
2023-05-01,1.100635331407151e-05,0.00015550479139457847,2.3446422920466784e-05,2.6062482908885933e-05,5.9613644667482205e-05,0.0001885294489538476
2023-06-01,9.751229556105075e-06,0.00015550479139454074,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466746406e-05,0.00018852944895374584
2023-07-01,8.698562911683145e-06,0.00015550479139451694,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466745272e-05,0.00018852944895368784
2023-08-01,8.3339131894993e-06,0.00015550479139450206,2.3446422920466784e-05,2.6062482908885933e-05,5.9613644667445444e-05,0.00018852944895365325
2023-09-01,8.188494938130563e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2023-10-01,8.190637681463116e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2023-11-01,8.440229065710167e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2023-12-01,8.792864564003093e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-01-01,9.064056265055037e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-02-01,8.920271422932262e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-03-01,8.583560752847055e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-04-01,8.61640006578679e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-05-01,8.97719696878856e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-06-01,9.449354779957127e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-07-01,9.943470206613057e-06,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-08-01,1.042283554312648e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-09-01,1.090744944290528e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-10-01,1.1155331389136067e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-11-01,1.1046311275999302e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2024-12-01,1.0907380867340042e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-01-01,1.0953563585185368e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-02-01,1.1141703580732508e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-03-01,1.1329267177020467e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-04-01,1.1410523834107148e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-05-01,1.1466474644125973e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-06-01,1.146661895230791e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-07-01,1.1250604741907318e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-08-01,1.088854152337141e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
2025-09-01,1.057898925642396e-05,0.00015550479139449542,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466744204e-05,0.0001885294489536379
